fold,model,n_train,n_test,n_train_games,n_test_games,status,pred_true_cosine_mean,retrieved_true_cosine_mean,oracle_true_cosine_mean,retrieval_cosine_regret_mean,oracle_hit_at_1,oracle_hit_at_5,embedding_mse_mean,fit_eval_seconds
1,mean,1453,363,146,36,ok,0.8980056047439575,0.8477213978767395,0.9187186360359192,0.07099725306034088,0.013774104683195593,0.02203856749311295,0.00012603390496224165,0.0202
1,linear,1453,363,146,36,ok,0.907362163066864,0.8619773387908936,0.9187186360359192,0.056741390377283096,0.008264462809917356,0.03856749311294766,0.00011504264693940058,0.0498
1,ridge,1453,363,146,36,ok,0.9076558351516724,0.8620157241821289,0.9187186360359192,0.05670296400785446,0.008264462809917356,0.03581267217630854,0.00011468788579804823,0.0284
2,mean,1453,363,146,36,ok,0.8955426216125488,0.8509650230407715,0.9163476824760437,0.06538268178701401,0.005509641873278237,0.013774104683195593,0.00012891019287053496,0.0147
2,linear,1453,363,146,36,ok,0.9052470326423645,0.8605406284332275,0.9163476824760437,0.05580710247159004,0.008264462809917356,0.03581267217630854,0.00011752454156521708,0.0821
2,ridge,1453,363,146,36,ok,0.9053618907928467,0.8609334826469421,0.9163476824760437,0.05541424825787544,0.011019283746556474,0.03581267217630854,0.00011738757893908769,0.0317
3,mean,1452,364,145,37,ok,0.8985802531242371,0.8533033728599548,0.9204639792442322,0.06716062873601913,0.01098901098901099,0.03021978021978022,0.00012536348367575556,0.0147
3,linear,1452,364,145,37,ok,0.9045701622962952,0.8572471737861633,0.9204639792442322,0.06321683526039124,0.01098901098901099,0.04945054945054945,0.00011831318988697603,0.0653
3,ridge,1452,364,145,37,ok,0.9048837423324585,0.8577414155006409,0.9204639792442322,0.06272266060113907,0.01098901098901099,0.04945054945054945,0.00011793008161475882,0.0382
4,mean,1452,364,145,37,ok,0.894543468952179,0.8446308374404907,0.916002631187439,0.07137186080217361,0.0,0.013736263736263736,0.00013007846428081393,0.0175
4,linear,1452,364,145,37,ok,0.9016374945640564,0.8574801683425903,0.916002631187439,0.05852255970239639,0.008241758241758242,0.024725274725274724,0.00012179760233266279,0.1972
4,ridge,1452,364,145,37,ok,0.9023134708404541,0.8580670952796936,0.916002631187439,0.05793553590774536,0.005494505494505495,0.024725274725274724,0.0001209951369673945,0.0619
5,mean,1454,362,146,36,ok,0.8955926895141602,0.8481374382972717,0.9170073866844177,0.06886985152959824,0.008287292817679558,0.019337016574585635,0.00012885166506748646,0.0204
5,linear,1454,362,146,36,ok,0.9015336036682129,0.8552832007408142,0.9170073866844177,0.061724115163087845,0.011049723756906077,0.03591160220994475,0.00012192547728773206,0.1322
5,ridge,1454,362,146,36,ok,0.9017923474311829,0.8552933931350708,0.9170073866844177,0.06171390786767006,0.008287292817679558,0.03314917127071823,0.0001216104137711227,0.0369
