fold,model,n_train,n_test,n_train_games,n_test_games,status,pred_true_cosine_mean,retrieved_true_cosine_mean,oracle_true_cosine_mean,retrieval_cosine_regret_mean,oracle_hit_at_1,oracle_hit_at_5,embedding_mse_mean,fit_eval_seconds
1,mean,1496,374,146,36,ok,0.866224467754364,0.8217083215713501,0.9090261459350586,0.08731786906719208,0.00267379679144385,0.01871657754010695,0.00016254337970167398,0.0665
1,linear,1496,374,146,36,ok,0.8733576536178589,0.8288252949714661,0.9090261459350586,0.08020089566707611,0.016042780748663103,0.05080213903743316,0.00015443477605003864,0.5427
1,ridge,1496,374,146,36,ok,0.873694658279419,0.8283572196960449,0.9090261459350586,0.08066893368959427,0.016042780748663103,0.0481283422459893,0.0001540488883620128,0.112
1,elastic_net,1496,374,146,36,ok,0.8736521601676941,0.8287692666053772,0.9090261459350586,0.08025681227445602,0.016042780748663103,0.0481283422459893,0.00015409945626743138,16.6068
1,mlp,1496,374,146,36,ok,0.863202691078186,0.8240190148353577,0.9090261459350586,0.08500712364912033,0.00267379679144385,0.02406417112299465,0.00016819390293676406,80.892
2,mean,1495,375,145,37,ok,0.87320476770401,0.8298457264900208,0.9065808653831482,0.07673506438732147,0.008,0.021333333333333333,0.00015472718223463744,0.0338
2,linear,1495,375,145,37,ok,0.8739810585975647,0.8299347162246704,0.9065808653831482,0.07664614170789719,0.0026666666666666666,0.029333333333333333,0.00015437198453582823,0.0705
2,ridge,1495,375,145,37,ok,0.8747726082801819,0.830109715461731,0.9065808653831482,0.07647112756967545,0.005333333333333333,0.029333333333333333,0.00015336104843299836,0.0452
2,elastic_net,1495,375,145,37,ok,0.8744992017745972,0.8301769495010376,0.9065808653831482,0.07640390843153,0.005333333333333333,0.029333333333333333,0.00015370511391665787,44.6891
2,mlp,1495,375,145,37,ok,0.8642719984054565,0.820750892162323,0.9065808653831482,0.085829958319664,0.008,0.024,0.00016784000035841018,23.3866
3,mean,1495,375,145,37,ok,0.862299382686615,0.8123521208763123,0.9034918546676636,0.09113966673612595,0.0026666666666666666,0.008,0.00016695466183591634,0.0289
3,linear,1495,375,145,37,ok,0.8661534190177917,0.8156675696372986,0.9034918546676636,0.08782432228326797,0.005333333333333333,0.021333333333333333,0.000162608121172525,0.1481
3,ridge,1495,375,145,37,ok,0.8664573431015015,0.8161026835441589,0.9034918546676636,0.08738920092582703,0.005333333333333333,0.021333333333333333,0.00016224737919401377,0.0578
3,elastic_net,1495,375,145,37,ok,0.8663639426231384,0.8160638213157654,0.9034918546676636,0.08742806315422058,0.005333333333333333,0.021333333333333333,0.0001623576390556991,21.5153
3,mlp,1495,375,145,37,ok,0.8449243307113647,0.8011429905891418,0.9034918546676636,0.10234887897968292,0.005333333333333333,0.021333333333333333,0.00019041133054997772,20.4597
4,mean,1497,373,146,36,ok,0.8498965501785278,0.8018010854721069,0.9051005840301514,0.10329950600862503,0.005361930294906166,0.00804289544235925,0.0001809662935556844,0.0258
4,linear,1497,373,146,36,ok,0.8628481030464172,0.813274621963501,0.9051005840301514,0.09182598441839218,0.005361930294906166,0.032171581769437,0.0001661350397625938,0.0972
4,ridge,1497,373,146,36,ok,0.8631181120872498,0.8130359649658203,0.9051005840301514,0.09206455945968628,0.005361930294906166,0.02680965147453083,0.00016580683586653322,0.0574
4,elastic_net,1497,373,146,36,ok,0.8630520105361938,0.8132899403572083,0.9051005840301514,0.09181065857410431,0.005361930294906166,0.029490616621983913,0.0001658873079577461,17.1515
4,mlp,1497,373,146,36,ok,0.8495354056358337,0.80123370885849,0.9051005840301514,0.10386690497398376,0.002680965147453083,0.013404825737265416,0.0001828437962103635,1017.9885
5,mean,1497,373,146,36,ok,0.8624221086502075,0.8119988441467285,0.9024344086647034,0.09043554961681366,0.00804289544235925,0.029490616621983913,0.00016681647684890777,1.1786
5,linear,1497,373,146,36,ok,0.8650031685829163,0.8184869289398193,0.9024344086647034,0.08394752442836761,0.010723860589812333,0.040214477211796246,0.0001641324779484421,11.9883
5,ridge,1497,373,146,36,ok,0.8660922050476074,0.820290744304657,0.9024344086647034,0.0821436420083046,0.010723860589812333,0.03485254691689008,0.00016284853336401284,1.7458
5,elastic_net,1497,373,146,36,ok,0.8656356930732727,0.8189609050750732,0.9024344086647034,0.0834735780954361,0.00804289544235925,0.040214477211796246,0.00016338465502485633,50.7264
5,mlp,1497,373,146,36,ok,0.8521783947944641,0.8082677125930786,0.9024344086647034,0.09416673332452774,0.005361930294906166,0.029490616621983913,0.00018014339730143547,3123.2858
