fold,model,n_train,n_test,n_train_games,n_test_games,status,pred_true_cosine_mean,retrieved_true_cosine_mean,oracle_true_cosine_mean,retrieval_cosine_regret_mean,oracle_hit_at_1,oracle_hit_at_5,embedding_mse_mean,fit_eval_seconds
1,elastic_net,800,200,144,36,ok,0.8633169531822205,0.8150155544281006,0.8967656493186951,0.08175014704465866,0.005,0.035,0.00016607464931439608,59.8893
1,mlp,800,200,144,36,ok,0.841724157333374,0.8029570579528809,0.8967656493186951,0.09380857646465302,0.005,0.035,0.0001944686664501205,493.3427
2,elastic_net,800,200,144,36,ok,0.8688012957572937,0.8220127820968628,0.9010304808616638,0.0790177583694458,0.02,0.05,0.0001598544477019459,43.5934
2,mlp,800,200,144,36,ok,0.8512173295021057,0.8112705945968628,0.9010304808616638,0.08975988626480103,0.005,0.025,0.00018449068011250347,745.8436
3,elastic_net,800,200,144,36,ok,0.8673678636550903,0.8213626146316528,0.9005579948425293,0.07919535785913467,0.01,0.055,0.00016124785179272294,47.0588
3,mlp,800,200,144,36,ok,0.845320463180542,0.8071824908256531,0.9005579948425293,0.09337551891803741,0.005,0.025,0.0001913795858854428,762.8548
4,elastic_net,800,200,144,36,ok,0.8684136867523193,0.8225451111793518,0.9030243754386902,0.08047931641340256,0.02,0.06,0.00016068409604486078,40.6997
4,mlp,800,200,144,36,ok,0.8615902662277222,0.8237462043762207,0.9030243754386902,0.07927823811769485,0.0,0.015,0.00017602842126507312,786.547
5,elastic_net,800,200,144,36,ok,0.8653541803359985,0.8167350888252258,0.900818407535553,0.08408336341381073,0.03,0.065,0.0001639015245018527,50.9999
5,mlp,800,200,144,36,ok,0.8528211712837219,0.8160076141357422,0.900818407535553,0.0848107561469078,0.02,0.055,0.00018617963360156864,1026.0734
