fold,model,n_train,n_test,n_train_games,n_test_games,status,pred_true_cosine_mean,retrieved_true_cosine_mean,oracle_true_cosine_mean,retrieval_cosine_regret_mean,oracle_hit_at_1,oracle_hit_at_5,embedding_mse_mean,fit_eval_seconds
1,elastic_net,800,200,143,35,ok,0.9081704616546631,0.8627177476882935,0.9256030321121216,0.06288526207208633,0.01,0.06,0.0001141256871051155,73.7422
1,mlp,800,200,143,35,ok,0.8940935730934143,0.8585366606712341,0.9256030321121216,0.06706638634204865,0.0,0.01,0.0001360121532343328,601.462
2,elastic_net,800,200,143,35,ok,0.903105616569519,0.8582690358161926,0.9208099246025085,0.06254083663225174,0.005,0.03,0.00012019056885037571,71.5119
2,mlp,800,200,143,35,ok,0.8923876881599426,0.854536771774292,0.9208099246025085,0.06627320498228073,0.005,0.01,0.000135770533233881,613.7454
3,elastic_net,800,200,142,36,ok,0.9091357588768005,0.8650781512260437,0.9251351356506348,0.060056980699300766,0.02,0.06,0.00011292868293821812,67.4866
3,mlp,800,200,142,36,ok,0.8970738053321838,0.8572325110435486,0.9251351356506348,0.06790254265069962,0.0,0.02,0.00013067371037323028,402.1213
4,elastic_net,800,200,142,36,ok,0.9045942425727844,0.8606454730033875,0.922281801700592,0.061636365950107574,0.01,0.06,0.00011830861330963671,40.1542
4,mlp,800,200,142,36,ok,0.890128493309021,0.852451503276825,0.922281801700592,0.06983032077550888,0.0,0.03,0.00013935488823335618,158.5487
5,elastic_net,800,200,142,36,ok,0.9079741835594177,0.8642520904541016,0.9257344007492065,0.06148233264684677,0.02,0.055,0.00011447714496171102,47.8672
5,mlp,800,200,142,36,ok,0.8969554901123047,0.8567730188369751,0.9257344007492065,0.06896144151687622,0.0,0.025,0.00013089021376799792,433.8516
