fold,model,n_train,n_test,n_train_games,n_test_games,status,pred_true_cosine_mean,retrieved_true_cosine_mean,oracle_true_cosine_mean,retrieval_cosine_regret_mean,oracle_hit_at_1,oracle_hit_at_5,embedding_mse_mean,fit_eval_seconds
1,elastic_net,800,200,144,36,ok,0.8633169531822205,0.8150155544281006,0.8967656493186951,0.08175014704465866,0.005,0.035,0.00016607464931439608,90.8877
1,mlp,800,200,144,36,ok,0.7623692154884338,0.8121940493583679,0.8967656493186951,0.08457159250974655,0.01,0.05,0.0003143449139315635,187.8148
2,elastic_net,800,200,144,36,ok,0.8688012957572937,0.8220127820968628,0.9010304808616638,0.0790177583694458,0.02,0.05,0.0001598544477019459,51.2882
2,mlp,800,200,144,36,ok,0.7793920636177063,0.8205075263977051,0.9010304808616638,0.08052307367324829,0.03,0.085,0.00028842739993706346,172.7892
3,elastic_net,800,200,144,36,ok,0.8673678636550903,0.8213626146316528,0.9005579948425293,0.07919535785913467,0.01,0.055,0.00016124785179272294,39.4697
3,mlp,800,200,144,36,ok,0.7322531342506409,0.8167396783828735,0.9005579948425293,0.08381833881139755,0.005,0.035,0.00036962967715226114,216.3963
4,elastic_net,800,200,144,36,ok,0.8684136867523193,0.8225451111793518,0.9030243754386902,0.08047931641340256,0.02,0.06,0.00016068409604486078,45.6748
4,mlp,800,200,144,36,ok,0.76206374168396,0.8208699226379395,0.9030243754386902,0.0821545198559761,0.01,0.045,0.00034440867602825165,239.9073
5,elastic_net,800,200,144,36,ok,0.8653541803359985,0.8167350888252258,0.900818407535553,0.08408336341381073,0.03,0.065,0.0001639015245018527,56.3785
5,mlp,800,200,144,36,ok,0.7526940107345581,0.815787672996521,0.900818407535553,0.0850306898355484,0.005,0.04,0.0003746765141841024,255.7443
