fold,model,n_train,n_test,n_train_games,n_test_games,status,pred_true_cosine_mean,retrieved_true_cosine_mean,oracle_true_cosine_mean,retrieval_cosine_regret_mean,oracle_hit_at_1,oracle_hit_at_5,embedding_mse_mean,fit_eval_seconds
1,elastic_net,800,200,148,37,ok,0.9181404113769531,0.8815735578536987,0.9208911061286926,0.039317525923252106,0.03,0.085,0.00010221914999419823,7.3691
1,mlp,800,200,148,37,ok,0.8223168849945068,0.8770332336425781,0.9208911061286926,0.043857794255018234,0.015,0.08,0.0002433981717331335,303.5965
2,elastic_net,800,200,148,37,ok,0.9159371256828308,0.8797893524169922,0.9199817180633545,0.040192410349845886,0.025,0.09,0.00010484421363798901,3.1622
2,mlp,800,200,148,37,ok,0.8116607666015625,0.8754603862762451,0.9199817180633545,0.04452139884233475,0.01,0.06,0.0002762371732387692,314.4931
3,elastic_net,800,200,148,37,ok,0.9191429018974304,0.8820254802703857,0.9215139746665955,0.03948846459388733,0.035,0.105,0.0001010131454677321,7.0241
3,mlp,800,200,148,37,ok,0.8264636993408203,0.8796142339706421,0.9215139746665955,0.0418996699154377,0.025,0.075,0.00022462024935521185,322.0151
4,elastic_net,800,200,148,37,ok,0.9147248864173889,0.8803454637527466,0.9202610850334167,0.03991560637950897,0.02,0.04,0.00010633328201947734,6.3869
4,mlp,800,200,148,37,ok,0.8247402310371399,0.8771719336509705,0.9202610850334167,0.043089114129543304,0.03,0.04,0.0002385053230682388,307.569
5,elastic_net,800,200,148,37,ok,0.9194713830947876,0.8801510334014893,0.9221521019935608,0.042001012712717056,0.015,0.075,0.00010066096729133278,4.8071
5,mlp,800,200,148,37,ok,0.806992769241333,0.8752435445785522,0.9221521019935608,0.04690854623913765,0.01,0.035,0.00028728198958560824,139.8356
