fold,model,n_train,n_test,n_train_games,n_test_games,status,pred_true_cosine_mean,retrieved_true_cosine_mean,oracle_true_cosine_mean,retrieval_cosine_regret_mean,oracle_hit_at_1,oracle_hit_at_5,embedding_mse_mean,fit_eval_seconds
1,elastic_net,736,184,74,18,ok,0.8931848406791687,0.8422030806541443,0.9049811959266663,0.06277815252542496,0.016304347826086956,0.05434782608695652,0.00013162748655304313,4.4593
1,mlp,736,184,74,18,ok,0.769335925579071,0.838204026222229,0.9049811959266663,0.06677718460559845,0.016304347826086956,0.043478260869565216,0.0003084862546529621,174.4923
2,elastic_net,735,185,73,19,ok,0.8826732635498047,0.830535888671875,0.9047900438308716,0.07425421476364136,0.010810810810810811,0.02702702702702703,0.00014378032938111573,2.3736
2,mlp,735,185,73,19,ok,0.7761146426200867,0.8260573744773865,0.9047900438308716,0.0787326917052269,0.02702702702702703,0.043243243243243246,0.0003334189241286367,202.517
3,elastic_net,735,185,73,19,ok,0.8872640132904053,0.8441872000694275,0.9074317812919617,0.06324458122253418,0.02702702702702703,0.06486486486486487,0.00013851717812940478,2.3819
3,mlp,735,185,73,19,ok,0.7615468502044678,0.8315408229827881,0.9074317812919617,0.0758909359574318,0.005405405405405406,0.032432432432432434,0.00032166275195777416,223.418
4,elastic_net,737,183,74,18,ok,0.8896790146827698,0.8424776196479797,0.9058874845504761,0.06340976059436798,0.02185792349726776,0.0546448087431694,0.00013564231630880386,3.8556
4,mlp,737,183,74,18,ok,0.7510397434234619,0.8297159075737,0.9058874845504761,0.07617151737213135,0.0,0.04918032786885246,0.0003634800377767533,204.7878
5,elastic_net,737,183,74,18,ok,0.8853679895401001,0.8351137042045593,0.9094852209091187,0.07437151670455933,0.0,0.0273224043715847,0.0001406459923600778,3.711
5,mlp,737,183,74,18,ok,0.7604261636734009,0.8310884833335876,0.9094852209091187,0.07839685678482056,0.00546448087431694,0.02185792349726776,0.00033259368501603603,248.4271
