fold,model,n_train,n_test,n_train_games,n_test_games,status,pred_true_cosine_mean,retrieved_true_cosine_mean,oracle_true_cosine_mean,retrieval_cosine_regret_mean,oracle_hit_at_1,oracle_hit_at_5,embedding_mse_mean,fit_eval_seconds
1,elastic_net,800,200,144,35,ok,0.9022234082221985,0.8577627539634705,0.9115068316459656,0.05374397337436676,0.015,0.075,0.000121147750178352,7.1825
1,mlp,800,200,144,35,ok,0.797865629196167,0.8496125936508179,0.9115068316459656,0.061894264072179794,0.0,0.04,0.00027799245435744524,149.648
2,elastic_net,800,200,143,36,ok,0.9028928875923157,0.8577840924263,0.9142835736274719,0.056499529629945755,0.015,0.085,0.00012026598415104672,9.032
2,mlp,800,200,143,36,ok,0.8006752729415894,0.8535469174385071,0.9142835736274719,0.06073673814535141,0.005,0.045,0.00025837731664068997,215.9372
3,elastic_net,800,200,143,36,ok,0.9061844348907471,0.8605777025222778,0.9143503308296204,0.053772758692502975,0.01,0.02,0.00011639766307780519,8.2069
3,mlp,800,200,143,36,ok,0.8184686303138733,0.8511505126953125,0.9143503308296204,0.06319989264011383,0.005,0.03,0.00024443527217954397,141.7337
4,elastic_net,800,200,143,36,ok,0.9011161923408508,0.8561328053474426,0.9149971008300781,0.05886430665850639,0.015,0.07,0.00012244450044818223,9.5649
4,mlp,800,200,143,36,ok,0.7843189835548401,0.8492038249969482,0.9149971008300781,0.06579337269067764,0.02,0.045,0.00032919846125878394,167.9926
5,elastic_net,800,200,143,36,ok,0.908129870891571,0.8597497344017029,0.9163199663162231,0.05657018721103668,0.02,0.09,0.00011409955186536536,7.7556
5,mlp,800,200,143,36,ok,0.7968661785125732,0.8531488180160522,0.9163199663162231,0.06317122280597687,0.015,0.05,0.00030112703097984195,231.0051
