tag,config_column,n_rows,n_values,ami
COMMUNICATION,CONFIG_numRounds,1734,30,0.045231609919929486
COMMUNICATION,CONFIG_MPCR,1734,41,0.03811442211090123
COMMUNICATION,CONFIG_playerCount,1734,19,0.030031529989159512
COMMUNICATION,CONFIG_punishmentMagnitude,1734,15,0.028104095053657015
COMMUNICATION,CONFIG_showNRounds,1734,2,0.015532717168817493
COMMUNICATION,CONFIG_punishmentExists,1734,2,0.013568895775714579
COMMUNICATION,CONFIG_rewardExists,1734,2,0.012801402451788716
COMMUNICATION,CONFIG_showOtherSummaries,1734,2,0.007135018382738423
COMMUNICATION,CONFIG_rewardMagnitude,1734,6,0.006406731610496358
COMMUNICATION,CONFIG_allOrNothing,1734,2,0.005806279761466628
COMMUNICATION,CONFIG_defaultContribProp,1734,2,0.001239025515812236
COMMUNICATION,CONFIG_punishmentCost,1734,4,0.00021161550721759346
COMMUNICATION,CONFIG_rewardCost,1734,4,0.00021161550721759346
COMMUNICATION,CONFIG_showRewardId,1734,2,-0.00015211571741053306
COMMUNICATION,CONFIG_showPunishmentId,1734,2,-0.00015211571741053306
CONTRIBUTION,CONFIG_allOrNothing,3691,2,0.08728421915438232
CONTRIBUTION,CONFIG_numRounds,3691,30,0.07089061337996698
CONTRIBUTION,CONFIG_MPCR,3691,58,0.04861618412617554
CONTRIBUTION,CONFIG_chat,3691,2,0.02996082308684777
CONTRIBUTION,CONFIG_punishmentMagnitude,3691,16,0.013306604326905272
CONTRIBUTION,CONFIG_playerCount,3691,19,0.012785472294022852
CONTRIBUTION,CONFIG_rewardExists,3691,2,0.010651848577178349
CONTRIBUTION,CONFIG_punishmentExists,3691,2,0.010062332221008122
CONTRIBUTION,CONFIG_rewardMagnitude,3691,6,0.0059462331289892745
CONTRIBUTION,CONFIG_showOtherSummaries,3691,2,0.0031763792151126512
CONTRIBUTION,CONFIG_showNRounds,3691,2,0.0023532695793414115
CONTRIBUTION,CONFIG_defaultContribProp,3691,2,0.0015158230334164275
CONTRIBUTION,CONFIG_punishmentCost,3691,4,0.0012463573154075306
CONTRIBUTION,CONFIG_rewardCost,3691,4,0.0012463573154075306
CONTRIBUTION,CONFIG_showRewardId,3691,2,0.0010290954979445168
CONTRIBUTION,CONFIG_showPunishmentId,3691,2,0.0010290954979445168
PUNISHMENT,CONFIG_chat,1812,2,0.08123729027038475
PUNISHMENT,CONFIG_MPCR,1812,58,0.049382583380160106
PUNISHMENT,CONFIG_numRounds,1812,30,0.04913359134365366
PUNISHMENT,CONFIG_rewardExists,1812,2,0.019223586223408584
PUNISHMENT,CONFIG_punishmentMagnitude,1812,16,0.013702090112405581
PUNISHMENT,CONFIG_playerCount,1812,19,0.012150861779597477
PUNISHMENT,CONFIG_showNRounds,1812,2,0.009188998587439679
PUNISHMENT,CONFIG_showOtherSummaries,1812,2,0.0072540744994779695
PUNISHMENT,CONFIG_showRewardId,1812,2,0.0037649005622042986
PUNISHMENT,CONFIG_showPunishmentId,1812,2,0.0037649005622042986
