feature,marginal_tv,n_eval_values,coef_abs_mean,tag
CONFIG_numRounds,0.1090306393383737,10,0.29203678621917245,COMMUNICATION
CONFIG_punishmentExists,0.10181157931472935,2,0.23171118698378354,COMMUNICATION
CONFIG_rewardExists,0.08217158038496225,2,0.19277114153217637,COMMUNICATION
CONFIG_playerCount,0.07399499233116469,10,0.2108262083870137,COMMUNICATION
CONFIG_showOtherSummaries,0.06522169857078158,2,0.14972209595006242,COMMUNICATION
CONFIG_allOrNothing,0.06224677882148212,2,0.1360589642775921,COMMUNICATION
CONFIG_showNRounds,0.059578378826048536,2,0.13534621245887113,COMMUNICATION
CONFIG_punishmentMagnitude,0.051147473367422536,9,0.11913540810366621,COMMUNICATION
CONFIG_MPCR,0.049154489597523846,10,0.12144088261567483,COMMUNICATION
CONFIG_defaultContribProp,0.04040861017841321,2,0.08800783884970441,COMMUNICATION
CONFIG_rewardMagnitude,0.02661191151154325,6,0.06355547919630608,COMMUNICATION
CONFIG_showRewardId,0.019764283708812003,2,0.04385720470014249,COMMUNICATION
CONFIG_showPunishmentId,0.019764283708812003,2,0.04385720470014249,COMMUNICATION
