experiment_id,punishment_enabled,average_contribution,normalized_efficiency,group_size,mpcr,communication,contribution_framing,peer_visibility,actor_anonymity
baseline,False,0.5,0.5,4,0.4,False,opt_in,True,False
exp_051_control,False,0.0,0.0,14,0.2,True,opt_in,False,False
exp_051_treatment,True,0.0,0.0,14,0.2,True,opt_in,False,False
exp_052_control,False,0.0,0.0,3,0.54,True,opt_out,False,False
exp_052_treatment,True,0.0,0.0,3,0.54,True,opt_out,False,False
exp_053_control,False,0.0,0.0,4,0.23,True,opt_out,True,True
exp_053_treatment,True,0.0,0.0,4,0.23,True,opt_out,True,True
exp_054_control,False,0.0,0.0,13,0.18,True,opt_out,False,True
exp_054_treatment,True,0.0,0.0,13,0.18,True,opt_out,False,True
exp_055_control,False,0.0,0.0,14,0.3,True,opt_out,True,False
exp_055_treatment,True,0.0,0.0,14,0.3,True,opt_out,True,False
exp_056_control,False,0.0,0.0,14,0.42,True,opt_out,False,False
exp_056_treatment,True,0.0,0.0,14,0.42,True,opt_out,False,False
exp_057_control,False,0.0,0.0,7,0.37,True,opt_out,True,False
exp_057_treatment,True,0.0,0.0,7,0.37,True,opt_out,True,False
exp_058_control,False,0.0,0.0,8,0.29,True,opt_in,True,False
exp_058_treatment,True,0.0,0.0,8,0.29,True,opt_in,True,False
exp_059_control,False,0.0,0.0,12,0.28,False,opt_out,True,False
exp_059_treatment,True,0.0,0.0,12,0.28,False,opt_out,True,False
exp_060_control,False,0.0,0.0,12,0.5,True,opt_in,False,True
exp_060_treatment,True,0.0,0.0,12,0.5,True,opt_in,False,True
exp_061_control,False,0.0,0.0,14,0.2,True,opt_in,False,False
exp_061_treatment,True,0.0,0.0,14,0.2,True,opt_in,False,False
exp_062_control,False,0.0,0.0,3,0.54,True,opt_out,False,False
exp_062_treatment,True,0.0,0.0,3,0.54,True,opt_out,False,False
exp_063_control,False,0.0,0.0,4,0.23,True,opt_out,True,True
exp_063_treatment,True,0.0,0.0,4,0.23,True,opt_out,True,True
exp_064_control,False,0.0,0.0,13,0.18,True,opt_out,False,True
exp_064_treatment,True,0.0,0.0,13,0.18,True,opt_out,False,True
exp_065_control,False,0.0,0.0,14,0.3,True,opt_out,True,False
exp_065_treatment,True,0.0,0.0,14,0.3,True,opt_out,True,False
exp_066_control,False,0.0,0.0,14,0.42,True,opt_out,False,False
exp_066_treatment,True,0.0,0.0,14,0.42,True,opt_out,False,False
exp_067_control,False,0.0,0.0,7,0.37,True,opt_out,True,False
exp_067_treatment,True,0.0,0.0,7,0.37,True,opt_out,True,False
exp_068_control,False,0.0,0.0,8,0.29,True,opt_in,True,False
exp_068_treatment,True,0.0,0.0,8,0.29,True,opt_in,True,False
exp_069_control,False,0.0,0.0,12,0.28,False,opt_out,True,False
exp_069_treatment,True,0.0,0.0,12,0.28,False,opt_out,True,False
exp_070_control,False,0.0,0.0,12,0.5,True,opt_in,False,True
exp_070_treatment,True,0.0,0.0,12,0.5,True,opt_in,False,True
exp_071_control,False,0.0,0.0,14,0.2,True,opt_in,False,False
exp_071_treatment,True,0.0,0.0,14,0.2,True,opt_in,False,False
exp_072_control,False,0.0,0.0,3,0.54,True,opt_out,False,False
exp_072_treatment,True,0.0,0.0,3,0.54,True,opt_out,False,False
exp_073_control,False,0.0,0.0,4,0.23,True,opt_out,True,True
exp_073_treatment,True,0.0,0.0,4,0.23,True,opt_out,True,True
exp_074_control,False,0.0,0.0,13,0.18,True,opt_out,False,True
exp_074_treatment,True,0.0,0.0,13,0.18,True,opt_out,False,True
exp_075_control,False,0.35714285714285715,0.35714285714285715,14,0.3,True,opt_out,True,False
exp_075_treatment,True,0.35714285714285715,0.35714285714285715,14,0.3,True,opt_out,True,False
exp_076_control,False,0.42857142857142855,0.4285714285714286,14,0.42,True,opt_out,False,False
exp_076_treatment,True,0.42857142857142855,0.4285714285714286,14,0.42,True,opt_out,False,False
exp_077_control,False,0.0,0.0,7,0.37,True,opt_out,True,False
exp_077_treatment,True,0.0,0.0,7,0.37,True,opt_out,True,False
exp_078_control,False,0.5,0.5000000000000001,8,0.29,True,opt_in,True,False
exp_078_treatment,True,0.5,0.5000000000000001,8,0.29,True,opt_in,True,False
exp_079_control,False,0.0,0.0,12,0.28,False,opt_out,True,False
exp_079_treatment,True,0.0,0.0,12,0.28,False,opt_out,True,False
exp_080_control,False,0.0,0.0,12,0.5,True,opt_in,False,True
exp_080_treatment,True,0.0,0.0,12,0.5,True,opt_in,False,True
