tag,variable,test,n_used,n_clusters,n_levels,statistic,p_value,effect_size,effect_name,p_fdr_bh,significant_0_05,significant_fdr_0_05
CONTRIBUTION,age,anova,3664,15,,5.342008441713893,3.382276524201531e-10,0.02008388120118578,eta_squared,8.117463658083674e-09,True,True
COMMUNICATION,age,anova,1722,15,,4.418231774549391,7.912405844380559e-08,0.0349690824187015,eta_squared,9.49488701325667e-07,True,True
RESPONSE_TO_PUNISHER,age,anova,838,15,,2.7623094772272014,0.0005078445955498369,0.044880555188360226,eta_squared,0.004062756764398695,True,True
COMMUNICATION,education_code,chi2,1712,15,4.0,72.01838645542725,0.0026848304893639643,0.11841567255274536,cramers_v,0.013553989332854784,True,True
RESPONSE_TO_OTHERS_OUTCOME,age,anova,1811,15,,2.375338114317263,0.00282374777767808,0.018179389119298794,eta_squared,0.013553989332854784,True,True
PUNISHMENT,age,anova,1796,15,,2.246814408009382,0.00505484055892018,0.0173551314324298,eta_squared,0.02021936223568072,True,True
RESPONSE_TO_OTHERS_OUTCOME,education_code,chi2,1803,15,4.0,63.443138449648295,0.01787656655942574,0.10830134213394636,cramers_v,0.05624651201310021,True,False
RESPONSE_TO_END_GAME,education_code,chi2,1865,15,4.0,63.04322499744181,0.019395317400878964,0.10614979635753256,cramers_v,0.05624651201310021,True,False
REWARD,gender_code,chi2,1047,15,3.0,45.19234459925638,0.021092442004912577,0.14690754390495875,cramers_v,0.05624651201310021,True,False
RESPONSE_TO_OTHERS_OUTCOME,gender_code,chi2,1038,15,3.0,43.911138837543206,0.028352891337258105,0.145436587492541,cramers_v,0.06804693920941945,True,False
RESPONSE_TO_REWARDER,gender_code,chi2,510,15,3.0,41.907886698996975,0.04423284066534448,0.2026972210721923,cramers_v,0.09650801599711523,True,False
RESPONSE_TO_REWARDER,education_code,chi2,848,15,4.0,57.154069370092266,0.05949454902790563,0.1498873651668862,cramers_v,0.11898909805581126,False,False
CONTRIBUTION,gender_code,chi2,2095,15,3.0,39.965737438503055,0.06659356142126077,0.09766453889288902,cramers_v,0.12294195954694297,False,False
RESPONSE_TO_END_GAME,age,anova,1873,15,,1.5981223000017653,0.07243124324479674,0.011898545515108067,eta_squared,0.1241678455625087,False,False
REWARD,education_code,chi2,1789,15,4.0,53.94691830521003,0.10234059402145353,0.10025765047840664,cramers_v,0.16374495043432566,False,False
REWARD,age,anova,1801,15,,1.469680258870108,0.1143961416088294,0.011389240779098373,eta_squared,0.1715942124132441,False,False
CONTRIBUTION,education_code,chi2,3649,15,4.0,52.79760037876081,0.12273756292539267,0.06944796642149043,cramers_v,0.17327655942408376,False,False
RESPONSE_TO_PUNISHER,gender_code,chi2,479,15,3.0,34.98714507090098,0.17024184039621554,0.19110475728700593,cramers_v,0.22698912052828735,False,False
PUNISHMENT,education_code,chi2,1789,15,4.0,47.978611995922485,0.24330635403166698,0.09454923999910779,cramers_v,0.30733434193473724,False,False
RESPONSE_TO_REWARDER,age,anova,854,15,,1.133684584305258,0.32352817740741713,0.018566044858647032,eta_squared,0.3882338128889006,False,False
RESPONSE_TO_PUNISHER,education_code,chi2,834,15,4.0,42.792414909405366,0.43698042760748007,0.13077952185679712,cramers_v,0.49940620297997723,False,False
COMMUNICATION,gender_code,chi2,998,15,3.0,26.25961314396829,0.5587767178797234,0.1147001255866939,cramers_v,0.5901522753419377,False,False
PUNISHMENT,gender_code,chi2,1032,15,3.0,26.136118245379286,0.5655625972026903,0.11252932056625228,cramers_v,0.5901522753419377,False,False
RESPONSE_TO_END_GAME,gender_code,chi2,1075,15,3.0,25.165461293838593,0.618815211343742,0.10818902771568133,cramers_v,0.618815211343742,False,False
