experiment_id,config_hash,game_id,round,agent_id,avatar_name,contribution,punishments_sent,punishments_received,rewards_sent,rewards_received,round_payoff,cumulative_wallet,public_fund,timestamp
exp_028_treatment,1ba604a8,exp_028_treatment_game1,1,agent_0,DOG,20,0,0,0,0,63.8,63.8,701.8,2026-01-02T02:12:16.260685
exp_028_treatment,1ba604a8,exp_028_treatment_game1,1,agent_1,CHICKEN,20,0,0,0,0,63.8,63.8,701.8,2026-01-02T02:12:16.260827
exp_028_treatment,1ba604a8,exp_028_treatment_game1,1,agent_2,CAT,20,0,0,0,0,63.8,63.8,701.8,2026-01-02T02:12:16.260853
exp_028_treatment,1ba604a8,exp_028_treatment_game1,1,agent_3,FISH,20,0,0,0,0,63.8,63.8,701.8,2026-01-02T02:12:16.260875
exp_028_treatment,1ba604a8,exp_028_treatment_game1,1,agent_4,BIRD,20,0,0,0,0,63.8,63.8,701.8,2026-01-02T02:12:16.260896
exp_028_treatment,1ba604a8,exp_028_treatment_game1,1,agent_5,RABBIT,20,0,0,0,0,63.8,63.8,701.8,2026-01-02T02:12:16.260915
exp_028_treatment,1ba604a8,exp_028_treatment_game1,1,agent_6,TURTLE,20,0,0,0,0,63.8,63.8,701.8,2026-01-02T02:12:16.260932
exp_028_treatment,1ba604a8,exp_028_treatment_game1,1,agent_7,HAMSTER,20,0,0,0,0,63.8,63.8,701.8,2026-01-02T02:12:16.260951
exp_028_treatment,1ba604a8,exp_028_treatment_game1,1,agent_8,FROG,20,0,0,0,0,63.8,63.8,701.8,2026-01-02T02:12:16.260970
exp_028_treatment,1ba604a8,exp_028_treatment_game1,1,agent_9,MOUSE,20,0,0,0,0,63.8,63.8,701.8,2026-01-02T02:12:16.260988
exp_028_treatment,1ba604a8,exp_028_treatment_game1,1,agent_10,SNAKE,20,0,0,0,0,63.8,63.8,701.8,2026-01-02T02:12:16.261005
