custom_id,input_token_estimate
chip_bargain__chip3_cohort_01_m8aiq8_game_1,1366
chip_bargain__chip3_cohort_02_m8aiq8_game_1,1361
chip_bargain__chip3_cohort_03_m8aiq8_game_1,1367
chip_bargain__chip3_cohort_04_m8aiq8_game_1,1363
chip_bargain__chip3_cohort_05_m8aiq8_game_1,1374
chip_bargain__chip3_cohort_06_m8ak4g_game_1,1363
chip_bargain__chip3_cohort_07_m8ak4j_game_1,1371
chip_bargain__chip3_g11_m5wp7b_game_1,1363
chip_bargain__chip3_g12_m5wp8p_game_1,1365
chip_bargain__chip3_g13_m5wp8q_game_1,1369
chip_bargain__chip3_g15_m5wp8s_game_1,1370
chip_bargain__chip3_g16_m5wp8t_game_1,1365
chip_bargain__chip3_g17_m5wp8w_game_1,1362
chip_bargain__chip3_g18_m5wq8i_game_1,1369
chip_bargain__chip3_g19_m5wq90_game_1,1367
chip_bargain__chip3_g1_m5wp46_game_1,1359
chip_bargain__chip3_g20_m5wq93_game_1,1361
chip_bargain__chip3_g2_m5wp6p_game_1,1366
chip_bargain__chip3_g3_m5wp6q_game_1,1376
chip_bargain__chip3_g5_m5wp6r_game_1,1352
chip_bargain__chip3_g6_m5wp77_game_1,1359
chip_bargain__chip3_g7_m5wp78_game_1,1374
chip_bargain__chip3_g8_m5wp79_game_1,1361
chip_bargain__chip3_g9_m5wp79_game_1,1383
chip_bargain__chip3_cohort_01_m8aiq8_game_2_alt_profile,1372
chip_bargain__chip3_cohort_02_m8aiq8_game_2_alt_profile,1366
chip_bargain__chip3_cohort_03_m8aiq8_game_2_alt_profile,1371
chip_bargain__chip3_cohort_04_m8aiq8_game_2_alt_profile,1368
chip_bargain__chip3_cohort_05_m8aiq8_game_2_alt_profile,1379
chip_bargain__chip3_cohort_06_m8ak4g_game_2_alt_profile,1368
chip_bargain__chip3_cohort_07_m8ak4j_game_2_alt_profile,1377
chip_bargain__chip3_g11_m5wp7b_game_2_alt_profile,1368
chip_bargain__chip3_g12_m5wp8p_game_2_alt_profile,1370
chip_bargain__chip3_g13_m5wp8q_game_2_alt_profile,1374
chip_bargain__chip3_g15_m5wp8s_game_2_alt_profile,1375
chip_bargain__chip3_g16_m5wp8t_game_2_alt_profile,1369
chip_bargain__chip3_g17_m5wp8w_game_2_alt_profile,1367
chip_bargain__chip3_g18_m5wq8i_game_2_alt_profile,1373
chip_bargain__chip3_g19_m5wq90_game_2_alt_profile,1372
chip_bargain__chip3_g1_m5wp46_game_2_alt_profile,1364
chip_bargain__chip3_g20_m5wq93_game_2_alt_profile,1366
chip_bargain__chip3_g2_m5wp6p_game_2_alt_profile,1371
chip_bargain__chip3_g3_m5wp6q_game_2_alt_profile,1380
chip_bargain__chip3_g5_m5wp6r_game_2_alt_profile,1357
chip_bargain__chip3_g6_m5wp77_game_2_alt_profile,1364
chip_bargain__chip3_g7_m5wp78_game_2_alt_profile,1379
chip_bargain__chip3_g8_m5wp79_game_2_alt_profile,1366
chip_bargain__chip3_g9_m5wp79_game_2_alt_profile,1388
