custom_id,input_token_estimate
chip_bargain__chip3_cohort_01_m8aiq8_game_1,3502
chip_bargain__chip3_cohort_02_m8aiq8_game_1,3536
chip_bargain__chip3_cohort_03_m8aiq8_game_1,3452
chip_bargain__chip3_cohort_04_m8aiq8_game_1,3483
chip_bargain__chip3_cohort_05_m8aiq8_game_1,3460
chip_bargain__chip3_cohort_06_m8ak4g_game_1,3461
chip_bargain__chip3_cohort_07_m8ak4j_game_1,3502
chip_bargain__chip3_g11_m5wp7b_game_1,3462
chip_bargain__chip3_g12_m5wp8p_game_1,3510
chip_bargain__chip3_g13_m5wp8q_game_1,3457
chip_bargain__chip3_g15_m5wp8s_game_1,3534
chip_bargain__chip3_g16_m5wp8t_game_1,3508
chip_bargain__chip3_g17_m5wp8w_game_1,3466
chip_bargain__chip3_g18_m5wq8i_game_1,3505
chip_bargain__chip3_g19_m5wq90_game_1,3523
chip_bargain__chip3_g1_m5wp46_game_1,3441
chip_bargain__chip3_g20_m5wq93_game_1,3482
chip_bargain__chip3_g2_m5wp6p_game_1,3465
chip_bargain__chip3_g3_m5wp6q_game_1,3544
chip_bargain__chip3_g5_m5wp6r_game_1,3492
chip_bargain__chip3_g6_m5wp77_game_1,3481
chip_bargain__chip3_g7_m5wp78_game_1,3547
chip_bargain__chip3_g8_m5wp79_game_1,3489
chip_bargain__chip3_g9_m5wp79_game_1,3565
chip_bargain__chip3_cohort_01_m8aiq8_game_2_alt_profile,3508
chip_bargain__chip3_cohort_02_m8aiq8_game_2_alt_profile,3541
chip_bargain__chip3_cohort_03_m8aiq8_game_2_alt_profile,3457
chip_bargain__chip3_cohort_04_m8aiq8_game_2_alt_profile,3488
chip_bargain__chip3_cohort_05_m8aiq8_game_2_alt_profile,3465
chip_bargain__chip3_cohort_06_m8ak4g_game_2_alt_profile,3466
chip_bargain__chip3_cohort_07_m8ak4j_game_2_alt_profile,3508
chip_bargain__chip3_g11_m5wp7b_game_2_alt_profile,3467
chip_bargain__chip3_g12_m5wp8p_game_2_alt_profile,3515
chip_bargain__chip3_g13_m5wp8q_game_2_alt_profile,3462
chip_bargain__chip3_g15_m5wp8s_game_2_alt_profile,3539
chip_bargain__chip3_g16_m5wp8t_game_2_alt_profile,3513
chip_bargain__chip3_g17_m5wp8w_game_2_alt_profile,3471
chip_bargain__chip3_g18_m5wq8i_game_2_alt_profile,3510
chip_bargain__chip3_g19_m5wq90_game_2_alt_profile,3528
chip_bargain__chip3_g1_m5wp46_game_2_alt_profile,3446
chip_bargain__chip3_g20_m5wq93_game_2_alt_profile,3486
chip_bargain__chip3_g2_m5wp6p_game_2_alt_profile,3470
chip_bargain__chip3_g3_m5wp6q_game_2_alt_profile,3549
chip_bargain__chip3_g5_m5wp6r_game_2_alt_profile,3497
chip_bargain__chip3_g6_m5wp77_game_2_alt_profile,3486
chip_bargain__chip3_g7_m5wp78_game_2_alt_profile,3551
chip_bargain__chip3_g8_m5wp79_game_2_alt_profile,3494
chip_bargain__chip3_g9_m5wp79_game_2_alt_profile,3570
