custom_id,input_token_estimate
chip_bargain__chip2_cohort_01_m7xia7_game_1,2205
chip_bargain__chip2_cohort_01_m8aexq_game_1,2220
chip_bargain__chip2_cohort_02_m7xiz2_game_1,2210
chip_bargain__chip2_cohort_02_m8aexq_game_1,2199
chip_bargain__chip2_cohort_03_m8aexq_game_1,2188
chip_bargain__chip2_cohort_04_m7xjm0_game_1,2219
chip_bargain__chip2_cohort_04_m8aexq_game_1,2215
chip_bargain__chip2_cohort_05_m7xjzy_game_1,2208
chip_bargain__chip2_cohort_05_m8aexq_game_1,2215
chip_bargain__chip2_cohort_06_m7xk99_game_1,2213
chip_bargain__chip2_cohort_06_m8ag8i_game_1,2207
chip_bargain__chip2_cohort_07_m8ag8i_game_1,2222
chip_bargain__chip2_cohort_08_m8ag8i_game_1,2214
chip_bargain__chip2_cohort_09_m8ag8i_game_1,2200
chip_bargain__chip2_cohort_11_m8agmu_game_1,2180
chip_bargain__chip2_cohort_12_m8agmu_game_1,2224
chip_bargain__chip2_cohort_13_m8agmu_game_1,2184
chip_bargain__chip2_cohort_14_m8agmu_game_1,2223
chip_bargain__chip2_cohort_15_m8agmu_game_1,2215
chip_bargain__chip2_cohort_16_m8agzl_game_1,2209
chip_bargain__chip2_cohort_17_m8agzl_game_1,2219
chip_bargain__chip2_cohort_18_m8agzl_game_1,2207
chip_bargain__chip2_cohort_19_m8agzl_game_1,2191
chip_bargain__chip2_cohort_20_m8agzl_game_1,2213
chip_bargain__chip2_cohort_01_m7xia7_game_2_alt_profile,2208
chip_bargain__chip2_cohort_01_m8aexq_game_2_alt_profile,2223
chip_bargain__chip2_cohort_02_m7xiz2_game_2_alt_profile,2214
chip_bargain__chip2_cohort_02_m8aexq_game_2_alt_profile,2201
chip_bargain__chip2_cohort_03_m8aexq_game_2_alt_profile,2190
chip_bargain__chip2_cohort_04_m7xjm0_game_2_alt_profile,2222
chip_bargain__chip2_cohort_04_m8aexq_game_2_alt_profile,2219
chip_bargain__chip2_cohort_05_m7xjzy_game_2_alt_profile,2211
