custom_id,input_token_estimate
chip_bargain__chip2_cohort_01_m7xia7_game_1,2896
chip_bargain__chip2_cohort_01_m8aexq_game_1,2935
chip_bargain__chip2_cohort_02_m7xiz2_game_1,2913
chip_bargain__chip2_cohort_02_m8aexq_game_1,2897
chip_bargain__chip2_cohort_03_m8aexq_game_1,2868
chip_bargain__chip2_cohort_04_m7xjm0_game_1,2893
chip_bargain__chip2_cohort_04_m8aexq_game_1,2921
chip_bargain__chip2_cohort_05_m7xjzy_game_1,2943
chip_bargain__chip2_cohort_05_m8aexq_game_1,2915
chip_bargain__chip2_cohort_06_m7xk99_game_1,2896
chip_bargain__chip2_cohort_06_m8ag8i_game_1,2913
chip_bargain__chip2_cohort_07_m8ag8i_game_1,2927
chip_bargain__chip2_cohort_08_m8ag8i_game_1,2899
chip_bargain__chip2_cohort_09_m8ag8i_game_1,2976
chip_bargain__chip2_cohort_11_m8agmu_game_1,2885
chip_bargain__chip2_cohort_12_m8agmu_game_1,2931
chip_bargain__chip2_cohort_13_m8agmu_game_1,2897
chip_bargain__chip2_cohort_14_m8agmu_game_1,2926
chip_bargain__chip2_cohort_15_m8agmu_game_1,3015
chip_bargain__chip2_cohort_16_m8agzl_game_1,2918
chip_bargain__chip2_cohort_17_m8agzl_game_1,2922
chip_bargain__chip2_cohort_18_m8agzl_game_1,2890
chip_bargain__chip2_cohort_19_m8agzl_game_1,2870
chip_bargain__chip2_cohort_20_m8agzl_game_1,2928
chip_bargain__chip2_cohort_01_m7xia7_game_2_alt_profile,2899
chip_bargain__chip2_cohort_01_m8aexq_game_2_alt_profile,2938
chip_bargain__chip2_cohort_02_m7xiz2_game_2_alt_profile,2917
chip_bargain__chip2_cohort_02_m8aexq_game_2_alt_profile,2899
chip_bargain__chip2_cohort_03_m8aexq_game_2_alt_profile,2870
chip_bargain__chip2_cohort_04_m7xjm0_game_2_alt_profile,2896
chip_bargain__chip2_cohort_04_m8aexq_game_2_alt_profile,2925
chip_bargain__chip2_cohort_05_m7xjzy_game_2_alt_profile,2946
chip_bargain__chip2_cohort_05_m8aexq_game_2_alt_profile,2918
