run_base,metric,n_gpt51_turns,n_gpt54_turns,human_mean,gpt51_mean,gpt54_mean,gpt51_std,gpt54_std,w1_gpt51,w1_gpt54,w1_improvement_5p4_minus_5p1
BL · pgg_aligned_v3,trade_ratio,414,396,0.9408550618620063,1.3679549114331722,1.1618265993265993,0.49579791316540817,0.5149229314912365,0.427099849571166,0.22395841684036125,0.20314143273080473
BL · pgg_aligned_v3,proposer_net_surplus,414,396,1.5162037037037037,0.31014492753623185,0.51489898989899,0.5259851380689755,0.5564182351641812,1.2478462157809984,1.0727272727272728,0.17511894305372566
BL · mechanism_v2,trade_ratio,405,396,0.9408550618620063,1.395185185185185,1.5157828282828283,0.5702808972631512,0.6818658209133404,0.45433012332317885,0.574927766420822,-0.12059764309764315
BL · mechanism_v2,proposer_net_surplus,405,396,1.5162037037037037,0.16271604938271605,0.22626262626262625,0.7043901352105405,0.6084150395251382,1.364567901234568,1.301767676767677,0.06280022446689104
Twin · pgg_aligned_v3,trade_ratio,360,405,0.9408550618620063,1.3894907407407406,1.1818930041152265,0.5705354480180266,0.5518157925757186,0.4486356788787344,0.2484468193843194,0.200188859494415
Twin · pgg_aligned_v3,proposer_net_surplus,360,405,1.5162037037037037,0.27249999999999996,0.44518518518518513,0.6127754482679606,0.5380419716316854,1.264351851851852,1.1430555555555555,0.12129629629629646
Twin · bargain_card_v1,trade_ratio,405,423,0.9408550618620063,1.3290123456790124,1.16548463356974,0.5527073767302447,0.5117466192095554,0.38815728381700604,0.2282611964090983,0.15989608740790773
Twin · bargain_card_v1,proposer_net_surplus,405,423,1.5162037037037037,0.2992592592592592,0.4695035460992908,0.5348814978434511,0.5875714246501776,1.2571296296296297,1.1092494089834517,0.147880220646178
Twin · descriptive_card_v1,trade_ratio,387,405,0.9408550618620063,1.3087855297157622,1.1347736625514402,0.4753170097665182,0.5244318732202252,0.36793046785375594,0.19819990580407246,0.16973056204968348
Twin · descriptive_card_v1,proposer_net_surplus,387,405,1.5162037037037037,0.33953488372093027,0.4348148148148148,0.6445660685622401,0.5839396026419237,1.198115848406546,1.1445370370370371,0.053578811369508816
Twin · mechanism_v2,trade_ratio,387,378,0.9408550618620063,1.4604220499569336,1.5610670194003529,0.6451961844644443,0.8287352558303498,0.5195669880949272,0.6202119575383466,-0.10064496944341939
Twin · mechanism_v2,proposer_net_surplus,387,378,1.5162037037037037,0.12118863049095607,0.2333333333333333,0.6037057252183649,0.5366957499760251,1.4147394487510767,1.307936507936508,0.10680294081456876
Twin · no_econ_games_v1,trade_ratio,414,423,0.9408550618620063,1.380636070853462,1.2129629629629628,0.4881789400818856,0.5525991734883426,0.43978100899145584,0.27210790110095673,0.1676731078904991
Twin · no_econ_games_v1,proposer_net_surplus,414,423,1.5162037037037037,0.27439613526570045,0.491725768321513,0.6037495542327725,0.5466446981166282,1.259279388083736,1.0816193853427896,0.1776600027409465
Twin · selective_card_v2,trade_ratio,396,414,0.9408550618620063,1.3409090909090908,1.1304347826086956,0.5487385939454748,0.48945089997008706,0.4000540290470846,0.1925763595525069,0.2074776694945777
Twin · selective_card_v2,proposer_net_surplus,396,414,1.5162037037037037,0.3987373737373738,0.4760869565217391,0.5638283836230323,0.6049978258226698,1.1522306397306399,1.090962157809984,0.061268481920655926
