custom_id,record_id,unit_id,treatment_name,chip_family,chip_family_display,cohort_name,stage_name,stage_code,experiment_name,data_source,player_id,final_welfare,initial_welfare,final_surplus,proposer_turn_count,proposer_mean_trade_ratio,proposer_acceptance_rate,proposer_mean_net_surplus
chip_bargain__chip2_cohort_01_m7xia7_game_1,chip2__cohort_01_m7xia7__game_1,chip2__cohort_01_m7xia7__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 01-m7xia7,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),generated,buffalo-red-6989,6.9,6.0,0.9000000000000004,3,2.0,1.0,0.3
chip_bargain__chip2_cohort_01_m7xia7_game_1,chip2__cohort_01_m7xia7__game_1,chip2__cohort_01_m7xia7__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 01-m7xia7,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),generated,cat-pink-8143,9.600000000000001,9.0,0.6000000000000014,3,1.0,0.0,0.09999999999999998
chip_bargain__chip2_cohort_01_m7xia7_game_1,chip2__cohort_01_m7xia7__game_1,chip2__cohort_01_m7xia7__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 01-m7xia7,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),generated,dog-orange-384,8.1,8.0,0.09999999999999964,3,1.0,0.0,0.20000000000000004
chip_bargain__chip2_cohort_01_m8aexq_game_1,chip2__cohort_01_m8aexq__game_1,chip2__cohort_01_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 01-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,badger-purple-4937,15.700000000000001,13.0,2.700000000000001,3,1.0,1.0,0.30000000000000004
chip_bargain__chip2_cohort_01_m8aexq_game_1,chip2__cohort_01_m8aexq__game_1,chip2__cohort_01_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 01-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,goose-purple-9353,9.0,8.0,1.0,3,1.0,1.0,0.20000000000000004
chip_bargain__chip2_cohort_01_m8aexq_game_1,chip2__cohort_01_m8aexq__game_1,chip2__cohort_01_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 01-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,otter-yellow-8375,8.8,8.0,0.8000000000000007,3,1.0,1.0,0.20000000000000004
chip_bargain__chip2_cohort_02_m7xiz2_game_1,chip2__cohort_02_m7xiz2__game_1,chip2__cohort_02_m7xiz2__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 02-m7xiz2,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),generated,badger-red-827,8.5,7.0,1.5,3,1.0,0.6666666666666666,0.09999999999999999
chip_bargain__chip2_cohort_02_m7xiz2_game_1,chip2__cohort_02_m7xiz2__game_1,chip2__cohort_02_m7xiz2__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 02-m7xiz2,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),generated,otter-blue-1497,11.0,10.0,1.0,3,0.5,0.6666666666666666,0.5
chip_bargain__chip2_cohort_02_m7xiz2_game_1,chip2__cohort_02_m7xiz2__game_1,chip2__cohort_02_m7xiz2__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 02-m7xiz2,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),generated,peacock-pink-777,15.3,13.0,2.3000000000000007,3,0.8333333333333334,1.0,0.5666666666666668
chip_bargain__chip2_cohort_02_m8aexq_game_1,chip2__cohort_02_m8aexq__game_1,chip2__cohort_02_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 02-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,buffalo-red-8335,8.6,8.0,0.5999999999999996,3,1.0,0.0,0.20000000000000004
chip_bargain__chip2_cohort_02_m8aexq_game_1,chip2__cohort_02_m8aexq__game_1,chip2__cohort_02_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 02-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,camel-green-9744,6.9,6.0,0.9000000000000004,3,2.0,1.0,0.3
chip_bargain__chip2_cohort_02_m8aexq_game_1,chip2__cohort_02_m8aexq__game_1,chip2__cohort_02_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 02-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,cat-orange-7489,6.9,6.0,0.9000000000000004,3,2.0,1.0,0.3
chip_bargain__chip2_cohort_03_m8aexq_game_1,chip2__cohort_03_m8aexq__game_1,chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 03-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,dog-purple-778,13.6,14.0,-0.40000000000000036,3,1.0,0.0,0.4000000000000001
chip_bargain__chip2_cohort_03_m8aexq_game_1,chip2__cohort_03_m8aexq__game_1,chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 03-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,owl-orange-1045,10.0,10.0,0.0,3,1.0,0.0,0.0
chip_bargain__chip2_cohort_03_m8aexq_game_1,chip2__cohort_03_m8aexq__game_1,chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 03-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,peacock-purple-2249,13.3,13.0,0.3000000000000007,3,1.0,0.3333333333333333,0.30000000000000004
chip_bargain__chip2_cohort_04_m7xjm0_game_1,chip2__cohort_04_m7xjm0__game_1,chip2__cohort_04_m7xjm0__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 04-m7xjm0,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),generated,alligator-red-1535,9.4,9.0,0.40000000000000036,3,1.0,1.0,0.09999999999999998
chip_bargain__chip2_cohort_04_m7xjm0_game_1,chip2__cohort_04_m7xjm0__game_1,chip2__cohort_04_m7xjm0__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 04-m7xjm0,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),generated,butterfly-green-7685,19.5,15.0,4.5,3,1.0,1.0,0.5
chip_bargain__chip2_cohort_04_m7xjm0_game_1,chip2__cohort_04_m7xjm0__game_1,chip2__cohort_04_m7xjm0__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 04-m7xjm0,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),generated,ram-green-8863,9.0,8.0,1.0,3,1.0,1.0,0.20000000000000004
chip_bargain__chip2_cohort_04_m8aexq_game_1,chip2__cohort_04_m8aexq__game_1,chip2__cohort_04_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 04-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,dolphin-purple-6605,9.5,9.0,0.5,3,1.0,1.0,0.09999999999999998
chip_bargain__chip2_cohort_04_m8aexq_game_1,chip2__cohort_04_m8aexq__game_1,chip2__cohort_04_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 04-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,iguana-orange-9224,15.700000000000001,13.0,2.700000000000001,3,1.0,1.0,0.30000000000000004
chip_bargain__chip2_cohort_04_m8aexq_game_1,chip2__cohort_04_m8aexq__game_1,chip2__cohort_04_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 04-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,ram-red-5745,8.2,7.0,1.1999999999999993,3,1.0,1.0,0.3
chip_bargain__chip2_cohort_05_m7xjzy_game_1,chip2__cohort_05_m7xjzy__game_1,chip2__cohort_05_m7xjzy__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 05-m7xjzy,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),generated,iguana-red-1137,7.6,6.0,1.5999999999999996,3,1.0,1.0,0.4000000000000001
chip_bargain__chip2_cohort_05_m7xjzy_game_1,chip2__cohort_05_m7xjzy__game_1,chip2__cohort_05_m7xjzy__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 05-m7xjzy,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),generated,owl-yellow-7660,9.0,8.0,1.0,3,1.0,1.0,0.20000000000000004
chip_bargain__chip2_cohort_05_m7xjzy_game_1,chip2__cohort_05_m7xjzy__game_1,chip2__cohort_05_m7xjzy__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 05-m7xjzy,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),generated,whale-blue-4588,15.700000000000001,13.0,2.700000000000001,3,1.0,1.0,0.30000000000000004
chip_bargain__chip2_cohort_05_m8aexq_game_1,chip2__cohort_05_m8aexq__game_1,chip2__cohort_05_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 05-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,duck-pink-5390,8.5,7.0,1.5,3,1.0,1.0,0.3
chip_bargain__chip2_cohort_05_m8aexq_game_1,chip2__cohort_05_m8aexq__game_1,chip2__cohort_05_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 05-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,gorilla-purple-6898,8.2,7.0,1.1999999999999993,3,1.0,1.0,0.3
chip_bargain__chip2_cohort_05_m8aexq_game_1,chip2__cohort_05_m8aexq__game_1,chip2__cohort_05_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 05-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,kangaroo-purple-4743,11.9,11.0,0.9000000000000004,3,1.0,1.0,0.09999999999999998
