metric,run_name,mean_value,stderr,n_groups,family_name
final_surplus_ratio,baseline_gpt_5_mini_pgg_aligned_v3,0.20290890505367634,0.014482840865259347,6,gpt-5-mini
mean_trade_ratio,baseline_gpt_5_mini_pgg_aligned_v3,0.16178615081460943,0.02359086595273245,6,gpt-5-mini
mean_acceptance_rate,baseline_gpt_5_mini_pgg_aligned_v3,0.38888888888888884,0.008619901261585773,6,gpt-5-mini
final_surplus_ratio,twin_sampled_unadjusted_seed_0_gpt_5_mini_pgg_aligned_v3,0.17617600767900635,0.02022284965304976,6,gpt-5-mini
mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_mini_pgg_aligned_v3,0.15375810465250525,0.02289977020055643,6,gpt-5-mini
mean_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_mini_pgg_aligned_v3,0.400462962962963,0.01668166334900751,6,gpt-5-mini
final_surplus_ratio,twin_sampled_unadjusted_seed_0_gpt_5_mini_bargain_card_v1,0.18355345906486098,0.026705153369234413,6,gpt-5-mini
mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_mini_bargain_card_v1,0.18047959840298453,0.025141117147512246,6,gpt-5-mini
mean_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_mini_bargain_card_v1,0.4324006977992485,0.020110392571894096,6,gpt-5-mini
final_surplus_ratio,baseline_gpt_5_1_pgg_aligned_v3,0.2691325342060255,0.03796815372322638,6,gpt-5.1
mean_trade_ratio,baseline_gpt_5_1_pgg_aligned_v3,0.40911528865803876,0.02726841296994781,6,gpt-5.1
mean_acceptance_rate,baseline_gpt_5_1_pgg_aligned_v3,0.11582308593178157,0.020942385038073528,6,gpt-5.1
final_surplus_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_pgg_aligned_v3,0.28969934182042273,0.03378381137365926,6,gpt-5.1
mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_pgg_aligned_v3,0.3567847038180781,0.0192798971765387,6,gpt-5.1
mean_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_1_pgg_aligned_v3,0.12155007816716436,0.010741805775898932,6,gpt-5.1
final_surplus_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_bargain_card_v1,0.2540029191768393,0.04556029853931967,6,gpt-5.1
mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_bargain_card_v1,0.34243220378352873,0.02004857926782399,6,gpt-5.1
mean_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_1_bargain_card_v1,0.14340567510857363,0.00401567513152654,6,gpt-5.1
