metric,run_name,mean_value,stderr,n_groups,family_name
player_final_surplus,baseline_gpt_5_mini_pgg_aligned_v3,1.2856481481481483,0.22746836105535015,6,gpt-5-mini
player_proposer_mean_trade_ratio,baseline_gpt_5_mini_pgg_aligned_v3,0.1896251670795516,0.015803822030841318,6,gpt-5-mini
player_proposer_acceptance_rate,baseline_gpt_5_mini_pgg_aligned_v3,0.38117283950617287,0.00923350327262445,6,gpt-5-mini
round_end_surplus_ratio,baseline_gpt_5_mini_pgg_aligned_v3,0.19761563341222368,0.009790665892705984,6,gpt-5-mini
round_mean_trade_ratio,baseline_gpt_5_mini_pgg_aligned_v3,0.18253987411462902,0.012084524221877146,6,gpt-5-mini
round_acceptance_rate,baseline_gpt_5_mini_pgg_aligned_v3,0.38117283950617287,0.009233503272624434,6,gpt-5-mini
player_final_surplus,twin_sampled_unadjusted_seed_0_gpt_5_mini_pgg_aligned_v3,1.1126610305958131,0.20275176908514564,6,gpt-5-mini
player_proposer_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_mini_pgg_aligned_v3,0.1636881117242193,0.019377259873773114,6,gpt-5-mini
player_proposer_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_mini_pgg_aligned_v3,0.3973765432098766,0.017132409962326015,6,gpt-5-mini
round_end_surplus_ratio,twin_sampled_unadjusted_seed_0_gpt_5_mini_pgg_aligned_v3,0.17633557074515838,0.015153952936495461,6,gpt-5-mini
round_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_mini_pgg_aligned_v3,0.1643486886227189,0.01819511957650799,6,gpt-5-mini
round_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_mini_pgg_aligned_v3,0.3973765432098766,0.01713240996232602,6,gpt-5-mini
player_final_surplus,twin_sampled_unadjusted_seed_0_gpt_5_mini_bargain_card_v1,1.2737218196457325,0.2438072594020642,6,gpt-5-mini
player_proposer_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_mini_bargain_card_v1,0.19353905192137524,0.022756064574427783,6,gpt-5-mini
player_proposer_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_mini_bargain_card_v1,0.43085748792270534,0.019768702193273983,6,gpt-5-mini
round_end_surplus_ratio,twin_sampled_unadjusted_seed_0_gpt_5_mini_bargain_card_v1,0.17698073258832445,0.019694593078831823,6,gpt-5-mini
round_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_mini_bargain_card_v1,0.18663302797126916,0.023597828634501467,6,gpt-5-mini
round_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_mini_bargain_card_v1,0.43085748792270534,0.019768702193273983,6,gpt-5-mini
player_final_surplus,baseline_gpt_5_1_pgg_aligned_v3,1.52960401112575,0.3177007266058006,6,gpt-5.1
player_proposer_mean_trade_ratio,baseline_gpt_5_1_pgg_aligned_v3,0.41184363027526927,0.024995615624511636,6,gpt-5.1
player_proposer_acceptance_rate,baseline_gpt_5_1_pgg_aligned_v3,0.10516090860293759,0.02646859398089979,6,gpt-5.1
round_end_surplus_ratio,baseline_gpt_5_1_pgg_aligned_v3,0.24562901427491682,0.022023397035017534,6,gpt-5.1
round_mean_trade_ratio,baseline_gpt_5_1_pgg_aligned_v3,0.41014409524240086,0.02664901255190881,6,gpt-5.1
round_acceptance_rate,baseline_gpt_5_1_pgg_aligned_v3,0.12488105694627434,0.017179201871759083,6,gpt-5.1
player_final_surplus,twin_sampled_unadjusted_seed_0_gpt_5_1_pgg_aligned_v3,1.5585274120743227,0.2995659421264092,6,gpt-5.1
player_proposer_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_pgg_aligned_v3,0.3575195656640511,0.01928055469060022,6,gpt-5.1
player_proposer_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_1_pgg_aligned_v3,0.10943091149040805,0.011613937799068197,6,gpt-5.1
round_end_surplus_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_pgg_aligned_v3,0.26164407941490464,0.02013779846662492,6,gpt-5.1
round_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_pgg_aligned_v3,0.3593310001143744,0.019401410663041824,6,gpt-5.1
round_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_1_pgg_aligned_v3,0.14432247908601836,0.009323827509320443,6,gpt-5.1
player_final_surplus,twin_sampled_unadjusted_seed_0_gpt_5_1_bargain_card_v1,1.4614395769287072,0.3321847266338877,6,gpt-5.1
player_proposer_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_bargain_card_v1,0.3465607912454496,0.017788293880564448,6,gpt-5.1
player_proposer_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_1_bargain_card_v1,0.12811386815010004,0.011261247604706419,6,gpt-5.1
round_end_surplus_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_bargain_card_v1,0.23076454940616664,0.026110911680947587,6,gpt-5.1
round_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_bargain_card_v1,0.34577582518270567,0.01962951199950402,6,gpt-5.1
round_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_1_bargain_card_v1,0.14803530473820328,0.005928532605018031,6,gpt-5.1
