custom_id,record_id,unit_id,treatment_name,chip_family,chip_family_display,cohort_name,stage_name,stage_code,experiment_name,data_source,round_number,round_mean_trade_ratio,round_acceptance_rate,round_mean_proposer_net_surplus,round_end_total_surplus,round_end_surplus_ratio
chip_bargain__chip2_cohort_01_m7xia7_game_1,chip2__cohort_01_m7xia7__game_1,chip2__cohort_01_m7xia7__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 01-m7xia7,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),generated,0,1.5,0.6666666666666666,0.1333333333333333,1.2999999999999972,0.3249999999999993
chip_bargain__chip2_cohort_01_m7xia7_game_1,chip2__cohort_01_m7xia7__game_1,chip2__cohort_01_m7xia7__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 01-m7xia7,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),generated,1,3.0,0.3333333333333333,-0.19999999999999998,1.6000000000000014,0.40000000000000036
chip_bargain__chip2_cohort_01_m7xia7_game_1,chip2__cohort_01_m7xia7__game_1,chip2__cohort_01_m7xia7__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 01-m7xia7,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),generated,2,2.1666666666666665,0.0,-0.13333333333333341,1.6000000000000014,0.40000000000000036
chip_bargain__chip2_cohort_01_m8aexq_game_1,chip2__cohort_01_m8aexq__game_1,chip2__cohort_01_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 01-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,0,0.8888888888888888,0.3333333333333333,0.6666666666666669,1.5,0.17999999999999994
chip_bargain__chip2_cohort_01_m8aexq_game_1,chip2__cohort_01_m8aexq__game_1,chip2__cohort_01_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 01-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,1,1.5,0.3333333333333333,0.20000000000000007,3.0,0.3599999999999999
chip_bargain__chip2_cohort_01_m8aexq_game_1,chip2__cohort_01_m8aexq__game_1,chip2__cohort_01_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 01-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,2,1.3333333333333333,0.3333333333333333,0.13333333333333336,4.0,0.47999999999999987
chip_bargain__chip2_cohort_02_m8aexq_game_1,chip2__cohort_02_m8aexq__game_1,chip2__cohort_02_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 02-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,0,1.8333333333333333,0.3333333333333333,0.19999999999999996,0.6000000000000014,0.15000000000000036
chip_bargain__chip2_cohort_02_m8aexq_game_1,chip2__cohort_02_m8aexq__game_1,chip2__cohort_02_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 02-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,1,2.444444444444444,0.6666666666666666,0.23333333333333328,2.0,0.5
chip_bargain__chip2_cohort_02_m8aexq_game_1,chip2__cohort_02_m8aexq__game_1,chip2__cohort_02_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 02-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,2,1.5,0.6666666666666666,0.2333333333333333,2.8000000000000007,0.7000000000000002
chip_bargain__chip2_cohort_03_m8aexq_game_1,chip2__cohort_03_m8aexq__game_1,chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 03-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,0,0.8333333333333334,0.3333333333333333,0.23333333333333336,-0.29999999999999716,-0.07499999999999929
chip_bargain__chip2_cohort_03_m8aexq_game_1,chip2__cohort_03_m8aexq__game_1,chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 03-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,1,1.0,0.6666666666666666,-0.033333333333333326,-0.3999999999999986,-0.09999999999999964
chip_bargain__chip2_cohort_03_m8aexq_game_1,chip2__cohort_03_m8aexq__game_1,chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 03-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,generated,2,1.3333333333333333,0.6666666666666666,-0.3333333333333333,-1.5,-0.375
