metric_family,metric,distance_kind,n_groups,bootstrap_mean,bootstrap_median,bootstrap_p05,bootstrap_p95
behavior_distribution_distance,cooperation_pd_wd,wasserstein_1d,6,0.07769,0.0759999999999999,0.0459999999999999,0.1121999999999999
behavior_distribution_distance,cooperation_sh_wd,wasserstein_1d,6,0.06777,0.0659999999999999,0.044,0.0980999999999999
behavior_distribution_distance,cooperation_wd,mean_wasserstein_1d,6,0.07273,0.072,0.05295,0.0951499999999999
behavior_distribution_distance,coordination_earth_wd,wasserstein_1d,6,0.07499,0.072,0.044,0.1100999999999999
behavior_distribution_distance,coordination_wd,mean_wasserstein_1d,6,0.07499,0.072,0.044,0.1100999999999999
behavior_distribution_distance,fairness_offer_wd,wasserstein_1d,6,0.059604,0.058,0.04518,0.0788
behavior_distribution_distance,fairness_wd,mean_wasserstein_1d,6,0.064335,0.0632,0.0517,0.0812099999999999
behavior_distribution_distance,inequality_tolerance_wd,wasserstein_1d,6,0.069066,0.0679999999999999,0.04878,0.0947999999999999
behavior_distribution_distance,trust_send_wd,wasserstein_1d,6,0.07199,0.07,0.042,0.1059999999999999
behavior_distribution_distance,trust_wd,mean_wasserstein_1d,6,0.07199,0.07,0.042,0.1059999999999999
behavior_distribution_distance,trustworthiness_return_wd,wasserstein_1d,6,0.0520633333333333,0.0513333333333333,0.0393166666666666,0.0670166666666666
behavior_distribution_distance,trustworthiness_wd,mean_wasserstein_1d,6,0.0520633333333333,0.0513333333333333,0.0393166666666666,0.0670166666666666
delegation_distribution_distance,C_delegated,wasserstein_1d,4,0.077025,0.075,0.0347499999999999,0.13
delegation_distribution_distance,PD_delegated,wasserstein_1d,4,0.071975,0.0699999999999999,0.03,0.12
delegation_distribution_distance,SH_delegated,wasserstein_1d,4,0.0715499999999999,0.07,0.03,0.1149999999999999
delegation_distribution_distance,TGReceiver_delegated,wasserstein_1d,4,0.079,0.075,0.0347499999999999,0.13
delegation_distribution_distance,TGSender_delegated,wasserstein_1d,4,0.0806,0.0799999999999999,0.035,0.13
delegation_distribution_distance,UGProposer_delegated,wasserstein_1d,4,0.0717,0.07,0.03,0.1152499999999999
delegation_distribution_distance,UGResponder_delegated,wasserstein_1d,4,0.077775,0.075,0.0349999999999999,0.1249999999999999
delegation_distribution_distance,mean_delegation_wd,mean_wasserstein_1d,4,0.0756607142857142,0.0739285714285714,0.055,0.0992857142857142
paper_index_distribution_distance,delegation_index_wd,wasserstein_1d,4,0.063475,0.0610714285714285,0.0428571428571428,0.0893214285714285
paper_index_distribution_distance,equality_index_wd,wasserstein_1d,6,0.0552873050966101,0.0545826178575815,0.0432881582353676,0.070439097281009
paper_index_distribution_distance,intentions_index_wd,wasserstein_1d,6,0.0496656753779259,0.0493690882871909,0.0380264274707653,0.0615682834246241
paper_index_distribution_distance,kindness_index_wd,wasserstein_1d,6,0.0627220936298151,0.0624421728016792,0.0468508673047741,0.0788982708413091
paper_index_distribution_distance,payoff_index_wd,wasserstein_1d,6,0.042743560659626,0.0421789396257095,0.0352311311832445,0.0527684289286196
paper_index_distribution_distance,predictability_index_wd,wasserstein_1d,6,0.0804545330085703,0.0785254767176345,0.0551118823789921,0.1084720365732993
paper_index_distribution_distance,prosociality_index_wd,wasserstein_1d,6,0.0467527366061932,0.0458538151885775,0.0389998185608918,0.0579463247024985
scenario_direct_value_distance,TGReceiver_decision_direct,wasserstein_1d,6,0.3417353210426582,0.3384652135001526,0.2647572886693572,0.4416576973898599
scenario_direct_value_distance,UGProposer_decision_direct,wasserstein_1d,6,0.2764365254830506,0.2729130892879075,0.2164407911768383,0.3521954864050453
scenario_direct_value_distance,UGResponder_decision_direct,wasserstein_1d,6,0.3654332100615541,0.3627762000287028,0.2717301164097909,0.4831976412784636
scenario_direct_value_distance,mean_numeric_direct_value_wd,mean_wasserstein_1d,6,0.3278683521957544,0.3261299712001866,0.2745474257567906,0.3878487783151089
scenario_state_distribution_distance,C_decision_state,total_variation,6,0.1240375,0.123125,0.1,0.1500624999999999
scenario_state_distribution_distance,PD_decision_state,total_variation,6,0.08510625,0.08375,0.0575,0.1176249999999999
scenario_state_distribution_distance,SH_decision_state,total_variation,6,0.0739125,0.073125,0.0525,0.0963124999999999
scenario_state_distribution_distance,TGReceiver_decision_state,total_variation,6,0.160425,0.15875,0.12875,0.1938124999999999
scenario_state_distribution_distance,TGSender_decision_state,total_variation,6,0.07915625,0.0787499999999999,0.0549375,0.1038124999999999
scenario_state_distribution_distance,UGProposer_decision_state,total_variation,6,0.11848125,0.11875,0.0974375,0.1400624999999999
scenario_state_distribution_distance,UGResponder_decision_state,total_variation,6,0.15470625,0.1525,0.1225,0.19
scenario_state_distribution_distance,mean_role_state_tv,total_variation,6,0.1136892857142857,0.1135714285714285,0.1005357142857142,0.127875
