metric_scope,treatment_name,cell_name,scenario,case,metric,generated_value,human_value,abs_error,generated_n,human_n
session,ODP,,,,UGProposer_delegated,1.0,0.36,0.64,50,50
session,ODP,,,,UGResponder_delegated,1.0,0.4,0.6,50,50
session,ODP,,,,TGSender_delegated,0.98,0.52,0.45999999999999996,50,50
session,ODP,,,,TGReceiver_delegated,1.0,0.46,0.54,50,50
session,ODP,,,,PD_delegated,0.98,0.32,0.6599999999999999,50,50
session,ODP,,,,SH_delegated,0.96,0.32,0.6399999999999999,50,50
session,ODP,,,,C_delegated,0.96,0.32,0.6399999999999999,50,50
session,ODU,,,,UGProposer_delegated,1.0,0.38,0.62,50,50
session,ODU,,,,UGResponder_delegated,0.92,0.44,0.48000000000000004,50,50
session,ODU,,,,TGSender_delegated,0.84,0.66,0.17999999999999994,50,50
session,ODU,,,,TGReceiver_delegated,0.88,0.62,0.26,50,50
session,ODU,,,,PD_delegated,0.9,0.4,0.5,50,50
session,ODU,,,,SH_delegated,0.7,0.3,0.39999999999999997,50,50
session,ODU,,,,C_delegated,0.74,0.56,0.17999999999999994,50,50
session,TDP,,,,UGProposer_delegated,1.0,0.28,0.72,50,50
session,TDP,,,,UGResponder_delegated,1.0,0.32,0.6799999999999999,50,50
session,TDP,,,,TGSender_delegated,1.0,0.42,0.5800000000000001,50,50
session,TDP,,,,TGReceiver_delegated,1.0,0.38,0.62,50,50
session,TDP,,,,PD_delegated,0.96,0.28,0.6799999999999999,50,50
session,TDP,,,,SH_delegated,0.94,0.24,0.7,50,50
session,TDP,,,,C_delegated,0.92,0.52,0.4,50,50
session,TDU,,,,UGProposer_delegated,1.0,0.28,0.72,50,50
session,TDU,,,,UGResponder_delegated,1.0,0.46,0.54,50,50
session,TDU,,,,TGSender_delegated,0.94,0.54,0.3999999999999999,50,50
session,TDU,,,,TGReceiver_delegated,0.96,0.44,0.52,50,50
session,TDU,,,,PD_delegated,0.8,0.34,0.46,50,50
session,TDU,,,,SH_delegated,0.78,0.24,0.54,50,50
session,TDU,,,,C_delegated,0.8,0.48,0.32000000000000006,50,50
