metric_family,metric,distance_kind,n_groups,random_mean,random_median,random_p05,random_p95
delegation_distribution_distance,C_delegated,wasserstein_1d,4,0.09257000000000003,0.09000000000000002,0.05,0.14
delegation_distribution_distance,PD_delegated,wasserstein_1d,4,0.1683,0.16999999999999998,0.11000000000000003,0.22
delegation_distribution_distance,SH_delegated,wasserstein_1d,4,0.22644999999999998,0.22499999999999998,0.17475000000000002,0.28500000000000003
delegation_distribution_distance,TGReceiver_delegated,wasserstein_1d,4,0.09714,0.09500000000000001,0.05000000000000002,0.14999999999999997
delegation_distribution_distance,TGSender_delegated,wasserstein_1d,4,0.09431999999999997,0.09499999999999999,0.04500000000000001,0.14499999999999996
delegation_distribution_distance,UGProposer_delegated,wasserstein_1d,4,0.17783999999999997,0.17999999999999997,0.11999999999999998,0.235
delegation_distribution_distance,UGResponder_delegated,wasserstein_1d,4,0.10722000000000001,0.10500000000000002,0.06000000000000001,0.16000000000000003
delegation_distribution_distance,mean_delegation_wd,mean_wasserstein_1d,4,0.13769142857142855,0.13857142857142857,0.11714285714285715,0.15357142857142858
scenario_direct_value_distance,TGReceiver_decision_direct,wasserstein_1d,6,0.82875522318245,0.8274826584335664,0.7532189591729986,0.9080242573316801
scenario_direct_value_distance,UGProposer_decision_direct,wasserstein_1d,6,2.215271097645749,2.21655211971666,2.1112265572243,2.321801986142894
scenario_direct_value_distance,UGResponder_decision_direct,wasserstein_1d,6,1.7155976987150923,1.709136230114491,1.6106435123461778,1.8416156974124747
scenario_direct_value_distance,mean_numeric_direct_value_wd,mean_wasserstein_1d,6,1.5865413398477635,1.5862549081201907,1.532041932638724,1.6418776624836329
scenario_state_distribution_distance,C_decision_state,total_variation,6,0.4247575,0.425,0.40125,0.4475
scenario_state_distribution_distance,PD_decision_state,total_variation,6,0.10452750000000001,0.105,0.08374999999999999,0.12625
scenario_state_distribution_distance,SH_decision_state,total_variation,6,0.28082,0.28,0.25125,0.3075
scenario_state_distribution_distance,TGReceiver_decision_state,total_variation,6,0.351845,0.3525,0.3275,0.37625000000000003
scenario_state_distribution_distance,TGSender_decision_state,total_variation,6,0.1911975,0.19125,0.1649375,0.21875
scenario_state_distribution_distance,UGProposer_decision_state,total_variation,6,0.65125,0.65125,0.6325,0.6700625
scenario_state_distribution_distance,UGResponder_decision_state,total_variation,6,0.5412875,0.54125,0.51625,0.565
scenario_state_distribution_distance,mean_role_state_tv,total_variation,6,0.3636692857142857,0.36348214285714286,0.3555267857142857,0.3732142857142857
