metric_family,metric,distance_kind,n_groups,bootstrap_mean,bootstrap_median,bootstrap_p05,bootstrap_p95
behavior_distribution_distance,cooperation_pd_wd,wasserstein_1d,6,0.07825188750440384,0.07652696814541418,0.046384076904099875,0.11920330937360092
behavior_distribution_distance,cooperation_sh_wd,wasserstein_1d,6,0.06816552495179579,0.06604536016946773,0.042924409414722475,0.0994012547495907
behavior_distribution_distance,cooperation_wd,mean_wasserstein_1d,6,0.0732087062280998,0.07362194588271558,0.05140053028798518,0.09671463637966313
behavior_distribution_distance,coordination_earth_wd,wasserstein_1d,6,0.07559595813719265,0.0735777245315906,0.045952918147714274,0.10905115364635043
behavior_distribution_distance,coordination_wd,mean_wasserstein_1d,6,0.07559595813719265,0.0735777245315906,0.045952918147714274,0.10905115364635043
behavior_distribution_distance,fairness_offer_wd,wasserstein_1d,6,0.06035361927096827,0.0593608087726266,0.04625375906650797,0.07896260356954918
behavior_distribution_distance,fairness_wd,mean_wasserstein_1d,6,0.06505738412916498,0.0643187189169334,0.0514991204260031,0.0815403441984166
behavior_distribution_distance,inequality_tolerance_wd,wasserstein_1d,6,0.0697611489873617,0.0683377774019058,0.04939544512844717,0.0945624034226506
behavior_distribution_distance,trust_send_wd,wasserstein_1d,6,0.07264294945763637,0.07096730555779952,0.0454622697573999,0.10584577654581538
behavior_distribution_distance,trust_wd,mean_wasserstein_1d,6,0.07264294945763637,0.07096730555779952,0.0454622697573999,0.10584577654581538
behavior_distribution_distance,trustworthiness_return_wd,wasserstein_1d,6,0.052516552048048525,0.052050040032231425,0.039334021692065076,0.06720137835664387
behavior_distribution_distance,trustworthiness_wd,mean_wasserstein_1d,6,0.052516552048048525,0.052050040032231425,0.039334021692065076,0.06720137835664387
delegation_distribution_distance,C_delegated,wasserstein_1d,4,0.077025,0.075,0.0347499999999999,0.13
delegation_distribution_distance,PD_delegated,wasserstein_1d,4,0.071975,0.0699999999999999,0.03,0.12
delegation_distribution_distance,SH_delegated,wasserstein_1d,4,0.0715499999999999,0.07,0.03,0.1149999999999999
delegation_distribution_distance,TGReceiver_delegated,wasserstein_1d,4,0.079,0.075,0.0347499999999999,0.13
delegation_distribution_distance,TGSender_delegated,wasserstein_1d,4,0.0806,0.0799999999999999,0.035,0.13
delegation_distribution_distance,UGProposer_delegated,wasserstein_1d,4,0.0717,0.07,0.03,0.1152499999999999
delegation_distribution_distance,UGResponder_delegated,wasserstein_1d,4,0.077775,0.075,0.0349999999999999,0.1249999999999999
delegation_distribution_distance,mean_delegation_wd,mean_wasserstein_1d,4,0.0756607142857142,0.0739285714285714,0.055,0.0992857142857142
paper_index_distribution_distance,delegation_index_wd,wasserstein_1d,4,0.063475,0.0610714285714285,0.0428571428571428,0.0893214285714285
paper_index_distribution_distance,equality_index_wd,wasserstein_1d,6,0.05586240802144428,0.05515527401612625,0.04367133259273955,0.07058294182276567
paper_index_distribution_distance,intentions_index_wd,wasserstein_1d,6,0.049928362217404924,0.04998955908520565,0.03809021622612585,0.061742228483231375
paper_index_distribution_distance,kindness_index_wd,wasserstein_1d,6,0.0632060234197449,0.06282914738583345,0.04654425896060735,0.0793030841067606
paper_index_distribution_distance,payoff_index_wd,wasserstein_1d,6,0.04306952719669125,0.042539066597467846,0.03554435378352733,0.0528896165569715
paper_index_distribution_distance,predictability_index_wd,wasserstein_1d,6,0.08100830887733412,0.0790676912677052,0.055197683664810426,0.10995814465506219
paper_index_distribution_distance,prosociality_index_wd,wasserstein_1d,6,0.0471573576606185,0.046566626156137776,0.03905312242499075,0.058854183667923624
scenario_direct_value_distance,TGReceiver_decision_direct,wasserstein_1d,6,0.34432352028323915,0.3413002858422206,0.26661779887691456,0.4421507569313086
scenario_direct_value_distance,UGProposer_decision_direct,wasserstein_1d,6,0.27931204010722144,0.27577637008063144,0.218356662963698,0.3529147091138286
scenario_direct_value_distance,UGResponder_decision_direct,wasserstein_1d,6,0.36869014147122786,0.366101173062228,0.27307242881870974,0.4848578066262494
scenario_direct_value_distance,mean_numeric_direct_value_wd,mean_wasserstein_1d,6,0.33077523395389613,0.32977125931969165,0.2758828723518362,0.39177597990444624
scenario_state_distribution_distance,C_decision_state,total_variation,6,0.12524740530201028,0.12409683659847533,0.10055089632352712,0.15122935751502992
scenario_state_distribution_distance,PD_decision_state,total_variation,6,0.08561407434198215,0.08434704226739552,0.058215348751218025,0.11951429187085413
scenario_state_distribution_distance,SH_decision_state,total_variation,6,0.07438371168025905,0.073428086437187,0.053408943784687454,0.09790384742621686
scenario_state_distribution_distance,TGReceiver_decision_state,total_variation,6,0.16203942130408308,0.16128902121369326,0.13132800442601478,0.19371848031539018
scenario_state_distribution_distance,TGSender_decision_state,total_variation,6,0.07977471067787834,0.07937487692999018,0.05436275880948097,0.1055879706424205
scenario_state_distribution_distance,UGProposer_decision_state,total_variation,6,0.11954250902412597,0.11878311505850275,0.09957910259794475,0.14334702746217853
scenario_state_distribution_distance,UGResponder_decision_state,total_variation,6,0.15619285018773607,0.15410548849028927,0.12263865495944785,0.19300040480522465
scenario_state_distribution_distance,mean_role_state_tv,total_variation,6,0.11468495464543925,0.11436899928201143,0.10140330116843274,0.12882531793311264
