metric_scope,treatment_name,cell_name,scenario,case,metric,generated_value,human_value,abs_error,generated_n,human_n
session,ODP,,,,UGProposer_delegated,0.84,0.36,0.48,50,50
session,ODP,,,,UGResponder_delegated,0.16,0.4,0.24000000000000002,50,50
session,ODP,,,,TGSender_delegated,0.1,0.52,0.42000000000000004,50,50
session,ODP,,,,TGReceiver_delegated,0.84,0.46,0.37999999999999995,50,50
session,ODP,,,,PD_delegated,0.92,0.32,0.6000000000000001,50,50
session,ODP,,,,SH_delegated,0.66,0.32,0.34,50,50
session,ODP,,,,C_delegated,0.42,0.32,0.09999999999999998,50,50
session,ODU,,,,UGProposer_delegated,0.84,0.38,0.45999999999999996,50,50
session,ODU,,,,UGResponder_delegated,0.0,0.44,0.44,50,50
session,ODU,,,,TGSender_delegated,0.14,0.66,0.52,50,50
session,ODU,,,,TGReceiver_delegated,0.72,0.62,0.09999999999999998,50,50
session,ODU,,,,PD_delegated,0.84,0.4,0.43999999999999995,50,50
session,ODU,,,,SH_delegated,0.52,0.3,0.22000000000000003,50,50
session,ODU,,,,C_delegated,0.34,0.56,0.22000000000000003,50,50
session,TDP,,,,UGProposer_delegated,0.66,0.28,0.38,50,50
session,TDP,,,,UGResponder_delegated,0.06,0.32,0.26,50,50
session,TDP,,,,TGSender_delegated,0.06,0.42,0.36,50,50
session,TDP,,,,TGReceiver_delegated,0.68,0.38,0.30000000000000004,50,50
session,TDP,,,,PD_delegated,0.9,0.28,0.62,50,50
session,TDP,,,,SH_delegated,0.72,0.24,0.48,50,50
session,TDP,,,,C_delegated,0.66,0.52,0.14,50,50
session,TDU,,,,UGProposer_delegated,0.62,0.28,0.33999999999999997,50,50
session,TDU,,,,UGResponder_delegated,0.02,0.46,0.44,50,50
session,TDU,,,,TGSender_delegated,0.06,0.54,0.48000000000000004,50,50
session,TDU,,,,TGReceiver_delegated,0.44,0.44,0.0,50,50
session,TDU,,,,PD_delegated,0.78,0.34,0.44,50,50
session,TDU,,,,SH_delegated,0.54,0.24,0.30000000000000004,50,50
session,TDU,,,,C_delegated,0.46,0.48,0.019999999999999962,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,UGProposer_decision_nonnull_rate,0.16,0.64,0.48,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,UGResponder_decision_nonnull_rate,0.84,0.6,0.24,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,TGSender_decision_nonnull_rate,0.9,0.48,0.42000000000000004,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,TGReceiver_decision_nonnull_rate,0.16,0.54,0.38,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,PD_decision_nonnull_rate,0.08,0.68,0.6000000000000001,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,SH_decision_nonnull_rate,0.34,0.68,0.34,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,C_decision_nonnull_rate,0.58,0.68,0.10000000000000009,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,UGProposer_decision_direct_mean,4.5,4.78125,0.28125,8,32
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,UGResponder_decision_direct_mean,3.0,4.033333333333333,1.0333333333333332,42,30
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,TGReceiver_decision_direct_mean,2.875,2.5185185185185186,0.3564814814814814,8,27
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,UGProposer_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,UGResponder_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,TGSender_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,TGReceiver_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,PD_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,SH_decision_nonnull_rate,1.0,1.0,0.0,50,50
