metric_scope,metric,n_groups,mean_abs_error,median_abs_error
paper_index_scenario,equality_index_mean,6,0.10701715351180086,0.06893350888742589
paper_index_scenario,intentions_index_mean,6,0.11270488071114967,0.08266666666666672
paper_index_scenario,kindness_index_mean,6,0.2547402812134955,0.2666666666666667
paper_index_scenario,payoff_index_mean,6,0.12447946981238947,0.11757142857142855
paper_index_scenario,predictability_index_mean,6,0.2716714745338695,0.27461538461538465
paper_index_scenario,prosociality_index_mean,6,0.12548378130237603,0.11678458049886609
paper_index_session,delegation_index_mean,4,0.09714285714285717,0.09857142857142859
scenario,C_decision_nonnull_rate,6,0.030000000000000006,0.0
scenario,PD_decision_nonnull_rate,6,0.13125,0.0
scenario,SH_decision_nonnull_rate,6,0.08374999999999999,0.0
scenario,TGReceiver_decision_direct_mean,6,0.3769635105268291,0.36824074074074065
scenario,TGReceiver_decision_nonnull_rate,6,0.04875,0.0
scenario,TGSender_decision_nonnull_rate,6,0.11125,0.0
scenario,UGProposer_decision_direct_mean,6,0.5350857675590044,0.3446675444371299
scenario,UGProposer_decision_nonnull_rate,6,0.10375,0.0
scenario,UGResponder_decision_direct_mean,6,1.1829161995767574,0.9966666666666666
scenario,UGResponder_decision_nonnull_rate,6,0.08625,0.0
session,C_delegated,4,0.12,0.12
session,PD_delegated,4,0.525,0.52
session,SH_delegated,4,0.335,0.32000000000000006
session,TGReceiver_delegated,4,0.195,0.2
session,TGSender_delegated,4,0.445,0.45000000000000007
session,UGProposer_delegated,4,0.415,0.42
session,UGResponder_delegated,4,0.345,0.35
