case_group,role_slice,game,mean_expected_payoff,benchmark_mean_expected_payoff,data_source,relative_payoff_diff_pct
Benchmark,both,Sender,5.7225835389100705,5.546530612244899,generated,3.1741089876346384
Benchmark,both,Receiver,5.145660461986993,5.159285714285715,generated,-0.2640918346699439
Benchmark,both,PD,3.2220228750841,4.312448979591837,generated,-25.285542151757657
Benchmark,both,SH,6.743215967705764,6.584693877551021,generated,2.4074329513660064
Benchmark,both,C,4.230993496299619,3.7369387755102044,generated,13.220840652439136
Benchmark,both,Proposer,2.896501457725947,4.225408163265306,generated,-31.45037483224834
Benchmark,both,Responder,4.655640278089258,3.459387755102041,generated,34.57989123141623
Benchmark,no,Sender,5.702399641175152,5.546530612244899,generated,2.8102076744360938
Benchmark,no,Receiver,5.102265081856919,5.1079591836734695,generated,-0.11147508450637389
Benchmark,no,PD,3.3171114599686025,4.312448979591837,generated,-23.080563372078224
Benchmark,no,SH,6.685803991926441,6.6446938775510205,generated,0.6186908702342286
Benchmark,no,C,4.264633325857816,3.7369387755102044,generated,14.121038155771393
Benchmark,no,Proposer,1.4063691410630186,4.270816326530612,generated,-67.0702499583849
Benchmark,no,Responder,4.795245570755775,3.3659183673469384,generated,42.46470197479717
Benchmark,yes,Sender,5.7427674366449875,5.546530612244899,generated,3.5380103008331387
Benchmark,yes,Receiver,5.1890558421170665,5.210612244897959,generated,-0.413701917696907
Benchmark,yes,PD,3.1269342901995962,4.312448979591837,generated,-27.490520931437125
Benchmark,yes,SH,6.800627943485087,6.52469387755102,generated,4.229072982005344
Benchmark,yes,C,4.197353666741422,3.7369387755102044,generated,12.320643149106903
Benchmark,yes,Proposer,4.386633774388876,4.18,generated,4.943391731791302
Benchmark,yes,Responder,4.516034985422741,3.552857142857143,generated,27.1099513387985
AIR,both,Sender,5.35299394483068,5.546530612244899,generated,-3.4893283918230655
AIR,both,Receiver,5.076362413097107,5.159285714285715,generated,-1.6072632100796125
AIR,both,PD,5.191522762951335,4.312448979591837,generated,20.384560780188067
AIR,both,SH,5.777080062794348,6.584693877551021,generated,-12.265016867527335
AIR,both,C,2.485086342229199,3.7369387755102044,generated,-33.49940977050366
AIR,both,Proposer,2.4745458623009644,4.225408163265306,generated,-41.43652478797012
AIR,both,Responder,3.6909620991253647,3.459387755102041,generated,6.694084630489572
AIR,no,Sender,5.162816775061673,5.546530612244899,generated,-6.918087431738195
AIR,no,Receiver,5.0,5.1079591836734695,generated,-2.113548283990574
AIR,no,PD,7.5054945054945055,4.312448979591837,generated,74.04251136682163
AIR,no,SH,5.527472527472527,6.6446938775510205,generated,-16.813736955633207
AIR,no,C,2.4595200717649695,3.7369387755102044,generated,-34.18355987303615
AIR,no,Proposer,0.5391343350527024,4.270816326530612,generated,-87.37631652048434
