metric_scope,treatment_name,cell_name,scenario,case,metric,generated_value,human_value,abs_error,generated_n,human_n
session,ODP,,,,UGProposer_delegated,0.98,0.36,0.62,50,50
session,ODP,,,,UGResponder_delegated,0.96,0.4,0.5599999999999999,50,50
session,ODP,,,,TGSender_delegated,0.88,0.52,0.36,50,50
session,ODP,,,,TGReceiver_delegated,0.88,0.46,0.42,50,50
session,ODP,,,,PD_delegated,0.92,0.32,0.6000000000000001,50,50
session,ODP,,,,SH_delegated,0.92,0.32,0.6000000000000001,50,50
session,ODP,,,,C_delegated,0.86,0.32,0.54,50,50
session,ODU,,,,UGProposer_delegated,1.0,0.38,0.62,50,50
session,ODU,,,,UGResponder_delegated,0.94,0.44,0.49999999999999994,50,50
session,ODU,,,,TGSender_delegated,0.74,0.66,0.07999999999999996,50,50
session,ODU,,,,TGReceiver_delegated,0.74,0.62,0.12,50,50
session,ODU,,,,PD_delegated,0.74,0.4,0.33999999999999997,50,50
session,ODU,,,,SH_delegated,0.7,0.3,0.39999999999999997,50,50
session,ODU,,,,C_delegated,0.68,0.56,0.12,50,50
session,TDP,,,,UGProposer_delegated,1.0,0.28,0.72,50,50
session,TDP,,,,UGResponder_delegated,0.98,0.32,0.6599999999999999,50,50
session,TDP,,,,TGSender_delegated,1.0,0.42,0.5800000000000001,50,50
session,TDP,,,,TGReceiver_delegated,0.98,0.38,0.6,50,50
session,TDP,,,,PD_delegated,1.0,0.28,0.72,50,50
session,TDP,,,,SH_delegated,1.0,0.24,0.76,50,50
session,TDP,,,,C_delegated,1.0,0.52,0.48,50,50
session,TDU,,,,UGProposer_delegated,1.0,0.28,0.72,50,50
session,TDU,,,,UGResponder_delegated,1.0,0.46,0.54,50,50
session,TDU,,,,TGSender_delegated,0.82,0.54,0.2799999999999999,50,50
session,TDU,,,,TGReceiver_delegated,0.84,0.44,0.39999999999999997,50,50
session,TDU,,,,PD_delegated,0.84,0.34,0.49999999999999994,50,50
session,TDU,,,,SH_delegated,0.82,0.24,0.58,50,50
session,TDU,,,,C_delegated,0.84,0.48,0.36,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,UGProposer_decision_nonnull_rate,0.02,0.64,0.62,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,UGResponder_decision_nonnull_rate,0.04,0.6,0.5599999999999999,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,TGSender_decision_nonnull_rate,0.12,0.48,0.36,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,TGReceiver_decision_nonnull_rate,0.12,0.54,0.42000000000000004,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,PD_decision_nonnull_rate,0.08,0.68,0.6000000000000001,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,SH_decision_nonnull_rate,0.08,0.68,0.6000000000000001,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,C_decision_nonnull_rate,0.14,0.68,0.54,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,UGProposer_decision_direct_mean,5.0,4.78125,0.21875,1,32
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,UGResponder_decision_direct_mean,1.0,4.033333333333333,3.033333333333333,2,30
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,TGReceiver_decision_direct_mean,3.0,2.5185185185185186,0.4814814814814814,6,27
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,UGProposer_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,UGResponder_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,TGSender_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,TGReceiver_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,PD_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,SH_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,C_decision_nonnull_rate,1.0,1.0,0.0,50,50
