metric_scope,metric,n_groups,mean_abs_error,median_abs_error
paper_index_scenario,equality_index_mean,6,0.11751923076923082,0.1359999999999999
paper_index_scenario,intentions_index_mean,6,0.17701339285714285,0.18250000000000002
paper_index_scenario,kindness_index_mean,6,0.14900000000000005,0.14
paper_index_scenario,payoff_index_mean,6,0.08687868172929909,0.08533333333333343
paper_index_scenario,predictability_index_mean,6,0.2900414095708213,0.2941176470588235
paper_index_scenario,prosociality_index_mean,6,0.13057068606428085,0.15572705314009677
paper_index_session,delegation_index_mean,4,0.4921428571428572,0.5057142857142858
scenario,C_decision_nonnull_rate,6,0.09375,0.0
scenario,PD_decision_nonnull_rate,6,0.135,0.0
scenario,SH_decision_nonnull_rate,6,0.14625,0.0
scenario,TGReceiver_decision_direct_mean,6,0.32059846140544357,0.27
scenario,TGReceiver_decision_nonnull_rate,6,0.09625,0.0
scenario,TGSender_decision_nonnull_rate,6,0.08124999999999999,0.0
scenario,UGProposer_decision_direct_mean,6,0.5875961538461538,0.6799999999999997
scenario,UGProposer_decision_nonnull_rate,6,0.16749999999999998,0.0
scenario,UGResponder_decision_direct_mean,6,1.9004817927170867,1.94
scenario,UGResponder_decision_nonnull_rate,6,0.14125,0.0
session,C_delegated,4,0.375,0.42
session,PD_delegated,4,0.54,0.55
session,SH_delegated,4,0.585,0.5900000000000001
session,TGReceiver_delegated,4,0.38499999999999995,0.41
session,TGSender_delegated,4,0.32499999999999996,0.31999999999999995
session,UGProposer_delegated,4,0.6699999999999999,0.6699999999999999
session,UGResponder_delegated,4,0.565,0.55
