role_slice,game,n_case_groups,mean_abs_error_relative_payoff_diff_pct,median_abs_error_relative_payoff_diff_pct,summary_scope
both,Sender,4,0.9540965038858235,1.0118478180881851,by_game
both,Receiver,4,0.08412137555754706,0.08091818492169667,by_game
both,PD,4,14.229300450810982,13.203350527660774,by_game
both,SH,4,0.7048625849790185,0.6217195911574658,by_game
both,C,4,8.858627387196577,9.867019824149425,by_game
both,Proposer,4,20.61185501576532,21.387390054882005,by_game
both,Responder,4,34.9229107940278,32.87192239524153,by_game
no,Sender,4,1.1318297728021676,1.2979647860961618,by_game
no,Receiver,4,0.030182379743848298,0.02197450956890057,by_game
no,PD,4,17.95944758679295,17.52556001588436,by_game
no,SH,4,1.3335323032301227,1.059214242505585,by_game
no,C,4,9.090045660365707,8.527660968816559,by_game
no,Proposer,4,28.28969648114252,30.704560989443635,by_game
no,Responder,4,54.53815716285435,48.78288285675873,by_game
yes,Sender,4,0.9149823866490464,0.8536316138052724,by_game
yes,Receiver,4,0.1487476925801423,0.1343582477913441,by_game
yes,PD,4,10.499153314829023,9.736879466187116,by_game
yes,SH,4,0.3930532153459789,0.41294216361839053,by_game
yes,C,4,8.687044850683714,10.056321574344718,by_game
yes,Proposer,4,12.767201742357019,14.580989458400374,by_game
yes,Responder,4,16.339749305082062,12.967430639324458,by_game
both,Sender,3,0.701894435076981,0.42497608359706174,by_game_non_benchmark
both,Receiver,3,0.073379579666862,0.04548960661379109,by_game_non_benchmark
both,PD,3,11.676608101703723,11.655861057214501,by_game_non_benchmark
both,SH,3,0.7249970241905324,0.5989799149704544,by_game_non_benchmark
both,C,3,7.199402592407041,9.084703183878549,by_game_non_benchmark
both,Proposer,3,18.509348769311163,19.772534221189055,by_game_non_benchmark
both,Responder,3,31.537449374539907,29.1103769689104,by_game_non_benchmark
no,Sender,3,1.0141941318692356,1.1111928765913603,by_game_non_benchmark
no,Receiver,3,0.014649673045933712,0.0199768268808187,by_game_non_benchmark
no,PD,3,16.84989221824657,17.21003347647079,by_game_non_benchmark
no,SH,3,1.4383253411532497,1.0992752955504281,by_game_non_benchmark
no,C,3,6.9677765562633995,6.782808148107689,by_game_non_benchmark
no,Proposer,3,25.449821082673168,24.59979930233669,by_game_non_benchmark
no,Responder,3,55.6627888687076,46.40150366822289,by_game_non_benchmark
yes,Sender,3,0.5744202738574752,0.2612407093972813,by_game_non_benchmark
yes,Receiver,3,0.14661907648712003,0.11358295472347901,by_game_non_benchmark
yes,PD,3,6.503323985160887,7.813165491458051,by_game_non_benchmark
yes,SH,3,0.4364462540554266,0.5630102280191451,by_game_non_benchmark
yes,C,3,7.510809610759033,7.8968925782316735,by_game_non_benchmark
yes,Proposer,3,11.418085020569492,12.347427009081148,by_game_non_benchmark
yes,Responder,3,8.681499907177761,12.258027457062411,by_game_non_benchmark
both,ALL,4,11.480824873174724,8.853913216834085,overall
no,ALL,4,16.05327019241881,8.527660968816559,overall
yes,ALL,4,7.107133215360998,1.0514338921178035,overall
