metric_family,treatment_name,cell_name,scenario,case,metric,distance_kind,score,generated_n,human_n
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,fairness_offer_wd,wasserstein_1d,0.07999999999999999,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,inequality_tolerance_wd,wasserstein_1d,0.3960000000000001,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,fairness_wd,mean_wasserstein_1d,0.23800000000000004,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,trust_send_wd,wasserstein_1d,0.06,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,trust_wd,mean_wasserstein_1d,0.06,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,trustworthiness_return_wd,wasserstein_1d,0.06666666666666668,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,trustworthiness_wd,mean_wasserstein_1d,0.06666666666666668,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,cooperation_pd_wd,wasserstein_1d,0.21999999999999997,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,cooperation_sh_wd,wasserstein_1d,0.020000000000000018,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,cooperation_wd,mean_wasserstein_1d,0.12,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,coordination_earth_wd,wasserstein_1d,0.46,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,coordination_wd,mean_wasserstein_1d,0.46,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,fairness_offer_wd,wasserstein_1d,0.1,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,inequality_tolerance_wd,wasserstein_1d,0.324,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,fairness_wd,mean_wasserstein_1d,0.21200000000000002,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,trust_send_wd,wasserstein_1d,0.07999999999999999,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,trust_wd,mean_wasserstein_1d,0.07999999999999999,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,trustworthiness_return_wd,wasserstein_1d,0.060000000000000005,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,trustworthiness_wd,mean_wasserstein_1d,0.060000000000000005,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,cooperation_pd_wd,wasserstein_1d,0.26,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,cooperation_sh_wd,wasserstein_1d,0.03999999999999998,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,cooperation_wd,mean_wasserstein_1d,0.15,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,coordination_earth_wd,wasserstein_1d,0.34,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,coordination_wd,mean_wasserstein_1d,0.34,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,fairness_offer_wd,wasserstein_1d,0.152,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,inequality_tolerance_wd,wasserstein_1d,0.484,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,fairness_wd,mean_wasserstein_1d,0.318,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,trust_send_wd,wasserstein_1d,0.14,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,trust_wd,mean_wasserstein_1d,0.14,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,trustworthiness_return_wd,wasserstein_1d,0.11999999999999995,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,trustworthiness_wd,mean_wasserstein_1d,0.11999999999999995,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,cooperation_pd_wd,wasserstein_1d,0.30000000000000004,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,cooperation_sh_wd,wasserstein_1d,0.22000000000000003,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,cooperation_wd,mean_wasserstein_1d,0.26,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,coordination_earth_wd,wasserstein_1d,0.42,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,coordination_wd,mean_wasserstein_1d,0.42,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,fairness_offer_wd,wasserstein_1d,0.128,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,inequality_tolerance_wd,wasserstein_1d,0.42800000000000005,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,fairness_wd,mean_wasserstein_1d,0.278,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,trust_send_wd,wasserstein_1d,0.12,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,trust_wd,mean_wasserstein_1d,0.12,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,trustworthiness_return_wd,wasserstein_1d,0.07333333333333332,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,trustworthiness_wd,mean_wasserstein_1d,0.07333333333333332,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,cooperation_pd_wd,wasserstein_1d,0.33999999999999997,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,cooperation_sh_wd,wasserstein_1d,0.060000000000000026,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,cooperation_wd,mean_wasserstein_1d,0.2,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,coordination_earth_wd,wasserstein_1d,0.32,50,50
behavior_distribution_distance,TDP,TDP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,coordination_wd,mean_wasserstein_1d,0.32,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,fairness_offer_wd,wasserstein_1d,0.14400000000000002,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,inequality_tolerance_wd,wasserstein_1d,0.376,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,fairness_wd,mean_wasserstein_1d,0.26,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,trust_send_wd,wasserstein_1d,0.10000000000000003,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,trust_wd,mean_wasserstein_1d,0.10000000000000003,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,trustworthiness_return_wd,wasserstein_1d,0.07333333333333333,50,50
