record_id,treatment_name,n_requests,n_players,top1_total,top1_unique_players,top1_effective_n,top1_effective_n_share_of_players,top1_top_player,top1_top_player_count,top1_top_player_share,top1_uniform_expected_share,probability_unique_players,probability_effective_n,top_probability_player,top_probability_share
chip2__cohort_01_m7xia7__game_1,CHIP2__GAME_1,32,3,32.0,2,1.2633812503027273,0.42112708343424243,dog-orange-384,30.0,0.9375,0.3333333333333333,3,2.3750923511184077,dog-orange-384,0.6684374999999999
chip2__cohort_02_m7xiz2__game_1,CHIP2__GAME_1,32,3,32.0,3,1.845116947259154,0.615038982419718,otter-blue-1497,26.0,0.8125,0.3333333333333333,3,2.5676979561900573,otter-blue-1497,0.6053125
chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,32,3,32.0,3,2.736465162693914,0.9121550542313046,owl-orange-1045,17.0,0.53125,0.3333333333333333,3,2.961438171873292,owl-orange-1045,0.4040625
chip2__cohort_04_m8aexq__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,32,3,32.0,3,2.1578810218811197,0.7192936739603732,ram-red-5745,20.0,0.625,0.3333333333333333,3,2.712327562187582,ram-red-5745,0.4865625
chip2__cohort_05_m7xjzy__game_1,CHIP2__GAME_1,32,3,32.0,2,1.6202453123826384,0.5400817707942128,owl-yellow-7660,26.0,0.8125,0.3333333333333333,3,2.5270876657452046,owl-yellow-7660,0.5996875
chip2__cohort_05_m7xjzy__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,32,3,32.0,3,1.8497199775389868,0.616573325846329,owl-yellow-7660,25.0,0.78125,0.3333333333333333,3,2.548958216347421,owl-yellow-7660,0.5696874999999999
chip2__cohort_05_m8aexq__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,32,3,32.0,3,2.675366828465664,0.891788942821888,gorilla-purple-6898,18.0,0.5625,0.3333333333333333,3,2.917772196751139,gorilla-purple-6898,0.44156249999999997
chip2__cohort_07_m8ag8i__game_1,CHIP2__GAME_1,32,3,32.0,3,2.2965374234073592,0.7655124744691197,whale-green-1798,22.0,0.6875,0.3333333333333333,3,2.7463977913015545,whale-green-1798,0.53625
chip2__cohort_12_m8agmu__game_1,CHIP2__GAME_1,32,3,32.0,3,2.339359233680122,0.7797864112267073,buffalo-orange-6610,19.0,0.59375,0.3333333333333333,3,2.7944616776535462,buffalo-orange-6610,0.48749999999999993
chip2__cohort_12_m8agmu__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,32,3,32.0,3,2.193800143154352,0.731266714384784,goose-purple-9985,19.0,0.59375,0.3333333333333333,3,2.58573346612127,goose-purple-9985,0.5281250000000001
chip2__cohort_14_m8agmu__game_1,CHIP2__GAME_1,32,3,32.0,3,2.556795936414349,0.8522653121381163,ram-pink-8623,15.0,0.46875,0.3333333333333333,3,2.935671948838023,squid-yellow-4597,0.39749999999999996
chip2__cohort_14_m8agmu__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,32,3,32.0,2,1.2633812503027273,0.42112708343424243,otter-pink-5988,30.0,0.9375,0.3333333333333333,3,2.2842801428002946,otter-pink-5988,0.695
chip2__cohort_15_m8agmu__game_1,CHIP2__GAME_1,32,3,32.0,2,1.2633812503027273,0.42112708343424243,camel-pink-767,30.0,0.9375,0.3333333333333333,3,2.2911303742134854,camel-pink-767,0.67625
chip2__cohort_15_m8agmu__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,32,3,32.0,3,1.7630720877647699,0.58769069592159,camel-pink-767,26.0,0.8125,0.3333333333333333,3,2.5328111308822145,camel-pink-767,0.6146874999999999
chip2__cohort_18_m8agzl__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,32,3,32.0,3,2.736465162693914,0.9121550542313046,elephant-yellow-5788,17.0,0.53125,0.3333333333333333,3,2.942575454931656,elephant-yellow-5788,0.421875
chip2__cohort_20_m8agzl__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,32,3,32.0,3,2.4117158828471004,0.8039052942823668,tiger-yellow-3019,21.0,0.65625,0.3333333333333333,3,2.7290401231439336,tiger-yellow-3019,0.5265625
chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,32,3,32.0,3,2.838720512650752,0.946240170883584,buffalo-green-2230,14.0,0.4375,0.3333333333333333,3,2.9528730807512393,buffalo-green-2230,0.3959375
chip3__cohort_01_m8aiq8__game_2_alt_profile,CHIP3__GAME_2_ALT_PROFILE,32,3,32.0,3,2.0599357721347684,0.6866452573782561,goose-green-3433,22.0,0.6875,0.3333333333333333,3,2.714470791013256,goose-green-3433,0.5365625
