custom_id,estimated_input_chars,estimated_input_tokens_char4
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_01_m7xia7__game_1__p001__g001,5783,1446
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_02_m7xiz2__game_1__p001__g002,6144,1536
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_03_m8aexq__game_1__p001__g003,6198,1550
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_05_m7xjzy__game_1__p001__g004,6142,1536
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_07_m8ag8i__game_1__p001__g005,6306,1576
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_12_m8agmu__game_1__p001__g006,6267,1567
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_14_m8agmu__game_1__p001__g007,6261,1565
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_15_m8agmu__game_1__p001__g008,6324,1581
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_04_m8aexq__game_2_alt_profile__p001__g009,6048,1512
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__p001__g010,6150,1538
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_05_m8aexq__game_2_alt_profile__p001__g011,6281,1570
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_12_m8agmu__game_2_alt_profile__p001__g012,6490,1622
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_14_m8agmu__game_2_alt_profile__p001__g013,6244,1561
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p001__g014,6073,1518
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_18_m8agzl__game_2_alt_profile__p001__g015,6005,1501
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_20_m8agzl__game_2_alt_profile__p001__g016,6049,1512
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__cohort_01_m8aiq8__game_1__p001__g017,6209,1552
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__cohort_05_m8aiq8__game_1__p001__g018,6166,1542
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__g11_m5wp7b__game_1__p001__g019,6596,1649
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__g17_m5wp8w__game_1__p001__g020,6268,1567
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__g20_m5wq93__game_1__p001__g021,6339,1585
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__g6_m5wp77__game_1__p001__g022,6331,1583
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__g7_m5wp78__game_1__p001__g023,6645,1661
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__g9_m5wp79__game_1__p001__g024,6232,1558
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__cohort_01_m8aiq8__game_2_alt_profile__p001__g025,5998,1500
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__cohort_02_m8aiq8__game_2_alt_profile__p001__g026,6184,1546
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__cohort_03_m8aiq8__game_2_alt_profile__p001__g027,6062,1516
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__cohort_06_m8ak4g__game_2_alt_profile__p001__g028,6292,1573
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__g12_m5wp8p__game_2_alt_profile__p001__g029,6084,1521
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__g13_m5wp8q__game_2_alt_profile__p001__g030,6696,1674
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__g3_m5wp6q__game_2_alt_profile__p001__g031,6534,1634
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip3__g7_m5wp78__game_2_alt_profile__p001__g032,6746,1686
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_02_m89542__game_1__p001__g033,6252,1563
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_04_m8aboy__game_1__p001__g034,6395,1599
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_05_m7xlsd__game_1__p001__g035,6314,1578
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_05_m89542__game_1__p001__g036,6488,1622
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_05_m898xg__game_1__p001__g037,6483,1621
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_06_m89b9z__game_1__p001__g038,6308,1577
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_06_m8acrp__game_1__p001__g039,6657,1664
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_07_m8ad4g__game_1__p001__g040,6870,1718
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_01_m898xg__game_2_alt_profile__p001__g041,6115,1529
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_02_m7xl5i__game_2_alt_profile__p001__g042,6569,1642
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_02_m89542__game_2_alt_profile__p001__g043,6264,1566
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_02_m8aboy__game_2_alt_profile__p001__g044,6342,1586
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_03_m898xg__game_2_alt_profile__p001__g045,6506,1626
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_04_m89542__game_2_alt_profile__p001__g046,6604,1651
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_05_m7xlsd__game_2_alt_profile__p001__g047,6465,1616
concordia_compact_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_05_m898xg__game_2_alt_profile__p001__g048,6848,1712
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_01_m7xia7__game_1__p002__g001,5768,1442
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_02_m7xiz2__game_1__p002__g002,6129,1532
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_03_m8aexq__game_1__p002__g003,6183,1546
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_05_m7xjzy__game_1__p002__g004,6127,1532
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_07_m8ag8i__game_1__p002__g005,6291,1573
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_12_m8agmu__game_1__p002__g006,6252,1563
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_14_m8agmu__game_1__p002__g007,6246,1562
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_15_m8agmu__game_1__p002__g008,6309,1577
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_04_m8aexq__game_2_alt_profile__p002__g009,6033,1508
concordia_compact_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__p002__g010,6135,1534
