custom_id,persona_pid,game_id,treatment_name,player,player_key,match_rank,match_probability,is_top1,mean_contribution,mean_contribution_rate,first_contribution,first_contribution_rate,final_contribution,final_contribution_rate,contribution_sd,zero_contribution_rate,full_contribution_rate,contribution_slope,message_count,messages_per_round,rounds_with_message_rate,reward_given_units,reward_given_events,reward_given_round_rate,reward_received_units,reward_received_events,reward_received_round_rate,punish_given_units,punish_given_events,punish_given_round_rate,punish_received_units,punish_received_events,punish_received_round_rate
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_5mhtM66ewYHNxSp4q__p001__g001,concordia_c5fea4304e42,5mhtM66ewYHNxSp4q,VALIDATION_0_C,CHICKEN,5mhtM66ewYHNxSp4q::CHICKEN,1,0.48,True,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_5mhtM66ewYHNxSp4q__p001__g001,concordia_c5fea4304e42,5mhtM66ewYHNxSp4q,VALIDATION_0_C,RABBIT,5mhtM66ewYHNxSp4q::RABBIT,2,0.42,False,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_5mhtM66ewYHNxSp4q__p001__g001,concordia_c5fea4304e42,5mhtM66ewYHNxSp4q,VALIDATION_0_C,GORILLA,5mhtM66ewYHNxSp4q::GORILLA,3,0.1,False,16.666666666666668,0.8333333333333334,20.0,1.0,20.0,1.0,8.16496580927726,0.16666666666666666,0.8333333333333334,-0.42857142857142866,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_2TquMDieEiixty8AN__p001__g002,concordia_c5fea4304e42,2TquMDieEiixty8AN,VALIDATION_0_T,SLOTH,2TquMDieEiixty8AN::SLOTH,1,0.6,True,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,3,0.5,0.3333333333333333,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_2TquMDieEiixty8AN__p001__g002,concordia_c5fea4304e42,2TquMDieEiixty8AN,VALIDATION_0_T,DOG,2TquMDieEiixty8AN::DOG,2,0.25,False,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,2,0.3333333333333333,0.3333333333333333,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1,0.16666666666666666
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_2TquMDieEiixty8AN__p001__g002,concordia_c5fea4304e42,2TquMDieEiixty8AN,VALIDATION_0_T,PARROT,2TquMDieEiixty8AN::PARROT,3,0.15,False,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1,0.16666666666666666
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_65crAkEscRbHNJXbW__p001__g003,concordia_c5fea4304e42,65crAkEscRbHNJXbW,VALIDATION_10_C,SLOTH,65crAkEscRbHNJXbW::SLOTH,1,0.92,True,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_65crAkEscRbHNJXbW__p001__g003,concordia_c5fea4304e42,65crAkEscRbHNJXbW,VALIDATION_10_C,GORILLA,65crAkEscRbHNJXbW::GORILLA,2,0.05,False,10.833333333333334,0.5416666666666666,10.0,0.5,20.0,1.0,6.645800679125629,0.16666666666666666,0.16666666666666666,0.17857142857142855,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_65crAkEscRbHNJXbW__p001__g003,concordia_c5fea4304e42,65crAkEscRbHNJXbW,VALIDATION_10_C,DUCK,65crAkEscRbHNJXbW::DUCK,3,0.03,False,11.666666666666666,0.5833333333333334,10.0,0.5,0.0,0.0,6.831300510639732,0.16666666666666666,0.16666666666666666,-0.14285714285714285,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_3EG5RaDj4z7hkT2JD__p001__g004,concordia_c5fea4304e42,3EG5RaDj4z7hkT2JD,VALIDATION_10_T,GORILLA,3EG5RaDj4z7hkT2JD::GORILLA,1,0.8,True,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1,0.16666666666666666
