custom_id,persona_pid,persona_source,condition,profile_mode,persona_index,source_key,name,raw_profile_chars,raw_profile_sha1,game_id,treatment_name,config_id,num_rounds,players,model,top_k,match_rank,player,probability,is_top1
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_5mhtM66ewYHNxSp4q__p001__g001,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,compact,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,824,cb559a41f40aef537d7c02302bf293d652b1a961,5mhtM66ewYHNxSp4q,VALIDATION_0_C,0,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,3,1,CHICKEN,0.48,True
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_5mhtM66ewYHNxSp4q__p001__g001,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,compact,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,824,cb559a41f40aef537d7c02302bf293d652b1a961,5mhtM66ewYHNxSp4q,VALIDATION_0_C,0,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,3,2,RABBIT,0.42,False
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_5mhtM66ewYHNxSp4q__p001__g001,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,compact,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,824,cb559a41f40aef537d7c02302bf293d652b1a961,5mhtM66ewYHNxSp4q,VALIDATION_0_C,0,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,3,3,GORILLA,0.1,False
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_2TquMDieEiixty8AN__p001__g002,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,compact,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,824,cb559a41f40aef537d7c02302bf293d652b1a961,2TquMDieEiixty8AN,VALIDATION_0_T,0,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,3,1,SLOTH,0.6,True
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_2TquMDieEiixty8AN__p001__g002,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,compact,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,824,cb559a41f40aef537d7c02302bf293d652b1a961,2TquMDieEiixty8AN,VALIDATION_0_T,0,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,3,2,DOG,0.25,False
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_2TquMDieEiixty8AN__p001__g002,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,compact,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,824,cb559a41f40aef537d7c02302bf293d652b1a961,2TquMDieEiixty8AN,VALIDATION_0_T,0,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,3,3,PARROT,0.15,False
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_65crAkEscRbHNJXbW__p001__g003,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,compact,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,824,cb559a41f40aef537d7c02302bf293d652b1a961,65crAkEscRbHNJXbW,VALIDATION_10_C,10,6,"[""SLOTH"", ""GORILLA"", ""DUCK""]",gpt-5-mini,3,1,SLOTH,0.92,True
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_65crAkEscRbHNJXbW__p001__g003,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,compact,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,824,cb559a41f40aef537d7c02302bf293d652b1a961,65crAkEscRbHNJXbW,VALIDATION_10_C,10,6,"[""SLOTH"", ""GORILLA"", ""DUCK""]",gpt-5-mini,3,2,GORILLA,0.05,False
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_65crAkEscRbHNJXbW__p001__g003,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,compact,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,824,cb559a41f40aef537d7c02302bf293d652b1a961,65crAkEscRbHNJXbW,VALIDATION_10_C,10,6,"[""SLOTH"", ""GORILLA"", ""DUCK""]",gpt-5-mini,3,3,DUCK,0.03,False
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_3EG5RaDj4z7hkT2JD__p001__g004,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,compact,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,824,cb559a41f40aef537d7c02302bf293d652b1a961,3EG5RaDj4z7hkT2JD,VALIDATION_10_T,10,6,"[""SLOTH"", ""GORILLA"", ""DUCK""]",gpt-5-mini,3,1,GORILLA,0.8,True
