custom_id,estimated_input_chars,estimated_input_tokens_char4
concordia_pgg_match__pid_concordia_c5fea4304e42__game_5mhtM66ewYHNxSp4q__p001__g001,7601,1900
concordia_pgg_match__pid_concordia_c5fea4304e42__game_2TquMDieEiixty8AN__p001__g002,10529,2632
concordia_pgg_match__pid_concordia_c5fea4304e42__game_65crAkEscRbHNJXbW__p001__g003,7309,1827
concordia_pgg_match__pid_concordia_c5fea4304e42__game_3EG5RaDj4z7hkT2JD__p001__g004,7942,1986
concordia_pgg_match__pid_concordia_c5fea4304e42__game_PmcxhmDRj2tN3cECC__p001__g005,18713,4678
concordia_pgg_match__pid_concordia_c5fea4304e42__game_925LF9k9CXpz8KjQm__p001__g006,24182,6046
concordia_pgg_match__pid_concordia_c5fea4304e42__game_ASQtYBWx6cGN27KxL__p001__g007,9169,2292
concordia_pgg_match__pid_concordia_c5fea4304e42__game_DYFJDsdGg8bppBJ7P__p001__g008,9998,2500
concordia_pgg_match__pid_concordia_c5fea4304e42__game_CbDvrXGkphmfGtH3G__p001__g009,16204,4051
concordia_pgg_match__pid_concordia_c5fea4304e42__game_FvbM5EM5aB5pcjLpA__p001__g010,13126,3282
concordia_pgg_match__pid_concordia_c5fea4304e42__game_C5Cd8Yq5dDbdycXKB__p001__g011,10759,2690
concordia_pgg_match__pid_concordia_c5fea4304e42__game_AyQkFs97hRTki5zWR__p001__g012,11866,2966
concordia_pgg_match__pid_concordia_c5fea4304e42__game_7oRFMBwqmesGX7t3H__p001__g013,19026,4756
concordia_pgg_match__pid_concordia_c5fea4304e42__game_fMhhGrfpZH9ign2AK__p001__g014,12676,3169
concordia_pgg_match__pid_concordia_c5fea4304e42__game_i7C4Y4NiesraiSwwb__p001__g015,10960,2740
concordia_pgg_match__pid_concordia_c5fea4304e42__game_7tfDsTHHnxsgrhE3d__p001__g016,13353,3338
concordia_pgg_match__pid_concordia_c5fea4304e42__game_r7Bk7fEwX3HSRrXMZ__p001__g017,8577,2144
concordia_pgg_match__pid_concordia_c5fea4304e42__game_7FQezekfKk3zctLN8__p001__g018,14732,3683
concordia_pgg_match__pid_concordia_c5fea4304e42__game_2khRAszouj8vP8ZfP__p001__g019,10104,2526
concordia_pgg_match__pid_concordia_c5fea4304e42__game_CoHyYysb84APn5gDE__p001__g020,10108,2527
concordia_pgg_match__pid_concordia_c5fea4304e42__game_2KKC9nMd8nRXfgH5G__p001__g021,11242,2810
concordia_pgg_match__pid_concordia_c5fea4304e42__game_PrfKWppTZdvPhe4oN__p001__g022,12575,3144
concordia_pgg_match__pid_concordia_c5fea4304e42__game_6Pxb9DsQpyk22cJNr__p001__g023,8210,2052
concordia_pgg_match__pid_concordia_c5fea4304e42__game_Fm7uYc98E2b6kcoDE__p001__g024,9051,2263
concordia_pgg_match__pid_concordia_c5fea4304e42__game_9oyspxPncwXdAkruR__p001__g025,8480,2120
concordia_pgg_match__pid_concordia_c5fea4304e42__game_2TDnnb4wn9rwy3CYZ__p001__g026,9420,2355
concordia_pgg_match__pid_concordia_c5fea4304e42__game_7ywewvEuctuz4Rq8j__p001__g027,11843,2961
concordia_pgg_match__pid_concordia_c5fea4304e42__game_AJ4ikZuWJeJcEXhgZ__p001__g028,11321,2830
concordia_pgg_match__pid_concordia_c5fea4304e42__game_3v9ji6wNY7sXHe8cM__p001__g029,10577,2644
concordia_pgg_match__pid_concordia_c5fea4304e42__game_8GneB6qmtDLSnbcJT__p001__g030,9464,2366
concordia_pgg_match__pid_concordia_c5fea4304e42__game_6sSM4xSyZQkaxyHav__p001__g031,8667,2167
concordia_pgg_match__pid_concordia_c5fea4304e42__game_3EQGxadfbmAKaACgZ__p001__g032,8499,2125
concordia_pgg_match__pid_concordia_c5fea4304e42__game_Aj2G7CTuhLZ7Z2SPK__p001__g033,8995,2249
concordia_pgg_match__pid_concordia_c5fea4304e42__game_FAuuG8S2iw8wkGRnA__p001__g034,11332,2833
concordia_pgg_match__pid_concordia_c5fea4304e42__game_SFohXkBYvScM7Y7rC__p001__g035,10460,2615
concordia_pgg_match__pid_concordia_c5fea4304e42__game_5R7YRmti4R5GiJKpi__p001__g036,11693,2923
concordia_pgg_match__pid_concordia_c5fea4304e42__game_6BxRfLcBtXYodAS8h__p001__g037,7641,1910
concordia_pgg_match__pid_concordia_c5fea4304e42__game_7Y6PBvgZNqtriKzaZ__p001__g038,8126,2032
concordia_pgg_match__pid_concordia_c5fea4304e42__game_HmA52oSS75D5Z2W8a__p001__g039,11868,2967
concordia_pgg_match__pid_concordia_c5fea4304e42__game_6pQRuemJv5faRcZft__p001__g040,11814,2954
concordia_pgg_match__pid_concordia_8332c4928663__game_5mhtM66ewYHNxSp4q__p002__g001,7061,1765
