custom_id,input_tokens_tiktoken
concordia_pgg_match__pid_concordia_c5fea4304e42__game_5mhtM66ewYHNxSp4q__p001__g001,1865
concordia_pgg_match__pid_concordia_c5fea4304e42__game_2TquMDieEiixty8AN__p001__g002,2765
concordia_pgg_match__pid_concordia_c5fea4304e42__game_65crAkEscRbHNJXbW__p001__g003,1679
concordia_pgg_match__pid_concordia_c5fea4304e42__game_3EG5RaDj4z7hkT2JD__p001__g004,1836
concordia_pgg_match__pid_concordia_c5fea4304e42__game_PmcxhmDRj2tN3cECC__p001__g005,6940
concordia_pgg_match__pid_concordia_c5fea4304e42__game_925LF9k9CXpz8KjQm__p001__g006,8801
concordia_pgg_match__pid_concordia_c5fea4304e42__game_ASQtYBWx6cGN27KxL__p001__g007,2339
concordia_pgg_match__pid_concordia_c5fea4304e42__game_DYFJDsdGg8bppBJ7P__p001__g008,2816
concordia_pgg_match__pid_concordia_c5fea4304e42__game_CbDvrXGkphmfGtH3G__p001__g009,4870
concordia_pgg_match__pid_concordia_c5fea4304e42__game_FvbM5EM5aB5pcjLpA__p001__g010,3980
concordia_pgg_match__pid_concordia_c5fea4304e42__game_C5Cd8Yq5dDbdycXKB__p001__g011,3052
concordia_pgg_match__pid_concordia_c5fea4304e42__game_AyQkFs97hRTki5zWR__p001__g012,3518
concordia_pgg_match__pid_concordia_c5fea4304e42__game_7oRFMBwqmesGX7t3H__p001__g013,8025
concordia_pgg_match__pid_concordia_c5fea4304e42__game_fMhhGrfpZH9ign2AK__p001__g014,4258
concordia_pgg_match__pid_concordia_c5fea4304e42__game_i7C4Y4NiesraiSwwb__p001__g015,3026
concordia_pgg_match__pid_concordia_c5fea4304e42__game_7tfDsTHHnxsgrhE3d__p001__g016,3709
concordia_pgg_match__pid_concordia_c5fea4304e42__game_r7Bk7fEwX3HSRrXMZ__p001__g017,2434
concordia_pgg_match__pid_concordia_c5fea4304e42__game_7FQezekfKk3zctLN8__p001__g018,5553
concordia_pgg_match__pid_concordia_c5fea4304e42__game_2khRAszouj8vP8ZfP__p001__g019,2619
concordia_pgg_match__pid_concordia_c5fea4304e42__game_CoHyYysb84APn5gDE__p001__g020,2689
concordia_pgg_match__pid_concordia_c5fea4304e42__game_2KKC9nMd8nRXfgH5G__p001__g021,3187
concordia_pgg_match__pid_concordia_c5fea4304e42__game_PrfKWppTZdvPhe4oN__p001__g022,3764
concordia_pgg_match__pid_concordia_c5fea4304e42__game_6Pxb9DsQpyk22cJNr__p001__g023,2013
concordia_pgg_match__pid_concordia_c5fea4304e42__game_Fm7uYc98E2b6kcoDE__p001__g024,2250
concordia_pgg_match__pid_concordia_c5fea4304e42__game_9oyspxPncwXdAkruR__p001__g025,2048
concordia_pgg_match__pid_concordia_c5fea4304e42__game_2TDnnb4wn9rwy3CYZ__p001__g026,2468
concordia_pgg_match__pid_concordia_c5fea4304e42__game_7ywewvEuctuz4Rq8j__p001__g027,3616
concordia_pgg_match__pid_concordia_c5fea4304e42__game_AJ4ikZuWJeJcEXhgZ__p001__g028,3169
