custom_id,estimated_input_chars,estimated_input_tokens_char4
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_01_m7xia7__game_1__p001__g001,9930,2482
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_02_m7xiz2__game_1__p001__g002,10291,2573
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_03_m8aexq__game_1__p001__g003,10345,2586
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_05_m7xjzy__game_1__p001__g004,10289,2572
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_07_m8ag8i__game_1__p001__g005,10453,2613
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_12_m8agmu__game_1__p001__g006,10414,2604
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_14_m8agmu__game_1__p001__g007,10408,2602
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_15_m8agmu__game_1__p001__g008,10471,2618
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_04_m8aexq__game_2_alt_profile__p001__g009,10195,2549
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__p001__g010,10297,2574
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_05_m8aexq__game_2_alt_profile__p001__g011,10428,2607
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_12_m8agmu__game_2_alt_profile__p001__g012,10637,2659
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_14_m8agmu__game_2_alt_profile__p001__g013,10391,2598
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p001__g014,10220,2555
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_18_m8agzl__game_2_alt_profile__p001__g015,10152,2538
