custom_id,input_tokens_tiktoken
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_01_m7xia7__game_1__p001__g001,2357
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_02_m7xiz2__game_1__p001__g002,2520
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_03_m8aexq__game_1__p001__g003,2489
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_05_m7xjzy__game_1__p001__g004,2522
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_07_m8ag8i__game_1__p001__g005,2575
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_12_m8agmu__game_1__p001__g006,2516
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_14_m8agmu__game_1__p001__g007,2582
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_15_m8agmu__game_1__p001__g008,2514
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_04_m8aexq__game_2_alt_profile__p001__g009,2461
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__p001__g010,2520
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_05_m8aexq__game_2_alt_profile__p001__g011,2538
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_12_m8agmu__game_2_alt_profile__p001__g012,2609
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_14_m8agmu__game_2_alt_profile__p001__g013,2593
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p001__g014,2420
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_18_m8agzl__game_2_alt_profile__p001__g015,2406
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip2__cohort_20_m8agzl__game_2_alt_profile__p001__g016,2445
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip3__cohort_01_m8aiq8__game_1__p001__g017,2495
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip3__cohort_05_m8aiq8__game_1__p001__g018,2484
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip3__g11_m5wp7b__game_1__p001__g019,2706
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip3__g17_m5wp8w__game_1__p001__g020,2542
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip3__g20_m5wq93__game_1__p001__g021,2552
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip3__g6_m5wp77__game_1__p001__g022,2589
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip3__g7_m5wp78__game_1__p001__g023,2663
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip3__g9_m5wp79__game_1__p001__g024,2462
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip3__cohort_01_m8aiq8__game_2_alt_profile__p001__g025,2408
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip3__cohort_02_m8aiq8__game_2_alt_profile__p001__g026,2521
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip3__cohort_03_m8aiq8__game_2_alt_profile__p001__g027,2441
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip3__cohort_06_m8ak4g__game_2_alt_profile__p001__g028,2526
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip3__g12_m5wp8p__game_2_alt_profile__p001__g029,2473
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip3__g13_m5wp8q__game_2_alt_profile__p001__g030,2671
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip3__g3_m5wp6q__game_2_alt_profile__p001__g031,2604
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip3__g7_m5wp78__game_2_alt_profile__p001__g032,2711
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip4__cohort_02_m89542__game_1__p001__g033,2556
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip4__cohort_04_m8aboy__game_1__p001__g034,2558
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip4__cohort_05_m7xlsd__game_1__p001__g035,2602
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip4__cohort_05_m89542__game_1__p001__g036,2611
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip4__cohort_05_m898xg__game_1__p001__g037,2592
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip4__cohort_06_m89b9z__game_1__p001__g038,2577
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip4__cohort_06_m8acrp__game_1__p001__g039,2702
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip4__cohort_07_m8ad4g__game_1__p001__g040,2744
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip4__cohort_01_m898xg__game_2_alt_profile__p001__g041,2458
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip4__cohort_02_m7xl5i__game_2_alt_profile__p001__g042,2686
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip4__cohort_02_m89542__game_2_alt_profile__p001__g043,2558
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip4__cohort_02_m8aboy__game_2_alt_profile__p001__g044,2551
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip4__cohort_03_m898xg__game_2_alt_profile__p001__g045,2616
nemotron_chip_match__pid_nemotron_9c3d91aa5e61__record_chip4__cohort_04_m89542__game_2_alt_profile__p001__g046,2672
