distribution,field,n_nonmissing_weight,mean,sd,missing_weight,missing_share
candidate_uniform,age_self_report,1280.0,37.396820958646614,12.591245313841117,0.0,0.0
candidate_uniform,age_prolific,1258.0336996336996,37.34076410827023,12.546368539807387,21.966300366300402,0.01716117216117219
candidate_uniform,prolific_total_approvals,1280.0,1008.4790563548293,1346.7290144217793,0.0,0.0
matched_probability,age_self_report,1280.0,37.3665546875,11.419703579715708,0.0,0.0
matched_probability,age_prolific,1249.78,37.185976731904816,11.236084668243159,30.220000000000027,0.023609375000000023
matched_probability,prolific_total_approvals,1280.0,1173.8195703125,1527.4623335422843,0.0,0.0
matched_top1,age_self_report,1280.0,38.1921875,11.263142388554082,0.0,0.0
matched_top1,age_prolific,1250.0,38.028,11.02593379265448,30.0,0.0234375
matched_top1,prolific_total_approvals,1280.0,1278.9203125,1663.956818914602,0.0,0.0
unique_human_candidate,age_self_report,342.0,37.13742690058479,12.348797907222728,0.0,0.0
unique_human_candidate,age_prolific,337.0,37.16913946587537,12.357119195364366,5.0,0.014619883040935672
unique_human_candidate,prolific_total_approvals,342.0,1013.8976608187135,1300.9518573493513,0.0,0.0
