record_id,treatment_name,n_requests,n_players,top1_total,top1_unique_players,top1_effective_n,top1_effective_n_share_of_players,top1_top_player,top1_top_player_count,top1_top_player_share,top1_uniform_expected_share,probability_unique_players,probability_effective_n,top_probability_player,top_probability_share
chip2__cohort_01_m7xia7__game_1,CHIP2__GAME_1,1,3,1.0,1,1.0,0.3333333333333333,dog-orange-384,1.0,1.0,0.3333333333333333,3,2.2295918739204166,dog-orange-384,0.7000000000000001
chip2__cohort_02_m7xiz2__game_1,CHIP2__GAME_1,1,3,1.0,1,1.0,0.3333333333333333,peacock-pink-777,1.0,1.0,0.3333333333333333,3,2.454555595891148,peacock-pink-777,0.6000000000000001
chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,1,3,1.0,1,1.0,0.3333333333333333,dog-purple-778,1.0,1.0,0.3333333333333333,3,2.3557072363046703,dog-purple-778,0.65
chip2__cohort_04_m8aexq__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,1,3,1.0,1,1.0,0.3333333333333333,ram-red-5745,1.0,1.0,0.3333333333333333,3,2.2295918739204166,ram-red-5745,0.7000000000000001
chip2__cohort_05_m7xjzy__game_1,CHIP2__GAME_1,1,3,1.0,1,1.0,0.3333333333333333,owl-yellow-7660,1.0,1.0,0.3333333333333333,3,2.27896121459488,owl-yellow-7660,0.6
chip2__cohort_05_m7xjzy__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,1,3,1.0,1,1.0,0.3333333333333333,owl-yellow-7660,1.0,1.0,0.3333333333333333,3,2.3557072363046703,owl-yellow-7660,0.65
chip2__cohort_05_m8aexq__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,1,3,1.0,1,1.0,0.3333333333333333,gorilla-purple-6898,1.0,1.0,0.3333333333333333,3,2.3557072363046703,gorilla-purple-6898,0.65
chip2__cohort_07_m8ag8i__game_1,CHIP2__GAME_1,1,3,1.0,1,1.0,0.3333333333333333,whale-green-1798,1.0,1.0,0.3333333333333333,3,2.5539392274300625,whale-green-1798,0.6
chip2__cohort_12_m8agmu__game_1,CHIP2__GAME_1,1,3,1.0,1,1.0,0.3333333333333333,buffalo-orange-6610,1.0,1.0,0.3333333333333333,3,1.8457200132750962,buffalo-orange-6610,0.8
chip2__cohort_12_m8agmu__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,1,3,1.0,1,1.0,0.3333333333333333,goose-purple-9985,1.0,1.0,0.3333333333333333,3,2.3557072363046703,goose-purple-9985,0.65
