avatar,top1_count,top1_share,probability_mass,probability_share
CHICK,1,0.025,1.0499999999999998,0.02624999999999998
CHICKEN,2,0.05,3.2199999999999998,0.08049999999999995
COW,1,0.025,0.85,0.021249999999999988
CROCODILE,1,0.025,0.8500000000000001,0.02124999999999999
DOG,2,0.05,2.2,0.05499999999999997
DUCK,11,0.275,8.399999999999999,0.20999999999999985
FROG,0,0.0,0.3,0.007499999999999995
GORILLA,10,0.25,10.099999999999998,0.25249999999999984
MONKEY,1,0.025,1.0,0.024999999999999988
MOOSE,2,0.05,1.45,0.03624999999999998
OWL,1,0.025,1.0,0.024999999999999988
PARROT,2,0.05,2.68,0.06699999999999996
RABBIT,1,0.025,1.05,0.02624999999999999
SLOTH,5,0.125,5.3999999999999995,0.13499999999999993
SNAKE,0,0.0,0.25,0.006249999999999997
WHALE,0,0.0,0.2,0.0049999999999999975
