game_id,treatment_name,n_requests,n_players,top1_total,top1_unique_players,top1_effective_n,top1_effective_n_share_of_players,top1_top_player,top1_top_player_count,top1_top_player_share,top1_uniform_expected_share,probability_unique_players,probability_effective_n,top_probability_player,top_probability_share
2KKC9nMd8nRXfgH5G,VALIDATION_19_C,1,4,1.0,1,1.0,0.25,SLOTH,1.0,1.0,0.25,3,2.454555595891148,SLOTH,0.6000000000000001
2TDnnb4wn9rwy3CYZ,VALIDATION_2_T,1,4,1.0,1,1.0,0.25,DUCK,1.0,1.0,0.25,3,2.454555595891148,DUCK,0.6000000000000001
2TquMDieEiixty8AN,VALIDATION_0_T,1,10,1.0,1,1.0,0.1,RABBIT,1.0,1.0,0.1,3,2.8000940728538315,RABBIT,0.5
2khRAszouj8vP8ZfP,VALIDATION_18_C,1,4,1.0,1,1.0,0.25,DUCK,1.0,1.0,0.25,3,2.076301241290024,DUCK,0.75
3EG5RaDj4z7hkT2JD,VALIDATION_10_T,1,3,1.0,1,1.0,0.3333333333333333,SLOTH,1.0,1.0,0.3333333333333333,3,2.454555595891148,SLOTH,0.6000000000000001
3EQGxadfbmAKaACgZ,VALIDATION_5_T,1,4,1.0,1,1.0,0.25,GORILLA,1.0,1.0,0.25,3,1.9886096983055768,GORILLA,0.75
3v9ji6wNY7sXHe8cM,VALIDATION_4_C,1,7,1.0,1,1.0,0.14285714285714285,DUCK,1.0,1.0,0.14285714285714285,3,2.5539392274300625,DUCK,0.6
5R7YRmti4R5GiJKpi,VALIDATION_7_T,1,10,1.0,1,1.0,0.1,DUCK,1.0,1.0,0.1,3,2.8000940728538315,DUCK,0.5
5mhtM66ewYHNxSp4q,VALIDATION_0_C,1,10,1.0,1,1.0,0.1,GORILLA,1.0,1.0,0.1,3,2.8000940728538315,GORILLA,0.5
65crAkEscRbHNJXbW,VALIDATION_10_C,1,3,1.0,1,1.0,0.3333333333333333,GORILLA,1.0,1.0,0.3333333333333333,3,2.8000940728538315,GORILLA,0.5
6BxRfLcBtXYodAS8h,VALIDATION_8_C,1,6,1.0,1,1.0,0.16666666666666666,GORILLA,1.0,1.0,0.16666666666666666,3,2.2295918739204166,GORILLA,0.7000000000000001
6Pxb9DsQpyk22cJNr,VALIDATION_1_C,1,3,1.0,1,1.0,0.3333333333333333,DUCK,1.0,1.0,0.3333333333333333,3,2.3557072363046703,DUCK,0.65
6pQRuemJv5faRcZft,VALIDATION_9_T,1,15,1.0,1,1.0,0.06666666666666667,OWL,1.0,1.0,0.06666666666666667,3,2.5539392274300625,OWL,0.6
6sSM4xSyZQkaxyHav,VALIDATION_5_C,1,4,1.0,1,1.0,0.25,DUCK,1.0,1.0,0.25,3,1.9886096983055768,DUCK,0.75
7FQezekfKk3zctLN8,VALIDATION_17_T,1,19,1.0,1,1.0,0.05263157894736842,GORILLA,1.0,1.0,0.05263157894736842,3,2.454555595891148,GORILLA,0.6000000000000001
7Y6PBvgZNqtriKzaZ,VALIDATION_8_T,1,6,1.0,1,1.0,0.16666666666666666,CHICKEN,1.0,1.0,0.16666666666666666,3,2.5539392274300625,CHICKEN,0.6
7oRFMBwqmesGX7t3H,VALIDATION_15_C,1,13,1.0,1,1.0,0.07692307692307693,SLOTH,1.0,1.0,0.07692307692307693,3,2.5539392274300625,SLOTH,0.6
7tfDsTHHnxsgrhE3d,VALIDATION_16_T,1,10,1.0,1,1.0,0.1,PARROT,1.0,1.0,0.1,3,2.5539392274300625,PARROT,0.6
7ywewvEuctuz4Rq8j,VALIDATION_3_C,1,6,1.0,1,1.0,0.16666666666666666,SLOTH,1.0,1.0,0.16666666666666666,3,2.5539392274300625,SLOTH,0.6
8GneB6qmtDLSnbcJT,VALIDATION_4_T,1,7,1.0,1,1.0,0.14285714285714285,MOOSE,1.0,1.0,0.14285714285714285,3,2.6500279561849878,MOOSE,0.55
925LF9k9CXpz8KjQm,VALIDATION_11_T,1,12,1.0,1,1.0,0.08333333333333333,SLOTH,1.0,1.0,0.08333333333333333,3,2.5539392274300625,SLOTH,0.6
9oyspxPncwXdAkruR,VALIDATION_2_C,1,4,1.0,1,1.0,0.25,DUCK,1.0,1.0,0.25,3,2.3557072363046703,DUCK,0.65
AJ4ikZuWJeJcEXhgZ,VALIDATION_3_T,1,6,1.0,1,1.0,0.16666666666666666,DUCK,1.0,1.0,0.16666666666666666,3,2.454555595891148,DUCK,0.6000000000000001
ASQtYBWx6cGN27KxL,VALIDATION_12_C,1,6,1.0,1,1.0,0.16666666666666666,GORILLA,1.0,1.0,0.16666666666666666,3,2.454555595891148,GORILLA,0.6000000000000001
Aj2G7CTuhLZ7Z2SPK,VALIDATION_6_C,1,13,1.0,1,1.0,0.07692307692307693,DUCK,1.0,1.0,0.07692307692307693,3,2.8000940728538315,DUCK,0.5
AyQkFs97hRTki5zWR,VALIDATION_14_T,1,6,1.0,1,1.0,0.16666666666666666,DUCK,1.0,1.0,0.16666666666666666,3,2.5539392274300625,DUCK,0.6
