treatment_name,player,most_aligned_count,most_aligned_share,treatment_total
VALIDATION_0_C,GORILLA,1,1.0,1
VALIDATION_0_T,RABBIT,1,1.0,1
VALIDATION_10_C,GORILLA,1,1.0,1
VALIDATION_10_T,SLOTH,1,1.0,1
VALIDATION_11_C,GORILLA,1,1.0,1
VALIDATION_11_T,SLOTH,1,1.0,1
VALIDATION_12_C,GORILLA,1,1.0,1
VALIDATION_12_T,PARROT,1,1.0,1
VALIDATION_13_C,GORILLA,1,1.0,1
VALIDATION_13_T,MONKEY,1,1.0,1
VALIDATION_14_C,CHICKEN,1,1.0,1
VALIDATION_14_T,DUCK,1,1.0,1
VALIDATION_15_C,SLOTH,1,1.0,1
VALIDATION_15_T,CROCODILE,1,1.0,1
VALIDATION_16_C,CHICK,1,1.0,1
VALIDATION_16_T,PARROT,1,1.0,1
VALIDATION_17_C,DOG,1,1.0,1
VALIDATION_17_T,GORILLA,1,1.0,1
VALIDATION_18_C,DUCK,1,1.0,1
VALIDATION_18_T,GORILLA,1,1.0,1
VALIDATION_19_C,SLOTH,1,1.0,1
VALIDATION_19_T,DUCK,1,1.0,1
VALIDATION_1_C,DUCK,1,1.0,1
VALIDATION_1_T,GORILLA,1,1.0,1
VALIDATION_2_C,DUCK,1,1.0,1
VALIDATION_2_T,DUCK,1,1.0,1
VALIDATION_3_C,SLOTH,1,1.0,1
VALIDATION_3_T,DUCK,1,1.0,1
VALIDATION_4_C,DUCK,1,1.0,1
VALIDATION_4_T,MOOSE,1,1.0,1
VALIDATION_5_C,DUCK,1,1.0,1
VALIDATION_5_T,GORILLA,1,1.0,1
VALIDATION_6_C,DUCK,1,1.0,1
VALIDATION_6_T,MOOSE,1,1.0,1
VALIDATION_7_C,DOG,1,1.0,1
VALIDATION_7_T,DUCK,1,1.0,1
VALIDATION_8_C,GORILLA,1,1.0,1
VALIDATION_8_T,CHICKEN,1,1.0,1
VALIDATION_9_C,COW,1,1.0,1
VALIDATION_9_T,OWL,1,1.0,1
