custom_id,estimated_input_chars,estimated_input_tokens_char4
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_01_m7xia7__game_1__p001__g001,5676,1419
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_02_m7xiz2__game_1__p001__g002,6037,1509
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_03_m8aexq__game_1__p001__g003,6091,1523
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_05_m7xjzy__game_1__p001__g004,6035,1509
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_07_m8ag8i__game_1__p001__g005,6199,1550
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_12_m8agmu__game_1__p001__g006,6160,1540
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_14_m8agmu__game_1__p001__g007,6154,1538
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_15_m8agmu__game_1__p001__g008,6217,1554
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_04_m8aexq__game_2_alt_profile__p001__g009,5941,1485
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__p001__g010,6043,1511
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_05_m8aexq__game_2_alt_profile__p001__g011,6174,1544
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_12_m8agmu__game_2_alt_profile__p001__g012,6383,1596
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_14_m8agmu__game_2_alt_profile__p001__g013,6137,1534
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p001__g014,5966,1492
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_18_m8agzl__game_2_alt_profile__p001__g015,5898,1474
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip2__cohort_20_m8agzl__game_2_alt_profile__p001__g016,5942,1486
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__cohort_01_m8aiq8__game_1__p001__g017,6102,1526
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__cohort_05_m8aiq8__game_1__p001__g018,6059,1515
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__g11_m5wp7b__game_1__p001__g019,6489,1622
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__g17_m5wp8w__game_1__p001__g020,6161,1540
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__g20_m5wq93__game_1__p001__g021,6232,1558
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__g6_m5wp77__game_1__p001__g022,6224,1556
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__g7_m5wp78__game_1__p001__g023,6538,1634
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__g9_m5wp79__game_1__p001__g024,6125,1531
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__cohort_01_m8aiq8__game_2_alt_profile__p001__g025,5891,1473
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__cohort_02_m8aiq8__game_2_alt_profile__p001__g026,6077,1519
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__cohort_03_m8aiq8__game_2_alt_profile__p001__g027,5955,1489
personahub_elite_preview_chip_match__pid_personahub_elite_c0599ff32c6f__record_chip3__cohort_06_m8ak4g__game_2_alt_profile__p001__g028,6185,1546
