custom_id,persona_pid,persona_source,source_frame,source_key,persona_chars,persona_sha1,general_domain_top_1pct,specific_domain_top_1pct,general_domain_top_0_1pct,specific_domain_top_0_1pct,game_id,treatment_name,config_id,num_rounds,players,model,max_persona_chars,top_k
personahub_elite_preview_pgg_match__pid_personahub_elite_c0599ff32c6f__game_5mhtM66ewYHNxSp4q__p001__g001,personahub_elite_c0599ff32c6f,personahub_elite_preview,"ElitePersonas first 1,000 rows per shard",ElitePersonas/elite_personas.part1.jsonl:782,653,29a620a8a75ef0230a8bafdb9bb9f1d76006bf20,mathematics,None,None,None,5mhtM66ewYHNxSp4q,VALIDATION_0_C,0,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,0,3
personahub_elite_preview_pgg_match__pid_personahub_elite_c0599ff32c6f__game_2TquMDieEiixty8AN__p001__g002,personahub_elite_c0599ff32c6f,personahub_elite_preview,"ElitePersonas first 1,000 rows per shard",ElitePersonas/elite_personas.part1.jsonl:782,653,29a620a8a75ef0230a8bafdb9bb9f1d76006bf20,mathematics,None,None,None,2TquMDieEiixty8AN,VALIDATION_0_T,0,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,0,3
personahub_elite_preview_pgg_match__pid_personahub_elite_c0599ff32c6f__game_65crAkEscRbHNJXbW__p001__g003,personahub_elite_c0599ff32c6f,personahub_elite_preview,"ElitePersonas first 1,000 rows per shard",ElitePersonas/elite_personas.part1.jsonl:782,653,29a620a8a75ef0230a8bafdb9bb9f1d76006bf20,mathematics,None,None,None,65crAkEscRbHNJXbW,VALIDATION_10_C,10,6,"[""SLOTH"", ""GORILLA"", ""DUCK""]",gpt-5-mini,0,3
personahub_elite_preview_pgg_match__pid_personahub_elite_c0599ff32c6f__game_3EG5RaDj4z7hkT2JD__p001__g004,personahub_elite_c0599ff32c6f,personahub_elite_preview,"ElitePersonas first 1,000 rows per shard",ElitePersonas/elite_personas.part1.jsonl:782,653,29a620a8a75ef0230a8bafdb9bb9f1d76006bf20,mathematics,None,None,None,3EG5RaDj4z7hkT2JD,VALIDATION_10_T,10,6,"[""SLOTH"", ""GORILLA"", ""DUCK""]",gpt-5-mini,0,3
personahub_elite_preview_pgg_match__pid_personahub_elite_c0599ff32c6f__game_PmcxhmDRj2tN3cECC__p001__g005,personahub_elite_c0599ff32c6f,personahub_elite_preview,"ElitePersonas first 1,000 rows per shard",ElitePersonas/elite_personas.part1.jsonl:782,653,29a620a8a75ef0230a8bafdb9bb9f1d76006bf20,mathematics,None,None,None,PmcxhmDRj2tN3cECC,VALIDATION_11_C,11,26,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK"", ""SNAKE"", ""CROCODILE""]",gpt-5-mini,0,3
personahub_elite_preview_pgg_match__pid_personahub_elite_c0599ff32c6f__game_925LF9k9CXpz8KjQm__p001__g006,personahub_elite_c0599ff32c6f,personahub_elite_preview,"ElitePersonas first 1,000 rows per shard",ElitePersonas/elite_personas.part1.jsonl:782,653,29a620a8a75ef0230a8bafdb9bb9f1d76006bf20,mathematics,None,None,None,925LF9k9CXpz8KjQm,VALIDATION_11_T,11,26,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK"", ""SNAKE"", ""CROCODILE""]",gpt-5-mini,0,3
personahub_elite_preview_pgg_match__pid_personahub_elite_c0599ff32c6f__game_ASQtYBWx6cGN27KxL__p001__g007,personahub_elite_c0599ff32c6f,personahub_elite_preview,"ElitePersonas first 1,000 rows per shard",ElitePersonas/elite_personas.part1.jsonl:782,653,29a620a8a75ef0230a8bafdb9bb9f1d76006bf20,mathematics,None,None,None,ASQtYBWx6cGN27KxL,VALIDATION_12_C,12,12,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT""]",gpt-5-mini,0,3
personahub_elite_preview_pgg_match__pid_personahub_elite_c0599ff32c6f__game_DYFJDsdGg8bppBJ7P__p001__g008,personahub_elite_c0599ff32c6f,personahub_elite_preview,"ElitePersonas first 1,000 rows per shard",ElitePersonas/elite_personas.part1.jsonl:782,653,29a620a8a75ef0230a8bafdb9bb9f1d76006bf20,mathematics,None,None,None,DYFJDsdGg8bppBJ7P,VALIDATION_12_T,12,12,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT""]",gpt-5-mini,0,3
personahub_elite_preview_pgg_match__pid_personahub_elite_c0599ff32c6f__game_CbDvrXGkphmfGtH3G__p001__g009,personahub_elite_c0599ff32c6f,personahub_elite_preview,"ElitePersonas first 1,000 rows per shard",ElitePersonas/elite_personas.part1.jsonl:782,653,29a620a8a75ef0230a8bafdb9bb9f1d76006bf20,mathematics,None,None,None,CbDvrXGkphmfGtH3G,VALIDATION_13_C,13,17,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK"", ""SNAKE"", ""CROCODILE"", ""COW"", ""PINGUIN"", ""MONKEY"", ""FROG""]",gpt-5-mini,0,3
personahub_elite_preview_pgg_match__pid_personahub_elite_c0599ff32c6f__game_FvbM5EM5aB5pcjLpA__p001__g010,personahub_elite_c0599ff32c6f,personahub_elite_preview,"ElitePersonas first 1,000 rows per shard",ElitePersonas/elite_personas.part1.jsonl:782,653,29a620a8a75ef0230a8bafdb9bb9f1d76006bf20,mathematics,None,None,None,FvbM5EM5aB5pcjLpA,VALIDATION_13_T,13,17,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK"", ""SNAKE"", ""CROCODILE"", ""COW"", ""PINGUIN"", ""MONKEY"", ""FROG""]",gpt-5-mini,0,3
