custom_id,input_tokens_tiktoken
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_01_m7xia7__game_1__p001__g001,1410
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_02_m7xiz2__game_1__p001__g002,1573
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_03_m8aexq__game_1__p001__g003,1542
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_05_m7xjzy__game_1__p001__g004,1575
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_07_m8ag8i__game_1__p001__g005,1628
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_12_m8agmu__game_1__p001__g006,1569
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_14_m8agmu__game_1__p001__g007,1635
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_15_m8agmu__game_1__p001__g008,1567
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_04_m8aexq__game_2_alt_profile__p001__g009,1514
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__p001__g010,1573
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_05_m8aexq__game_2_alt_profile__p001__g011,1591
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_12_m8agmu__game_2_alt_profile__p001__g012,1662
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_14_m8agmu__game_2_alt_profile__p001__g013,1646
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p001__g014,1473
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_18_m8agzl__game_2_alt_profile__p001__g015,1459
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_20_m8agzl__game_2_alt_profile__p001__g016,1498
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__cohort_01_m8aiq8__game_1__p001__g017,1548
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__cohort_05_m8aiq8__game_1__p001__g018,1537
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__g11_m5wp7b__game_1__p001__g019,1759
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__g17_m5wp8w__game_1__p001__g020,1595
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__g20_m5wq93__game_1__p001__g021,1605
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__g6_m5wp77__game_1__p001__g022,1642
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__g7_m5wp78__game_1__p001__g023,1716
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__g9_m5wp79__game_1__p001__g024,1515
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__cohort_01_m8aiq8__game_2_alt_profile__p001__g025,1461
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__cohort_02_m8aiq8__game_2_alt_profile__p001__g026,1574
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__cohort_03_m8aiq8__game_2_alt_profile__p001__g027,1494
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__cohort_06_m8ak4g__game_2_alt_profile__p001__g028,1579
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__g12_m5wp8p__game_2_alt_profile__p001__g029,1526
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__g13_m5wp8q__game_2_alt_profile__p001__g030,1724
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__g3_m5wp6q__game_2_alt_profile__p001__g031,1657
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__g7_m5wp78__game_2_alt_profile__p001__g032,1764
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_02_m89542__game_1__p001__g033,1609
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_04_m8aboy__game_1__p001__g034,1611
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_05_m7xlsd__game_1__p001__g035,1655
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_05_m89542__game_1__p001__g036,1664
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_05_m898xg__game_1__p001__g037,1645
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_06_m89b9z__game_1__p001__g038,1630
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_06_m8acrp__game_1__p001__g039,1755
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_07_m8ad4g__game_1__p001__g040,1797
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_01_m898xg__game_2_alt_profile__p001__g041,1511
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_02_m7xl5i__game_2_alt_profile__p001__g042,1739
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_02_m89542__game_2_alt_profile__p001__g043,1611
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_02_m8aboy__game_2_alt_profile__p001__g044,1604
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_03_m898xg__game_2_alt_profile__p001__g045,1669
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_04_m89542__game_2_alt_profile__p001__g046,1725
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_05_m7xlsd__game_2_alt_profile__p001__g047,1718
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_05_m898xg__game_2_alt_profile__p001__g048,1781
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_01_m7xia7__game_1__p002__g001,1409
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_02_m7xiz2__game_1__p002__g002,1572
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_03_m8aexq__game_1__p002__g003,1541
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_05_m7xjzy__game_1__p002__g004,1574
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_07_m8ag8i__game_1__p002__g005,1627
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_12_m8agmu__game_1__p002__g006,1568
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_14_m8agmu__game_1__p002__g007,1634
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_15_m8agmu__game_1__p002__g008,1566
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_04_m8aexq__game_2_alt_profile__p002__g009,1513
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__p002__g010,1572
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_05_m8aexq__game_2_alt_profile__p002__g011,1590
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_12_m8agmu__game_2_alt_profile__p002__g012,1661
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_14_m8agmu__game_2_alt_profile__p002__g013,1645
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p002__g014,1472
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_18_m8agzl__game_2_alt_profile__p002__g015,1458
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_20_m8agzl__game_2_alt_profile__p002__g016,1497
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip3__cohort_01_m8aiq8__game_1__p002__g017,1547
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip3__cohort_05_m8aiq8__game_1__p002__g018,1536
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip3__g11_m5wp7b__game_1__p002__g019,1758
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip3__g17_m5wp8w__game_1__p002__g020,1594
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip3__g20_m5wq93__game_1__p002__g021,1604
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip3__g6_m5wp77__game_1__p002__g022,1641
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip3__g7_m5wp78__game_1__p002__g023,1715
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip3__g9_m5wp79__game_1__p002__g024,1514
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip3__cohort_01_m8aiq8__game_2_alt_profile__p002__g025,1460
