persona_pid,n_requests,top1_unique_player_identities,top1_effective_n,probability_unique_player_identities,probability_effective_n,top_probability_player_identity,top_probability_share
1096,40,40,40.000000000000156,112,86.85453056532252,925LF9k9CXpz8KjQm::MOOSE,0.021249999999999984
1097,40,40,40.000000000000156,118,93.19132881002845,65crAkEscRbHNJXbW::SLOTH,0.023
1099,40,40,40.000000000000156,115,87.60684632829619,2khRAszouj8vP8ZfP::SLOTH,0.02124999999999999
1252,40,40,40.000000000000156,118,96.00962490785537,AyQkFs97hRTki5zWR::SLOTH,0.02
1456,40,40,40.000000000000156,118,91.52943285889523,65crAkEscRbHNJXbW::SLOTH,0.021249999999999984
1600,40,40,40.000000000000156,113,89.70888317663417,3EG5RaDj4z7hkT2JD::GORILLA,0.02125000000000001
1616,40,40,40.000000000000156,117,93.0742462508058,65crAkEscRbHNJXbW::SLOTH,0.021249999999999984
1617,40,40,40.000000000000156,119,92.21557439183924,3EG5RaDj4z7hkT2JD::GORILLA,0.02150000000000001
1623,40,40,40.000000000000156,117,92.629541556067,3EG5RaDj4z7hkT2JD::GORILLA,0.019999999999999993
1704,40,40,40.000000000000156,116,94.5086849114967,SFohXkBYvScM7Y7rC::SLOTH,0.020000000000000004
1715,40,40,40.000000000000156,117,93.69912058104266,2TDnnb4wn9rwy3CYZ::GORILLA,0.020499999999999994
1759,40,40,40.000000000000156,118,93.09394815320259,3EG5RaDj4z7hkT2JD::GORILLA,0.0205
1851,40,40,40.000000000000156,117,93.80918339165277,AyQkFs97hRTki5zWR::SLOTH,0.019499999999999986
1854,40,40,40.000000000000156,116,95.08097863365127,2TDnnb4wn9rwy3CYZ::SLOTH,0.018749999999999985
1861,40,40,40.000000000000156,119,94.4681022837155,65crAkEscRbHNJXbW::SLOTH,0.019999999999999993
187,40,40,40.000000000000156,117,93.34199737108209,2TDnnb4wn9rwy3CYZ::GORILLA,0.020499999999999984
1897,40,40,40.000000000000156,115,94.05571641357467,3EG5RaDj4z7hkT2JD::GORILLA,0.019999999999999997
1962,40,40,40.000000000000156,117,91.90723201814161,PrfKWppTZdvPhe4oN::SLOTH,0.01999999999999999
1992,40,40,40.000000000000156,118,93.60907218199034,65crAkEscRbHNJXbW::SLOTH,0.02125
2004,40,40,40.000000000000156,115,90.60876004582273,Fm7uYc98E2b6kcoDE::SLOTH,0.021249999999999998
2018,40,40,40.000000000000156,117,94.44836659098004,9oyspxPncwXdAkruR::SLOTH,0.019999999999999993
214,40,40,40.000000000000156,119,94.86593585521308,FvbM5EM5aB5pcjLpA::SNAKE,0.01874999999999999
222,40,39,38.99999999999984,113,89.45521202382392,6Pxb9DsQpyk22cJNr::SLOTH,0.0205128205128205
229,40,40,40.000000000000156,117,91.6395433383318,6Pxb9DsQpyk22cJNr::SLOTH,0.02049999999999999
400,40,40,40.000000000000156,118,96.51845331878006,2khRAszouj8vP8ZfP::DUCK,0.018749999999999992
475,40,40,40.000000000000156,116,91.20019184309434,6sSM4xSyZQkaxyHav::SLOTH,0.02125
57,40,40,40.000000000000156,116,89.66533578437439,65crAkEscRbHNJXbW::SLOTH,0.02249999999999999
610,40,40,40.000000000000156,118,92.74724320614189,65crAkEscRbHNJXbW::SLOTH,0.021249999999999995
692,40,40,40.000000000000156,117,92.80050429826257,3EG5RaDj4z7hkT2JD::GORILLA,0.021249999999999988
849,40,40,40.000000000000156,117,89.52967317638993,65crAkEscRbHNJXbW::SLOTH,0.02124999999999999
898,40,40,40.000000000000156,119,90.67412960145292,65crAkEscRbHNJXbW::SLOTH,0.021249999999999998
903,40,40,40.000000000000156,116,90.18721781183251,2TDnnb4wn9rwy3CYZ::GORILLA,0.02124999999999999
