custom_id,game_id,treatment_name,chat_enabled,punishment_enabled,reward_enabled,num_players,num_rounds,model_label,mean_contribution_rate,punish_actor_round_rate,reward_actor_round_rate,punish_targets_per_actor_round,reward_targets_per_actor_round,actor_rounds,mean_total_contribution_rate,first_round_total_contribution_rate,total_contribution_rate_sd,final_total_contribution_rate,mean_round_normalized_efficiency,first_round_normalized_efficiency,final_round_normalized_efficiency,mean_within_round_contribution_rate_var,messages_per_round,rounds_with_chat_rate,observed_rounds,total_contribution_rate_decay_slope,round_normalized_efficiency_decay_slope,total_contribution_rate_rmse_to_treatment_mean,round_normalized_efficiency_rmse_to_treatment_mean
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.36666666666666664,0.0,0.0,0.0,0.0,60,0.3666666666666667,0.6,0.18856180831641267,0.0,0.3669871794871795,0.5961538461538461,0.0,0.19666666666666668,4.0,1.0,6,-0.4571428571428572,-0.45467032967032966,0.3984428280729851,0.46346301195639955
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep2,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.25,0.0,0.0,0.0,0.0,60,0.25,0.7,0.26299556396765833,0.0,0.25,0.7019230769230769,0.0,0.11833333333333335,4.166666666666667,1.0,6,-0.7285714285714286,-0.7307692307692307,0.5343889052531061,0.6035376692497147
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep3,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.18333333333333332,0.0,0.0,0.0,0.0,60,0.18333333333333335,0.4,0.1343709624716425,0.0,0.1826923076923077,0.40384615384615385,0.0,0.13166666666666668,4.166666666666667,1.0,6,-0.3857142857142858,-0.3901098901098901,0.5455181212170057,0.613394869371973
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep4,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.2833333333333333,0.0,0.0,0.0,0.0,60,0.2833333333333333,0.5,0.17716909687891083,0.2,0.28365384615384615,0.5,0.20192307692307693,0.17166666666666666,3.8333333333333335,1.0,6,-0.3857142857142858,-0.3832417582417583,0.46628677217938,0.5331920565233125
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep5,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.3333333333333333,0.0,0.0,0.0,0.0,60,0.3333333333333333,0.6,0.22852182001336813,0.0,0.3317307692307692,0.5961538461538461,0.0,0.17,3.1666666666666665,1.0,6,-0.31428571428571433,-0.3118131868131868,0.44584213098507963,0.5079322730741872
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep6,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.38333333333333336,0.0,0.0,0.0,0.0,60,0.3833333333333333,0.5,0.25440562537456246,0.0,0.38301282051282054,0.5,0.0,0.17166666666666666,3.1666666666666665,1.0,6,-0.6428571428571428,-0.6414835164835164,0.41839333591621014,0.48057691169163635
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep7,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.26666666666666666,0.0,0.0,0.0,0.0,60,0.26666666666666666,0.6,0.19720265943665385,0.0,0.266025641025641,0.5961538461538461,0.0,0.15666666666666668,3.5,1.0,6,-0.4285714285714286,-0.423076923076923,0.4876789531206698,0.5532935058530017
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep8,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.4,0.0,0.0,0.0,0.0,60,0.39999999999999997,0.7,0.21602468994692867,0.1,0.3990384615384615,0.7019230769230769,0.09615384615384616,0.19333333333333336,4.166666666666667,1.0,6,-0.3999999999999999,-0.4052197802197802,0.3825804469048431,0.4462198890240661
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep9,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.3333333333333333,0.0,0.0,0.0,0.0,60,0.3333333333333333,0.7,0.20548046676563253,0.2,0.3333333333333333,0.7019230769230769,0.20192307692307693,0.18000000000000002,3.6666666666666665,1.0,6,-0.5428571428571429,-0.543956043956044,0.43333036561187,0.5027303548036861
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep10,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.21666666666666667,0.0,0.0,0.0,0.0,60,0.21666666666666667,0.7,0.2409472049133493,0.0,0.21634615384615383,0.7019230769230769,0.0,0.11166666666666668,3.6666666666666665,1.0,6,-0.5571428571428572,-0.5563186813186812,0.5530531605134442,0.6212321495782849
trajectory_completion_compact__VALIDATION_0_T__qyhbsXkjZiMc28EAG__k0__rep12,qyhbsXkjZiMc28EAG,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.7166666666666667,0.13333333333333333,0.0,0.13333333333333333,0.0,60,0.7166666666666667,0.6,0.2608745973749755,0.2,0.7112179487179486,0.5884615384615385,0.20192307692307693,0.135,4.333333333333333,1.0,6,-0.27142857142857135,-0.26126373626373633,0.2922113184537647,0.27019655268341397
trajectory_completion_compact__VALIDATION_0_T__qyhbsXkjZiMc28EAG__k0__rep11,qyhbsXkjZiMc28EAG,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.7166666666666667,0.2,0.0,0.2,0.0,60,0.7166666666666667,0.7,0.2409472049133493,0.2,0.7102564102564103,0.6865384615384615,0.19807692307692307,0.14500000000000002,5.0,1.0,6,-0.3,-0.2879120879120879,0.2732155081464936,0.252377043885239
trajectory_completion_compact__VALIDATION_0_T__qyhbsXkjZiMc28EAG__k0__rep10,qyhbsXkjZiMc28EAG,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.8,0.21666666666666667,0.0,0.21666666666666667,0.0,60,0.7999999999999999,0.6,0.1527525231651947,0.6,0.7913461538461538,0.5846153846153846,0.5846153846153846,0.13666666666666666,4.166666666666667,1.0,6,0.057142857142857155,0.06071428571428577,0.1620236160667686,0.14681291815128866
trajectory_completion_compact__VALIDATION_0_T__qyhbsXkjZiMc28EAG__k0__rep9,qyhbsXkjZiMc28EAG,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.5,0.3,0.0,0.3,0.0,60,0.5,0.5,0.31622776601683794,0.0,0.4884615384615385,0.4846153846153846,-0.007692307692307693,0.15000000000000002,2.8333333333333335,1.0,6,-0.6571428571428573,-0.6510989010989012,0.4612467514721362,0.45785875289115224
trajectory_completion_compact__VALIDATION_0_T__qyhbsXkjZiMc28EAG__k0__rep8,qyhbsXkjZiMc28EAG,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.75,0.13333333333333333,0.0,0.13333333333333333,0.0,60,0.75,0.7,0.304138126514911,0.1,0.7458333333333335,0.6903846153846154,0.09615384615384616,0.09499999999999999,2.6666666666666665,1.0,6,-0.41428571428571426,-0.4063186813186814,0.3248125542112376,0.30273736245863087
trajectory_completion_compact__VALIDATION_0_T__qyhbsXkjZiMc28EAG__k0__rep7,qyhbsXkjZiMc28EAG,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.7333333333333333,0.18333333333333332,0.0,0.2,0.0,60,0.7333333333333334,0.7,0.25603819159562025,0.2,0.7262820512820513,0.6903846153846154,0.20192307692307693,0.13,3.0,1.0,6,-0.25714285714285706,-0.24120879120879118,0.2805172432637429,0.25763247306646825
