llm_family,comparison_family,metric,n_treatments,baseline_mean,twin_mean,mean_delta_twin_minus_baseline,median_delta_twin_minus_baseline,twin_wins,baseline_wins,ties,wilcoxon_stat,wilcoxon_p_less,sign_test_p_greater,wilcoxon_p_less_bh
gpt-5.1,mean_alignment_abs_error,mean_total_contribution_rate,40,0.1590871152595371,0.12017856795062669,-0.0389085473089104,-0.04460692450824039,26,14,0,239.0,0.010377284787864482,0.0403452338759962,0.022363033434885438
gpt-5.1,mean_alignment_abs_error,mean_round_normalized_efficiency,40,0.19155870657955448,0.1541316635327518,-0.03742704304680271,-0.036179641812865565,24,16,0,276.0,0.03625316605939588,0.13409362552738457,0.048337554745861176
gpt-5.1,wasserstein,final_total_contribution_rate,40,0.3959488634271179,0.334324112573289,-0.06162475085382885,-0.03768939393939395,28,11,1,213.0,0.0063053717858565506,0.004737652139738202,0.022363033434885438
gpt-5.1,wasserstein,mean_round_normalized_efficiency,40,0.24208682824425903,0.2042583795688393,-0.03782844867541975,-0.03403957946318703,26,14,0,241.0,0.011181516717442719,0.0403452338759962,0.022363033434885438
gpt-5.1,dispersion_abs_log_sd_ratio,mean_total_contribution_rate,40,0.5390576723857832,0.49806194448507657,-0.04099572790070656,-0.08682241328119389,22,18,0,373.0,0.31364258219036856,0.3179140013144206,0.3474133357713072
gpt-5.1,dispersion_abs_log_sd_ratio,mean_round_normalized_efficiency,40,0.7440782282267951,0.5464571691231102,-0.19762105910368502,-0.17639469283848874,28,12,0,233.0,0.00825317160524719,0.008294501687487355,0.022363033434885438
gpt-5.1,dispersion_abs_log_iqr_ratio,mean_total_contribution_rate,40,0.7223575767268022,0.6804631434181394,-0.04189443330866285,-0.06941091292342358,24,16,0,380.0,0.3474133357713072,0.13409362552738457,0.3474133357713072
gpt-5.1,dispersion_abs_log_iqr_ratio,mean_round_normalized_efficiency,40,0.8901096327770606,0.6802297950785405,-0.2098798376985201,-0.12513812416834375,28,12,0,264.0,0.024880283909624268,0.008294501687487355,0.03980845425539883
gpt-5-mini,mean_alignment_abs_error,mean_total_contribution_rate,40,0.2787474085753721,0.15948572547138365,-0.11926168310398848,-0.12757158574044528,35,5,0,47.0,1.97442204807885e-08,6.91306013322901e-07,5.2651254615435995e-08
gpt-5-mini,mean_alignment_abs_error,mean_round_normalized_efficiency,40,0.3209097115874635,0.20594728605244023,-0.11496242553502327,-0.130705751919223,34,6,0,64.0,1.4114721125224605e-07,4.182292286714073e-06,2.822944225044921e-07
gpt-5-mini,wasserstein,final_total_contribution_rate,40,0.5374852668662642,0.32649310082313543,-0.2109921660431287,-0.19165209790209786,37,3,0,13.0,8.003553375601768e-11,9.732502803672105e-09,6.402842700481415e-10
gpt-5-mini,wasserstein,mean_round_normalized_efficiency,40,0.35392563460754556,0.24361096529245346,-0.11031466931509204,-0.10906306715063524,37,3,0,27.0,1.1468728189356625e-09,9.732502803672105e-09,4.58749127574265e-09
gpt-5-mini,dispersion_abs_log_sd_ratio,mean_total_contribution_rate,40,0.5227154618534292,0.37425355208910016,-0.14846190976432905,-0.08148146472363857,22,18,0,307.0,0.08504405952771776,0.3179140013144206,0.1072097607154449
gpt-5-mini,dispersion_abs_log_sd_ratio,mean_round_normalized_efficiency,40,0.8013603766621383,0.5844783968799482,-0.21688197978219015,-0.18390892919253288,25,15,0,241.0,0.011181516717442719,0.07692997208141605,0.01789042674790835
gpt-5-mini,dispersion_abs_log_iqr_ratio,mean_total_contribution_rate,40,0.6077801564500815,0.6356168532925556,0.02783669684247403,0.030667009877597295,19,21,0,425.0,0.581622494635667,0.6820859986855794,0.581622494635667
gpt-5-mini,dispersion_abs_log_iqr_ratio,mean_round_normalized_efficiency,40,0.7741109006762186,0.6567009119086831,-0.11740998876753561,-0.09228067744426438,24,16,0,311.0,0.09380854062601429,0.13409362552738457,0.1072097607154449
