treatment_name,metrics_used,mean_abs_z_score,median_percentile
VALIDATION_6_C,144,6.086329560367499,0.0
VALIDATION_7_C,154,5.445463407653396,0.0
VALIDATION_17_C,132,5.408505977306611,0.0
VALIDATION_13_T,176,3.7920342269008533,0.09090909090909091
VALIDATION_13_C,150,3.508943595734608,0.0
VALIDATION_11_C,150,2.6467126641144776,0.2
VALIDATION_15_C,143,2.5233795281471725,0.0
VALIDATION_16_T,120,2.1619890129579558,0.25
VALIDATION_10_T,150,2.117922459216186,0.3
VALIDATION_12_C,168,2.0367612340977,0.2916666666666667
VALIDATION_0_C,140,2.0266292563543282,0.225
VALIDATION_1_C,96,1.9966767118357556,0.125
VALIDATION_6_T,143,1.9791339107888923,0.09090909090909091
VALIDATION_17_T,104,1.9550161165430788,0.875
VALIDATION_16_C,140,1.924589738206499,0.2
VALIDATION_11_T,160,1.8451246897960971,0.2727272727272727
VALIDATION_14_T,160,1.7552389170615104,0.2
VALIDATION_15_T,126,1.727876382013584,0.1111111111111111
VALIDATION_9_C,143,1.700759803534389,0.09090909090909091
VALIDATION_14_C,180,1.6884393061707266,0.3333333333333333
VALIDATION_7_T,180,1.631443017358366,0.25
VALIDATION_19_T,140,1.6134440844032838,0.3
VALIDATION_10_C,140,1.387905969916989,0.3
VALIDATION_18_C,168,1.3730808829868393,0.3333333333333333
VALIDATION_3_T,160,1.3095271096749586,0.4
VALIDATION_4_C,180,1.2259401142215567,0.4166666666666667
VALIDATION_9_T,154,1.199484334633513,0.18181818181818182
VALIDATION_8_C,180,1.1482630542884236,0.16666666666666666
VALIDATION_19_C,130,1.1147413256264853,0.2
VALIDATION_2_C,117,1.0523239626457246,0.2222222222222222
VALIDATION_0_T,180,1.0386693560347626,0.5
VALIDATION_8_T,176,0.9858322364708978,0.36363636363636365
VALIDATION_3_C,135,0.9731126716320506,0.3333333333333333
VALIDATION_5_T,192,0.9639975037503926,0.4166666666666667
VALIDATION_5_C,135,0.9565957370549871,0.3333333333333333
VALIDATION_18_T,150,0.9553502440076532,0.5
VALIDATION_12_T,180,0.8765174407172905,0.5416666666666666
VALIDATION_2_T,154,0.8002147866374266,0.2727272727272727
VALIDATION_4_T,144,0.749133235421522,0.5555555555555556
VALIDATION_1_T,104,0.656722678006723,0.375
