custom_id,game_id,treatment_name,chat_enabled,punishment_enabled,reward_enabled,num_players,num_rounds,model_label,mean_contribution_rate,punish_actor_round_rate,reward_actor_round_rate,punish_targets_per_actor_round,reward_targets_per_actor_round,actor_rounds,mean_total_contribution_rate,first_round_total_contribution_rate,total_contribution_rate_sd,final_total_contribution_rate,mean_round_normalized_efficiency,first_round_normalized_efficiency,final_round_normalized_efficiency,mean_within_round_contribution_rate_var,messages_per_round,rounds_with_chat_rate,observed_rounds,total_contribution_rate_decay_slope,round_normalized_efficiency_decay_slope,total_contribution_rate_rmse_to_treatment_mean,round_normalized_efficiency_rmse_to_treatment_mean
trajectory_completion_compact__VALIDATION_0_C__tjEFcmYxtEBx3PZzY__k0__rep1,tjEFcmYxtEBx3PZzY,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.8666666666666667,0.0,0.0,0.0,0.0,60,0.8666666666666667,0.8,0.07453559924999298,0.9,0.8669871794871794,0.7980769230769231,0.9038461538461539,0.11000000000000003,4.0,1.0,6,0.1714285714285714,0.17719780219780212,0.1715863410297671,0.11158538909675703
trajectory_completion_compact__VALIDATION_0_C__F9zgaNoZPFFagrLwk__k0__rep1,F9zgaNoZPFFagrLwk,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.6166666666666667,0.0,0.0,0.0,0.0,60,0.6166666666666667,0.8,0.13437096247164249,0.4,0.6169871794871794,0.7980769230769231,0.40384615384615385,0.21833333333333335,4.833333333333333,1.0,6,-0.3857142857142858,-0.38324175824175827,0.1759556505102978,0.2369246705797624
trajectory_completion_compact__VALIDATION_0_C__4HwmGmWXPq5jBJust__k0__rep1,4HwmGmWXPq5jBJust,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.4166666666666667,0.0,0.0,0.0,0.0,60,0.4166666666666667,0.6,0.13437096247164249,0.2,0.4166666666666667,0.5961538461538461,0.20192307692307693,0.225,4.0,1.0,6,-0.21428571428571425,-0.2115384615384616,0.32494618104561823,0.38723060037717383
trajectory_completion_compact__VALIDATION_0_C__eKvYkv4QEg8DiocsW__k0__rep1,eKvYkv4QEg8DiocsW,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.7666666666666667,0.0,0.0,0.0,0.0,60,0.7666666666666666,0.8,0.04714045207910321,0.7,0.7660256410256411,0.7980769230769231,0.7019230769230769,0.17666666666666667,2.5,1.0,6,-0.0571428571428572,-0.054945054945055014,0.07791984379869595,0.07461811521502369
trajectory_completion_compact__VALIDATION_0_C__pYDEzMS4KKQzGsFQW__k0__rep1,pYDEzMS4KKQzGsFQW,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.6666666666666666,0.0,0.0,0.0,0.0,60,0.6666666666666666,0.8,0.13743685418725535,0.4,0.6666666666666666,0.7980769230769231,0.40384615384615385,0.20333333333333334,4.0,1.0,6,-0.3428571428571429,-0.3406593406593407,0.15921457168045566,0.20734674680485796
trajectory_completion_compact__VALIDATION_0_C__DLhhTyaSmN26NPemM__k0__rep1,DLhhTyaSmN26NPemM,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.43333333333333335,0.0,0.0,0.0,0.0,60,0.43333333333333335,0.6,0.17950549357115014,0.1,0.4310897435897436,0.5961538461538461,0.09615384615384616,0.21333333333333335,4.0,1.0,6,-0.4571428571428572,-0.4574175824175825,0.33694875726225215,0.4039020099666141
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.3,0.0,0.0,0.0,0.0,60,0.3,0.6,0.1632993161855452,0.1,0.29967948717948717,0.5961538461538461,0.09615384615384616,0.18333333333333335,5.333333333333333,1.0,6,-0.4571428571428572,-0.4574175824175824,0.44530183502859655,0.5138865471315067
trajectory_completion_compact__VALIDATION_0_C__AaPW26f94YzzFxPLk__k0__rep1,AaPW26f94YzzFxPLk,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.45,0.0,0.0,0.0,0.0,60,0.45,0.8,0.20615528128088306,0.2,0.44871794871794873,0.7980769230769231,0.20192307692307693,0.205,3.0,1.0,6,-0.5857142857142857,-0.5824175824175825,0.33993085111400917,0.4086293890002086
trajectory_completion_compact__VALIDATION_0_C__kkGkkWk4kCvb4t5fK__k0__rep1,kkGkkWk4kCvb4t5fK,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.36666666666666664,0.0,0.0,0.0,0.0,60,0.3666666666666667,0.5,0.11055415967851334,0.2,0.3669871794871795,0.5,0.20192307692307693,0.22,4.333333333333333,1.0,6,-0.3142857142857143,-0.3145604395604396,0.363314502853298,0.4301543628516495
trajectory_completion_compact__VALIDATION_0_C__K3BKmGpJcMFNK3TJz__k0__rep1,K3BKmGpJcMFNK3TJz,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.9,0.0,0.0,0.0,0.0,60,0.9,0.8,0.0816496580927726,0.8,0.9006410256410257,0.7980769230769231,0.7980769230769231,0.08333333333333336,3.0,1.0,6,0.028571428571428577,0.027472527472527496,0.21032871588130767,0.16048064541436602
