custom_id,game_id,treatment_name,chat_enabled,punishment_enabled,reward_enabled,num_players,num_rounds,model_label,mean_contribution_rate,punish_actor_round_rate,reward_actor_round_rate,punish_targets_per_actor_round,reward_targets_per_actor_round,actor_rounds,mean_total_contribution_rate,first_round_total_contribution_rate,total_contribution_rate_sd,final_total_contribution_rate,mean_round_normalized_efficiency,first_round_normalized_efficiency,final_round_normalized_efficiency,mean_within_round_contribution_rate_var,messages_per_round,rounds_with_chat_rate,observed_rounds,total_contribution_rate_decay_slope,round_normalized_efficiency_decay_slope,total_contribution_rate_rmse_to_treatment_mean,round_normalized_efficiency_rmse_to_treatment_mean
trajectory_completion_compact__VALIDATION_0_C__tjEFcmYxtEBx3PZzY__k0__rep1,tjEFcmYxtEBx3PZzY,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.9,0.0,0.0,0.0,0.0,60,0.9,1.0,0.1414213562373095,0.6,0.9006410256410255,1.0,0.5961538461538461,0.07,6.0,1.0,6,-0.31428571428571433,-0.315934065934066,0.24479247110453586,0.22117821624376563
trajectory_completion_compact__VALIDATION_0_C__DLhhTyaSmN26NPemM__k0__rep1,DLhhTyaSmN26NPemM,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.9333333333333333,0.0,0.0,0.0,0.0,60,0.9333333333333332,1.0,0.11055415967851334,0.7,0.9342948717948718,1.0,0.7019230769230769,0.049999999999999996,4.166666666666667,1.0,6,-0.2571428571428572,-0.25412087912087916,0.2568636008955348,0.22318660582489205
trajectory_completion_compact__VALIDATION_0_C__AaPW26f94YzzFxPLk__k0__rep1,AaPW26f94YzzFxPLk,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.95,0.0,0.0,0.0,0.0,60,0.9500000000000001,0.9,0.07637626158259732,0.8,0.9503205128205128,0.9038461538461539,0.7980769230769231,0.04166666666666668,4.0,1.0,6,-0.07142857142857141,-0.07554945054945052,0.25570748302000856,0.20713668636950763
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.55,0.0,0.0,0.0,0.0,60,0.55,0.9,0.38622100754188227,0.0,0.5496794871794872,0.9038461538461539,0.0,0.09833333333333334,5.666666666666667,1.0,6,-1.0714285714285714,-1.0755494505494505,0.4289060397645411,0.4819658065467134
trajectory_completion_compact__VALIDATION_0_C__eKvYkv4QEg8DiocsW__k0__rep1,eKvYkv4QEg8DiocsW,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.4666666666666667,0.0,0.0,0.0,0.0,60,0.4666666666666666,0.7,0.3299831645537222,0.0,0.4679487179487179,0.7019230769230769,0.0,0.13999999999999999,6.0,1.0,6,-0.7999999999999999,-0.8021978021978022,0.4182162543361347,0.47487929105807025
trajectory_completion_compact__VALIDATION_0_C__K3BKmGpJcMFNK3TJz__k0__rep1,K3BKmGpJcMFNK3TJz,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.7166666666666667,0.0,0.0,0.0,0.0,60,0.7166666666666667,0.8,0.12133516482134199,0.5,0.7147435897435898,0.7980769230769231,0.5,0.18833333333333335,2.8333333333333335,1.0,6,-0.18571428571428572,-0.1840659340659341,0.12691941969080306,0.15331641189309292
trajectory_completion_compact__VALIDATION_0_C__pYDEzMS4KKQzGsFQW__k0__rep1,pYDEzMS4KKQzGsFQW,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.8666666666666667,0.0,0.0,0.0,0.0,60,0.8666666666666667,1.0,0.17950549357115014,0.5,0.8669871794871794,1.0,0.5,0.08333333333333333,7.0,1.0,6,-0.45714285714285713,-0.4574175824175824,0.2501799763692764,0.24202665122070305
trajectory_completion_compact__VALIDATION_0_C__kkGkkWk4kCvb4t5fK__k0__rep1,kkGkkWk4kCvb4t5fK,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.7666666666666667,0.0,0.0,0.0,0.0,60,0.7666666666666666,0.9,0.17950549357115014,0.4,0.7692307692307692,0.9038461538461539,0.40384615384615385,0.1466666666666667,4.833333333333333,1.0,6,-0.42857142857142866,-0.42857142857142866,0.1995300548748331,0.21498758921611447
trajectory_completion_compact__VALIDATION_0_C__F9zgaNoZPFFagrLwk__k0__rep1,F9zgaNoZPFFagrLwk,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.9333333333333333,0.0,0.0,0.0,0.0,60,0.9333333333333332,1.0,0.11055415967851334,0.7,0.9342948717948718,1.0,0.7019230769230769,0.049999999999999996,5.333333333333333,1.0,6,-0.20000000000000004,-0.1991758241758242,0.2549459314904615,0.2173867086876406
trajectory_completion_compact__VALIDATION_0_C__4HwmGmWXPq5jBJust__k0__rep1,4HwmGmWXPq5jBJust,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.2833333333333333,0.0,0.0,0.0,0.0,60,0.2833333333333333,0.6,0.1771690968789108,0.1,0.28205128205128205,0.5961538461538461,0.09615384615384616,0.17166666666666672,4.833333333333333,1.0,6,-0.5,-0.5027472527472527,0.4659689449020919,0.5361068049133432
