treatment_name,metrics_used,mean_abs_z_score,median_percentile
VALIDATION_17_C,132,4.8088994616204515,0.45454545454545453
VALIDATION_6_C,144,3.698340618977114,0.0
VALIDATION_7_C,154,3.541066720284402,0.36363636363636365
VALIDATION_13_T,176,3.1343126356378352,0.09090909090909091
VALIDATION_11_T,112,2.2762460052131908,0.36363636363636365
VALIDATION_15_C,143,2.2003466849519233,0.18181818181818182
VALIDATION_16_C,140,2.0244212823048526,0.4
VALIDATION_10_T,150,1.9986105356295376,0.4
VALIDATION_15_T,126,1.9182189614492011,0.3055555555555556
VALIDATION_11_C,150,1.9175573081046229,0.45
VALIDATION_13_C,150,1.878349044716264,0.1
VALIDATION_14_T,160,1.8342518752807717,0.3
VALIDATION_17_T,91,1.7357545821526528,0.75
VALIDATION_0_C,140,1.5651822633513648,0.6
VALIDATION_6_T,130,1.5105132006511255,0.18181818181818182
VALIDATION_4_C,180,1.4922084756758656,0.7083333333333334
VALIDATION_18_C,168,1.4797235169426823,0.7916666666666666
VALIDATION_19_T,140,1.4702494249568105,0.2
VALIDATION_3_T,160,1.4657185509519786,0.225
VALIDATION_14_C,180,1.4572849589785546,0.3333333333333333
VALIDATION_12_C,168,1.3925281911487277,0.6666666666666666
VALIDATION_7_T,180,1.388640985751284,0.25
VALIDATION_4_T,144,1.367589982363336,0.5555555555555556
VALIDATION_18_T,150,1.3514737140773556,0.5
VALIDATION_1_C,96,1.3514439462406942,0.125
VALIDATION_9_T,154,1.2722491708321417,0.09090909090909091
VALIDATION_5_T,192,1.254944610469603,0.4166666666666667
VALIDATION_5_C,135,1.2168813169390016,0.4444444444444444
VALIDATION_3_C,135,1.1607009484475406,0.4444444444444444
VALIDATION_9_C,130,1.1588689604031817,0.18181818181818182
VALIDATION_2_C,117,1.1398757108235882,0.5
VALIDATION_19_C,130,1.0902746969554231,0.4
VALIDATION_16_T,120,1.0766972330566353,0.5
VALIDATION_1_T,104,0.9508682614481432,0.375
VALIDATION_10_C,140,0.9330942984425136,0.4
VALIDATION_8_T,176,0.9000162538051459,0.36363636363636365
VALIDATION_2_T,154,0.8797832602314647,0.36363636363636365
VALIDATION_8_C,180,0.816145369217512,0.4583333333333333
VALIDATION_0_T,180,0.7941265479464708,0.5833333333333334
VALIDATION_12_T,180,0.7795741414438722,0.5
