metric,num_treatments,mean_abs_diff_from_human_mean,mean_abs_z_score,median_abs_z_score,mean_percentile_within_humans,median_percentile_within_humans,within_human_range_rate,within_human_iqr_rate
final_round_normalized_efficiency,40,0.47070569743028096,1.6655085432654881,0.9149961700461577,0.24750532907007727,0.1111111111111111,0.6235011990407674,0.3069544364508393
final_total_contribution_rate,40,0.4409970644200166,3.030765369678451,1.8838316565730258,0.22242145677397474,0.0,0.44364508393285373,0.23501199040767387
mean_round_normalized_efficiency,40,0.23640192108728847,1.4180535585366671,0.765633634855231,0.37049633020856043,0.375,0.7697841726618705,0.3908872901678657
mean_total_contribution_rate,40,0.20620372054708147,1.7840490965332951,1.0888292306309997,0.3676725286437516,0.3,0.6954436450839329,0.3069544364508393
mean_within_round_contribution_rate_var,40,0.05631839451493983,1.644207282749095,1.2453931406584453,0.16806433640966018,0.1,0.6139088729016786,0.2517985611510791
messages_per_round,26,2.3142764622851684,1.7941706484344184,1.026938186977701,0.694634977938227,0.7916666666666666,0.7617328519855595,0.3212996389891697
punish_actor_round_rate,20,0.10437273413115628,1.0508972367043665,0.7197474702280978,0.33560177012846915,0.3333333333333333,0.7524271844660194,0.5485436893203883
reward_actor_round_rate,22,0.1483839043364767,1.1432499215644671,1.0076097482686932,0.15994290733421168,0.09090909090909091,0.6869565217391305,0.26521739130434785
round_normalized_efficiency_decay_slope,40,0.5254448624501955,1.901364366110529,1.1677439259081523,0.20914117191095608,0.1,0.5371702637889688,0.2278177458033573
round_normalized_efficiency_rmse_to_treatment_mean,40,0.18532213834716774,1.8354677567929536,0.7699975010794288,0.589215900007267,0.6363636363636364,0.7074340527577938,0.3501199040767386
rounds_with_chat_rate,26,0.464480848518183,1.8309005704381123,1.4459683281967535,0.9164711191335739,0.95,0.631768953068592,0.19855595667870035
total_contribution_rate_decay_slope,40,0.4695256597878708,3.026452321472106,2.401838790061207,0.1873876656250757,0.0,0.3645083932853717,0.14148681055155876
total_contribution_rate_rmse_to_treatment_mean,40,0.15273781947898518,2.6367342164095633,1.2451484672710094,0.7280333309110287,0.8888888888888888,0.592326139088729,0.2637889688249401
total_contribution_rate_sd,40,0.09440251502081556,2.403080935402606,1.689455822664923,0.6830378121745028,0.8888888888888888,0.48201438848920863,0.2182254196642686
