custom_id,game_id,treatment_name,chat_enabled,punishment_enabled,reward_enabled,num_players,num_rounds,model_label,mean_contribution_rate,punish_actor_round_rate,reward_actor_round_rate,punish_targets_per_actor_round,reward_targets_per_actor_round,actor_rounds,mean_total_contribution_rate,first_round_total_contribution_rate,total_contribution_rate_sd,final_total_contribution_rate,mean_round_normalized_efficiency,first_round_normalized_efficiency,final_round_normalized_efficiency,mean_within_round_contribution_rate_var,messages_per_round,rounds_with_chat_rate,observed_rounds,total_contribution_rate_decay_slope,round_normalized_efficiency_decay_slope,total_contribution_rate_rmse_to_treatment_mean,round_normalized_efficiency_rmse_to_treatment_mean
trajectory_completion_compact__VALIDATION_0_C__tjEFcmYxtEBx3PZzY__k0__rep1,tjEFcmYxtEBx3PZzY,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.2833333333333333,0.0,0.0,0.0,0.0,60,0.2833333333333333,0.6,0.1771690968789108,0.3,0.28205128205128205,0.5961538461538461,0.2980769230769231,0.17166666666666666,3.0,1.0,6,-0.35714285714285715,-0.3598901098901099,0.4637380548748341,0.5325003843002422
trajectory_completion_compact__VALIDATION_0_C__F9zgaNoZPFFagrLwk__k0__rep1,F9zgaNoZPFFagrLwk,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.35,0.0,0.0,0.0,0.0,60,0.35000000000000003,0.6,0.1707825127659933,0.1,0.3493589743589744,0.5961538461538461,0.09615384615384616,0.19833333333333336,4.166666666666667,1.0,6,-0.5,-0.5,0.4032245287381854,0.4721437392712868
trajectory_completion_compact__VALIDATION_0_C__4HwmGmWXPq5jBJust__k0__rep1,4HwmGmWXPq5jBJust,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.21666666666666667,0.0,0.0,0.0,0.0,60,0.21666666666666667,0.6,0.21921577396609843,0.0,0.21634615384615385,0.5961538461538461,0.0,0.1216666666666667,5.333333333333333,1.0,6,-0.6142857142857143,-0.614010989010989,0.5435967512628631,0.6124671566653174
trajectory_completion_compact__VALIDATION_0_C__eKvYkv4QEg8DiocsW__k0__rep1,eKvYkv4QEg8DiocsW,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.3333333333333333,0.0,0.0,0.0,0.0,60,0.3333333333333333,0.6,0.19720265943665385,0.0,0.3333333333333333,0.5961538461538461,0.0,0.18333333333333335,3.0,1.0,6,-0.5428571428571429,-0.5412087912087912,0.4317677082754859,0.49898313457648896
trajectory_completion_compact__VALIDATION_0_C__pYDEzMS4KKQzGsFQW__k0__rep1,pYDEzMS4KKQzGsFQW,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.26666666666666666,0.0,0.0,0.0,0.0,60,0.26666666666666666,0.6,0.19720265943665385,0.0,0.266025641025641,0.5961538461538461,0.0,0.15666666666666668,3.8333333333333335,1.0,6,-0.4857142857142857,-0.4862637362637363,0.4888736319168166,0.5562056018178804
trajectory_completion_compact__VALIDATION_0_C__DLhhTyaSmN26NPemM__k0__rep1,DLhhTyaSmN26NPemM,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.5666666666666667,0.0,0.0,0.0,0.0,60,0.5666666666666667,0.6,0.23570226039551584,1.0,0.5673076923076923,0.5961538461538461,1.0,0.19000000000000003,3.0,1.0,6,0.4285714285714286,0.43131868131868134,0.26728612464545093,0.29583335797499355
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.15,0.0,0.0,0.0,0.0,60,0.15,0.5,0.1707825127659933,0.0,0.14903846153846154,0.5,0.0,0.09833333333333334,3.1666666666666665,1.0,6,-0.41428571428571426,-0.4162087912087912,0.587900550784883,0.6561191409505496
trajectory_completion_compact__VALIDATION_0_C__AaPW26f94YzzFxPLk__k0__rep1,AaPW26f94YzzFxPLk,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.43333333333333335,0.0,0.0,0.0,0.0,60,0.43333333333333335,0.6,0.17950549357115014,0.1,0.4310897435897436,0.5961538461538461,0.09615384615384616,0.21333333333333335,4.5,1.0,6,-0.4571428571428572,-0.4574175824175825,0.33694875726225215,0.4039020099666141
trajectory_completion_compact__VALIDATION_0_C__kkGkkWk4kCvb4t5fK__k0__rep1,kkGkkWk4kCvb4t5fK,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.35,0.0,0.0,0.0,0.0,60,0.35000000000000003,0.7,0.2217355782608345,0.0,0.3509615384615385,0.7019230769230769,0.0,0.17833333333333334,3.6666666666666665,1.0,6,-0.6428571428571428,-0.6442307692307692,0.4293591501707993,0.49706424175694786
trajectory_completion_compact__VALIDATION_0_C__K3BKmGpJcMFNK3TJz__k0__rep1,K3BKmGpJcMFNK3TJz,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.11666666666666667,0.0,0.0,0.0,0.0,60,0.11666666666666665,0.3,0.10671873729054748,0.0,0.11538461538461538,0.2980769230769231,0.0,0.09166666666666667,3.0,1.0,6,-0.27142857142857146,-0.271978021978022,0.6035674976999966,0.669863552667775
trajectory_completion_compact__VALIDATION_0_T__2TquMDieEiixty8AN__k0__rep1,2TquMDieEiixty8AN,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.7833333333333333,0.26666666666666666,0.0,0.2833333333333333,0.0,60,0.7833333333333333,0.8,0.15723301886761007,0.5,0.7708333333333334,0.7788461538461539,0.49230769230769234,0.14500000000000002,4.833333333333333,1.0,6,-0.3285714285714286,-0.32170329670329667,0.17632247481905022,0.16583424582030615
trajectory_completion_compact__VALIDATION_0_T__zBbM66zutHe6rm6h4__k0__rep1,zBbM66zutHe6rm6h4,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.6333333333333333,0.38333333333333336,0.0,0.38333333333333336,0.0,60,0.6333333333333334,0.6,0.23570226039551584,0.2,0.6169871794871795,0.573076923076923,0.19423076923076923,0.17666666666666667,4.0,1.0,6,-0.4571428571428572,-0.44752747252747255,0.31375629107325165,0.3082446307240674
trajectory_completion_compact__VALIDATION_0_T__h8kYzB9zLiEGyJaS7__k0__rep1,h8kYzB9zLiEGyJaS7,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.85,0.3,0.0,0.31666666666666665,0.0,60,0.85,0.5,0.17078251276599332,1.0,0.8381410256410255,0.47692307692307695,1.0,0.09833333333333334,2.6666666666666665,1.0,6,0.41428571428571426,0.4348901098901099,0.16983593481929615,0.17521061572662222
trajectory_completion_compact__VALIDATION_0_T__ud4ZZqSEuLCbTJhY5__k0__rep1,ud4ZZqSEuLCbTJhY5,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.75,0.23333333333333334,0.0,0.23333333333333334,0.0,60,0.75,0.6,0.1384437310486346,0.6,0.7381410256410256,0.5807692307692308,0.5884615384615385,0.16833333333333336,3.0,1.0,6,0.12857142857142861,0.13873626373626372,0.1582654367183433,0.15171807161446363
trajectory_completion_compact__VALIDATION_0_T__qyhbsXkjZiMc28EAG__k0__rep1,qyhbsXkjZiMc28EAG,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.7,0.1,0.0,0.11666666666666667,0.0,60,0.7000000000000001,0.5,0.21602468994692867,0.4,0.6958333333333333,0.5,0.39615384615384613,0.16333333333333333,3.5,1.0,6,0.11428571428571435,0.11895604395604395,0.25141903012015915,0.23467613438757562
trajectory_completion_compact__VALIDATION_0_T__24hqfcDGXxLrMr7JY__k0__rep1,24hqfcDGXxLrMr7JY,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.6833333333333333,0.23333333333333334,0.0,0.23333333333333334,0.0,60,0.6833333333333332,0.5,0.17716909687891083,0.4,0.6746794871794872,0.48846153846153845,0.39615384615384613,0.18500000000000003,3.6666666666666665,1.0,6,0.014285714285714339,0.021703296703296716,0.2310104969351303,0.21766154607871616
trajectory_completion_compact__VALIDATION_0_T__RGrXtztJwJyh5AzfS__k0__rep1,RGrXtztJwJyh5AzfS,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.7,0.2,0.0,0.2,0.0,60,0.7000000000000001,0.6,0.16329931618554522,0.4,0.6887820512820513,0.5769230769230769,0.4,0.18333333333333335,3.0,1.0,6,-0.19999999999999998,-0.1859890109890109,0.2145950485901318,0.2032005615147478
trajectory_completion_compact__VALIDATION_0_T__hvxgwX3y76vGYtkqS__k0__rep1,hvxgwX3y76vGYtkqS,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.8,0.2833333333333333,0.0,0.3,0.0,60,0.7999999999999999,0.6,0.1527525231651947,0.6,0.7881410256410257,0.5807692307692308,0.5846153846153846,0.1366666666666667,2.8333333333333335,1.0,6,-0.05714285714285713,-0.05796703296703296,0.16653268041088248,0.15650143392219076
trajectory_completion_compact__VALIDATION_0_T__9aygFvfvCRquDLWYn__k0__rep1,9aygFvfvCRquDLWYn,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.8333333333333334,0.36666666666666664,0.0,0.4166666666666667,0.0,60,0.8333333333333334,0.7,0.074535599249993,0.9,0.8157051282051282,0.6826923076923077,0.8807692307692307,0.13333333333333336,2.8333333333333335,1.0,6,0.20000000000000004,0.20467032967032964,0.07011972347451,0.07057684923762635
trajectory_completion_compact__VALIDATION_0_T__ediANmka55Hjf459P__k0__rep1,ediANmka55Hjf459P,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.8,0.21666666666666667,0.0,0.21666666666666667,0.0,60,0.7999999999999999,0.5,0.18257418583505539,0.7,0.7929487179487179,0.4846153846153846,0.6942307692307692,0.12666666666666668,2.6666666666666665,1.0,6,0.2571428571428572,0.2686813186813187,0.1858251144248429,0.17729303314403025
trajectory_completion_compact__VALIDATION_0_T__voynRJGavKc9Wag58__k0__rep1,voynRJGavKc9Wag58,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.6833333333333333,0.31666666666666665,0.0,0.36666666666666664,0.0,60,0.6833333333333332,0.7,0.31841621957571337,0.0,0.6698717948717948,0.675,-0.011538461538461539,0.115,3.0,1.0,6,-0.5857142857142857,-0.5796703296703297,0.3601291576477015,0.34604171650774823
trajectory_completion_compact__VALIDATION_0_T__5bJPLPSiwHm63WZS4__k0__rep1,5bJPLPSiwHm63WZS4,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.55,0.31666666666666665,0.0,0.43333333333333335,0.0,60,0.5499999999999999,0.5,0.18929694486000911,0.2,0.5253205128205128,0.4653846153846154,0.19038461538461537,0.21166666666666667,4.333333333333333,1.0,6,-0.32857142857142857,-0.31950549450549454,0.3392326821772614,0.34794672756914796
trajectory_completion_compact__VALIDATION_10_C__6B7rSLCwjDoRiGG4z__k0__rep1,6B7rSLCwjDoRiGG4z,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.21666666666666667,0.0,0.0,0.0,0.0,18,0.21666666666666667,0.45,0.13944333775567927,0.0,0.21535580524344566,0.44943820224719094,0.0,0.034444444444444444,4.5,1.0,6,-0.4000000000000001,-0.39325842696629215,0.4984153128406811,0.6471874344729304
trajectory_completion_compact__VALIDATION_10_C__9Ne4CP89dteYMyNu8__k0__rep1,9Ne4CP89dteYMyNu8,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.25833333333333336,0.0,0.0,0.0,0.0,18,0.2583333333333333,0.3333333333333333,0.10172129679778086,0.08333333333333333,0.26217228464419473,0.35580524344569286,0.07490636704119849,0.036111111111111115,5.833333333333333,1.0,6,-0.2547619047619048,-0.2835741037988229,0.4465466774987641,0.5925965516355527
trajectory_completion_compact__VALIDATION_10_C__b52dPhHFrRzgZqsk3__k0__rep1,b52dPhHFrRzgZqsk3,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.3277777777777778,0.0,0.0,0.0,0.0,18,0.3277777777777778,0.55,0.16489802310728702,0.08333333333333333,0.33395755305867664,0.5617977528089887,0.07490636704119849,0.024259259259259258,4.5,1.0,6,-0.48095238095238096,-0.4949170679507758,0.3975285338000093,0.5505284832131755
trajectory_completion_compact__VALIDATION_10_C__WF93PRN6HTPJosFzH__k0__rep1,WF93PRN6HTPJosFzH,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.16666666666666666,0.0,0.0,0.0,0.0,18,0.16666666666666666,0.5,0.19245008972987523,0.0,0.1685393258426966,0.5056179775280898,0.0,0.01851851851851852,2.8333333333333335,1.0,6,-0.4761904761904762,-0.49224184055644726,0.5713987467415182,0.7277349782719528
trajectory_completion_compact__VALIDATION_10_C__LxjaP3tPxRDSZivpX__k0__rep1,LxjaP3tPxRDSZivpX,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.275,0.0,0.0,0.0,0.0,18,0.27499999999999997,0.4,0.14035338996288643,0.0,0.28089887640449435,0.3932584269662921,0.0,0.03453703703703704,4.5,1.0,6,-0.23571428571428574,-0.22471910112359547,0.442170833837213,0.5755324397017937
trajectory_completion_compact__VALIDATION_10_C__CERwfEBrZtGF9Y7LH__k0__rep1,CERwfEBrZtGF9Y7LH,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.35555555555555557,0.0,0.0,0.0,0.0,18,0.35555555555555557,0.5,0.15565473029024335,0.03333333333333333,0.34956304619225964,0.5056179775280898,0.018726591760299623,0.003796296296296297,4.5,1.0,6,-0.3523809523809524,-0.3905831995719636,0.36785319384534665,0.525098454566941
trajectory_completion_compact__VALIDATION_10_C__RDZjX7FMTaatuhQxb__k0__rep1,RDZjX7FMTaatuhQxb,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.23888888888888887,0.0,0.0,0.0,0.0,18,0.2388888888888889,0.5333333333333333,0.18897057057438832,0.0,0.23720349563046192,0.5243445692883895,0.0,0.012499999999999997,3.0,1.0,6,-0.5285714285714287,-0.5296950240770465,0.4934067606767072,0.6471810085324968
trajectory_completion_compact__VALIDATION_10_C__bZbAH4FHLEBMsmH25__k0__rep1,bZbAH4FHLEBMsmH25,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.2833333333333333,0.0,0.0,0.0,0.0,18,0.2833333333333333,0.4,0.1134476547592341,0.05,0.28089887640449435,0.3932584269662921,0.05617977528089887,0.012962962962962963,2.0,1.0,6,-0.29523809523809524,-0.294275013376137,0.42218704166299104,0.5677333812190268
trajectory_completion_compact__VALIDATION_10_C__FaKf3DcY6DanqG8kw__k0__rep1,FaKf3DcY6DanqG8kw,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.4722222222222222,0.0,0.0,0.0,0.0,18,0.47222222222222215,0.5,0.13833221775543036,0.18333333333333332,0.47128589263420717,0.5056179775280898,0.18726591760299624,0.04453703703703704,4.166666666666667,1.0,6,-0.2666666666666667,-0.27019796682718017,0.24952037324969406,0.40484680292357533
trajectory_completion_compact__VALIDATION_10_C__65crAkEscRbHNJXbW__k0__rep1,65crAkEscRbHNJXbW,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.25277777777777777,0.0,0.0,0.0,0.0,18,0.25277777777777777,0.43333333333333335,0.12780796744808157,0.03333333333333333,0.2496878901373283,0.4119850187265917,0.018726591760299623,0.021574074074074075,3.1666666666666665,1.0,6,-0.2833333333333334,-0.2835741037988229,0.4622371625523465,0.6037492214168964
trajectory_completion_compact__VALIDATION_10_T__iES9Gw5pax3HKCdHt__k0__rep1,iES9Gw5pax3HKCdHt,VALIDATION_10_T,True,True,False,3,6,gpt_5_1_k0,0.5361111111111111,0.2777777777777778,0.0,0.3333333333333333,0.0,18,0.5361111111111111,0.5,0.18841853202346245,0.16666666666666666,0.2309612983770287,0.20599250936329586,-0.44943820224719094,0.03861111111111111,3.0,1.0,6,-0.15476190476190482,-0.3424291064740503,0.26042611093985807,0.610925562150756
