model_name,metric_family,metric,metric_label,score,stderr,num_treatments,noise_ceiling_mean,noise_ceiling_stderr,noise_ceiling_num_treatments,gap_to_noise_ceiling,ratio_to_noise_ceiling
gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib,0.2822749089863432,0.023321903530270773,40,,,,,
gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib,0.2378186967627805,0.02461808148308035,40,,,,,
gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib,0.1586747318990175,0.018195650888833213,40,,,,,
gpt-5-mini twin unadj,player_within_config_wd,player_mean_contribution_rate,Player mean contrib,0.15322287902609547,0.01840258528710836,40,,,,,
gpt-5.1 baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib,0.18186231389895316,0.018659649507760834,40,,,,,
gpt-5.1 demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib,0.18022480832428026,0.018768526024385467,40,,,,,
gpt-5.1 twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib,0.13851711827741728,0.012410534484559707,40,,,,,
gpt-5.1 twin unadj,player_within_config_wd,player_mean_contribution_rate,Player mean contrib,0.14789358137668424,0.011769061287854684,40,,,,,
gpt-5-mini baseline,player_within_config_wd,player_mean_normalized_payoff,Player mean payoff,0.3565223364533631,0.027310667678902036,40,,,,,
gpt-5-mini demo-only,player_within_config_wd,player_mean_normalized_payoff,Player mean payoff,0.31899628997265733,0.027797325241227546,40,,,,,
gpt-5-mini twin,player_within_config_wd,player_mean_normalized_payoff,Player mean payoff,0.2353606268164791,0.021122076083623577,40,,,,,
gpt-5-mini twin unadj,player_within_config_wd,player_mean_normalized_payoff,Player mean payoff,0.2252670328473343,0.02222746658973134,40,,,,,
gpt-5.1 baseline,player_within_config_wd,player_mean_normalized_payoff,Player mean payoff,0.2479964096154672,0.023437414789014212,40,,,,,
gpt-5.1 demo-only,player_within_config_wd,player_mean_normalized_payoff,Player mean payoff,0.24963149332721168,0.0224480272679107,40,,,,,
gpt-5.1 twin,player_within_config_wd,player_mean_normalized_payoff,Player mean payoff,0.20381450960840103,0.016529753351243587,40,,,,,
gpt-5.1 twin unadj,player_within_config_wd,player_mean_normalized_payoff,Player mean payoff,0.20296902630769326,0.018933204312812285,40,,,,,
gpt-5-mini baseline,round_within_config_wd,round_normalized_efficiency,Round eff,0.3853748964946352,0.026565972812737104,40,,,,,
gpt-5-mini demo-only,round_within_config_wd,round_normalized_efficiency,Round eff,0.35127078534540684,0.026897635969186064,40,,,,,
gpt-5-mini twin,round_within_config_wd,round_normalized_efficiency,Round eff,0.2789671385260849,0.021402839582798348,40,,,,,
gpt-5-mini twin unadj,round_within_config_wd,round_normalized_efficiency,Round eff,0.27111138311929045,0.02209543235023506,40,,,,,
gpt-5.1 baseline,round_within_config_wd,round_normalized_efficiency,Round eff,0.3039385712833302,0.022718611299905954,40,,,,,
gpt-5.1 demo-only,round_within_config_wd,round_normalized_efficiency,Round eff,0.299053191073617,0.022125654693645604,40,,,,,
gpt-5.1 twin,round_within_config_wd,round_normalized_efficiency,Round eff,0.25604271569134074,0.01790185080981297,40,,,,,
gpt-5.1 twin unadj,round_within_config_wd,round_normalized_efficiency,Round eff,0.25673897010802527,0.01897080284990576,40,,,,,
gpt-5-mini baseline,round_within_config_wd,round_total_contribution_rate,Round contrib,0.3077919076269461,0.022235960199931886,40,,,,,
gpt-5-mini demo-only,round_within_config_wd,round_total_contribution_rate,Round contrib,0.2698331530515253,0.022831835141901992,40,,,,,
gpt-5-mini twin,round_within_config_wd,round_total_contribution_rate,Round contrib,0.19522427509698256,0.01665849114931427,40,,,,,
gpt-5-mini twin unadj,round_within_config_wd,round_total_contribution_rate,Round contrib,0.18774050106077267,0.017975082910962326,40,,,,,
gpt-5.1 baseline,round_within_config_wd,round_total_contribution_rate,Round contrib,0.22583561655432155,0.018152547238150386,40,,,,,
gpt-5.1 demo-only,round_within_config_wd,round_total_contribution_rate,Round contrib,0.2208944586381853,0.017727057566240673,40,,,,,
gpt-5.1 twin,round_within_config_wd,round_total_contribution_rate,Round contrib,0.1787575376410755,0.011047402816826937,40,,,,,
gpt-5.1 twin unadj,round_within_config_wd,round_total_contribution_rate,Round contrib,0.1824838291024047,0.011905394024996019,40,,,,,
