custom_id,game_id,treatment_name,chat_enabled,punishment_enabled,reward_enabled,num_players,num_rounds,model_label,mean_contribution_rate,punish_actor_round_rate,reward_actor_round_rate,punish_targets_per_actor_round,reward_targets_per_actor_round,actor_rounds,mean_total_contribution_rate,total_contribution_rate_sd,final_total_contribution_rate,mean_round_normalized_efficiency,final_round_normalized_efficiency,mean_within_round_contribution_rate_var,messages_per_round,rounds_with_chat_rate,observed_rounds,total_contribution_rate_decay_slope,round_normalized_efficiency_decay_slope,total_contribution_rate_rmse_to_treatment_mean,round_normalized_efficiency_rmse_to_treatment_mean
trajectory_completion_compact__VALIDATION_0_C__tjEFcmYxtEBx3PZzY__k0__rep1,tjEFcmYxtEBx3PZzY,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,1.0,0.0,0.0,0.0,0.0,60,1.0,0.0,1.0,1.0,1.0,0.0,5.5,1.0,6,0.0,0.0,0.2924627583480949,0.2386727619895177
trajectory_completion_compact__VALIDATION_0_C__F9zgaNoZPFFagrLwk__k0__rep1,F9zgaNoZPFFagrLwk,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.9333333333333333,0.0,0.0,0.0,0.0,60,0.9333333333333332,0.07453559924999298,0.8,0.9342948717948718,0.7980769230769231,0.05666666666666668,4.833333333333333,1.0,6,-0.1714285714285714,-0.17170329670329668,0.24028767909378926,0.20086250949757797
trajectory_completion_compact__VALIDATION_0_C__4HwmGmWXPq5jBJust__k0__rep1,4HwmGmWXPq5jBJust,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.8666666666666667,0.0,0.0,0.0,0.0,60,0.8666666666666667,0.13743685418725535,0.6,0.8669871794871794,0.5961538461538461,0.09666666666666668,3.8333333333333335,1.0,6,-0.20000000000000004,-0.19917582417582425,0.21524581602640372,0.1889558505039009
trajectory_completion_compact__VALIDATION_0_C__eKvYkv4QEg8DiocsW__k0__rep1,eKvYkv4QEg8DiocsW,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.85,0.0,0.0,0.0,0.0,60,0.85,0.17078251276599332,0.5,0.8509615384615384,0.5,0.09833333333333333,4.333333333333333,1.0,6,-0.21428571428571433,-0.21291208791208796,0.22896146817633972,0.20863754765381595
trajectory_completion_compact__VALIDATION_0_C__pYDEzMS4KKQzGsFQW__k0__rep1,pYDEzMS4KKQzGsFQW,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.7833333333333333,0.0,0.0,0.0,0.0,60,0.7833333333333333,0.1343709624716425,0.5,0.7836538461538461,0.5,0.1516666666666667,6.0,1.0,6,-0.27142857142857146,-0.2733516483516483,0.16419619650437117,0.1684563692933499
trajectory_completion_compact__VALIDATION_0_C__DLhhTyaSmN26NPemM__k0__rep1,DLhhTyaSmN26NPemM,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.4666666666666667,0.0,0.0,0.0,0.0,60,0.4666666666666666,0.22110831935702663,0.0,0.4647435897435897,0.0,0.19999999999999998,4.833333333333333,1.0,6,-0.5142857142857143,-0.5082417582417582,0.3360682556088622,0.39583753355159196
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.8333333333333334,0.0,0.0,0.0,0.0,60,0.8333333333333334,0.13743685418725538,0.6,0.8349358974358975,0.5961538461538461,0.12,2.6666666666666665,1.0,6,-0.05714285714285712,-0.061813186813186795,0.18757028860862873,0.15818012906087023
trajectory_completion_compact__VALIDATION_0_C__AaPW26f94YzzFxPLk__k0__rep1,AaPW26f94YzzFxPLk,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.7666666666666667,0.0,0.0,0.0,0.0,60,0.7666666666666667,0.21343747458109497,0.3,0.7676282051282052,0.2980769230769231,0.13333333333333333,4.666666666666667,1.0,6,-0.4571428571428572,-0.462912087912088,0.23181494499768523,0.24691385849467412
trajectory_completion_compact__VALIDATION_0_C__kkGkkWk4kCvb4t5fK__k0__rep1,kkGkkWk4kCvb4t5fK,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.4166666666666667,0.0,0.0,0.0,0.0,60,0.4166666666666667,0.35784850922639816,0.0,0.4166666666666667,0.0,0.115,5.333333333333333,1.0,6,-0.9285714285714287,-0.9285714285714285,0.47197106610765704,0.5325217098620226
trajectory_completion_compact__VALIDATION_0_C__K3BKmGpJcMFNK3TJz__k0__rep1,K3BKmGpJcMFNK3TJz,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.8,0.0,0.0,0.0,0.0,60,0.7999999999999999,0.23094010767585033,0.3,0.8012820512820512,0.2980769230769231,0.10666666666666667,5.166666666666667,1.0,6,-0.5142857142857143,-0.5192307692307693,0.25876705923765114,0.26663273652291664
trajectory_completion_compact__VALIDATION_0_T__2TquMDieEiixty8AN__k0__rep1,2TquMDieEiixty8AN,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.95,0.03333333333333333,0.0,0.03333333333333333,0.0,60,0.9500000000000001,0.07637626158259732,1.0,0.948397435897436,1.0,0.04166666666666668,3.5,1.0,6,0.09999999999999998,0.09807692307692308,0.15260632097127777,0.15410698703142645
trajectory_completion_compact__VALIDATION_0_T__zBbM66zutHe6rm6h4__k0__rep1,zBbM66zutHe6rm6h4,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.9166666666666666,0.13333333333333333,0.0,0.15,0.0,60,0.9166666666666666,0.06871842709362766,0.9,0.9099358974358974,0.8923076923076924,0.07166666666666667,3.6666666666666665,1.0,6,0.07142857142857141,0.07829670329670334,0.1212465514454976,0.1141539230215422
