treatment_name,metrics_used,mean_abs_z_score,median_percentile
VALIDATION_6_C,144,4.937107532871289,0.0
VALIDATION_17_C,132,4.388969626550019,0.0
VALIDATION_13_T,176,3.8754863052152233,0.09090909090909091
VALIDATION_7_C,154,3.2672805618651233,0.2727272727272727
VALIDATION_13_C,150,2.8134248957604187,0.2
VALIDATION_10_T,150,2.162630146931618,0.3
VALIDATION_11_C,150,1.8629164392760182,0.3
VALIDATION_11_T,176,1.7281395945423725,0.45454545454545453
VALIDATION_17_T,104,1.6832934072989312,0.875
VALIDATION_15_C,143,1.6152097012048512,0.18181818181818182
VALIDATION_1_C,96,1.5565433888667926,0.1875
VALIDATION_14_T,160,1.5187732160134515,0.4
VALIDATION_6_T,143,1.4911208629602146,0.09090909090909091
VALIDATION_19_T,140,1.4864690980623398,0.3
VALIDATION_18_C,168,1.482393125601592,0.4583333333333333
VALIDATION_15_T,126,1.4740681253759196,0.2222222222222222
VALIDATION_12_C,168,1.4446849777659332,0.4166666666666667
VALIDATION_3_T,160,1.3361907593714966,0.4
VALIDATION_16_C,140,1.3332790440157507,0.5
VALIDATION_0_C,140,1.3171248750950812,0.5
VALIDATION_7_T,180,1.25939688658008,0.3333333333333333
VALIDATION_16_T,120,1.2228115785794365,0.375
VALIDATION_9_C,143,1.1481108636807569,0.09090909090909091
VALIDATION_14_C,180,1.0722225126906002,0.3333333333333333
VALIDATION_10_C,140,1.0303107110887335,0.4
VALIDATION_4_C,180,1.0002229919121235,0.5
VALIDATION_9_T,154,0.9415018139604743,0.2727272727272727
VALIDATION_3_C,135,0.9168591735802673,0.4444444444444444
VALIDATION_19_C,130,0.9054703396095619,0.3
VALIDATION_12_T,180,0.9040660582460205,0.47916666666666663
VALIDATION_2_C,117,0.9022795514913898,0.3333333333333333
VALIDATION_8_C,180,0.8876784586395823,0.3333333333333333
VALIDATION_4_T,144,0.8473876158685942,0.5555555555555556
VALIDATION_8_T,176,0.8379218941160655,0.36363636363636365
VALIDATION_18_T,150,0.8298454027144776,0.5
VALIDATION_0_T,180,0.8090197354200591,0.5
VALIDATION_5_C,135,0.7906131222614473,0.4444444444444444
VALIDATION_5_T,192,0.786061288716115,0.4583333333333333
VALIDATION_2_T,154,0.6369183350062086,0.45454545454545453
VALIDATION_1_T,104,0.5416112006217847,0.5
