custom_id,input_token_estimate
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0001,37791
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0002,37791
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0003,37643
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0004,37843
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0005,37791
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0006,37791
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0007,37790
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0008,37790
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0009,37788
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0010,37790
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0011,37789
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0012,37791
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0013,37791
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0014,37792
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0015,37790
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0016,37844
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0017,37791
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0018,37790
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0019,37791
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0020,37844
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0021,37844
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0022,37845
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0023,37642
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0024,37792
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0025,37844
simbenchpop__simbenchpop__ctx_000__twin_persona_summary_non_social_econ_only__s0026,37789
