simbench_row_id,simbench_split_baseline,dataset_name_baseline,group_size_baseline,option_count_baseline,expected_request_count_baseline,completed_request_count_baseline,missing_request_count_baseline,full_request_success_count_baseline,full_request_failure_count_baseline,valid_prediction_count_baseline,invalid_or_missing_prediction_count_baseline,completion_rate_baseline,parse_success_rate_baseline,full_request_success_rate_baseline,valid_prediction_rate_baseline,evaluated_baseline,predicted_distribution_json_baseline,gold_distribution_json_baseline,predicted_modal_label_baseline,gold_modal_label_baseline,modal_match_baseline,predicted_entropy_baseline,gold_entropy_baseline,uniform_baseline_tvd_baseline,dataset_uniform_baseline_tvd_mean_baseline,tvd_baseline,jsd_baseline,simbench_score_raw_baseline,simbench_score_baseline,simbench_split_persona_summary,dataset_name_persona_summary,group_size_persona_summary,option_count_persona_summary,expected_request_count_persona_summary,completed_request_count_persona_summary,missing_request_count_persona_summary,full_request_success_count_persona_summary,full_request_failure_count_persona_summary,valid_prediction_count_persona_summary,invalid_or_missing_prediction_count_persona_summary,completion_rate_persona_summary,parse_success_rate_persona_summary,full_request_success_rate_persona_summary,valid_prediction_rate_persona_summary,evaluated_persona_summary,predicted_distribution_json_persona_summary,gold_distribution_json_persona_summary,predicted_modal_label_persona_summary,gold_modal_label_persona_summary,modal_match_persona_summary,predicted_entropy_persona_summary,gold_entropy_persona_summary,uniform_baseline_tvd_persona_summary,dataset_uniform_baseline_tvd_mean_persona_summary,tvd_persona_summary,jsd_persona_summary,simbench_score_raw_persona_summary,simbench_score_persona_summary
simbenchpop_000000,SimBenchPop,WisdomOfCrowds,516,4,1,1,0,1,0,1,0,1.0,1.0,1.0,1.0,True,"{""A"": 0.05, ""B"": 0.05, ""C"": 0.8, ""D"": 0.1}","{""A"": 0.027131782945736434, ""B"": 0.023255813953488372, ""C"": 0.08333333333333331, ""D"": 0.8662790697674418}",C,D,0.0,0.7083465777061715,0.5167637825762176,0.6162790697674418,0.5574116514549817,0.766279069767442,0.3465078615046484,-0.3747094589201083,-37.47094589201083,SimBenchPop,WisdomOfCrowds,516,4,64,64,0,14,50,64,0,1.0,0.21875,0.21875,1.0,True,"{""A"": 0.06019736842105261, ""B"": 0.053947368421052626, ""C"": 0.4751973684210527, ""D"": 0.41065789473684194}","{""A"": 0.027131782945736434, ""B"": 0.023255813953488372, ""C"": 0.08333333333333331, ""D"": 0.8662790697674418}",C,D,0,1.0457169912324231,0.5167637825762176,0.6162790697674418,0.5574116514549817,0.4556211750305998,0.1238091508584974,0.182612753355054,18.2612753355054
simbenchpop_000001,SimBenchPop,WisdomOfCrowds,513,4,1,1,0,1,0,1,0,1.0,1.0,1.0,1.0,True,"{""A"": 0.05, ""B"": 0.1, ""C"": 0.05, ""D"": 0.8}","{""A"": 0.009746588693957114, ""B"": 0.0428849902534113, ""C"": 0.005847953216374269, ""D"": 0.9415204678362573}",D,D,1.0,0.7083465777061715,0.2669931860747648,0.6915204678362573,0.5574116514549817,0.1415204678362573,0.0261587278482818,0.7461113927797275,74.61113927797275,SimBenchPop,WisdomOfCrowds,513,4,64,64,0,14,50,64,0,1.0,0.21875,0.21875,1.0,True,"{""A"": 0.06796874999999997, ""B"": 0.18015624999999993, ""C"": 0.06843749999999997, ""D"": 0.6834375000000001}","{""A"": 0.009746588693957114, ""B"": 0.0428849902534113, ""C"": 0.005847953216374269, ""D"": 0.9415204678362573}",D,D,1,0.935191473355877,0.2669931860747648,0.6915204678362573,0.5574116514549817,0.2580829678362571,0.0607712924375273,0.5369975364479787,53.699753644797866
simbenchpop_000002,SimBenchPop,WisdomOfCrowds,517,4,1,1,0,1,0,1,0,1.0,1.0,1.0,1.0,True,"{""A"": 0.05, ""B"": 0.05, ""C"": 0.05, ""D"": 0.85}","{""A"": 0.019342359767891684, ""B"": 0.3056092843326886, ""C"": 0.08897485493230174, ""D"": 0.586073500967118}",D,D,1.0,0.5875009311062074,0.9670091985779872,0.3916827852998066,0.5574116514549817,0.2945841392649903,0.069519549123359,0.4715142058906498,47.15142058906498,SimBenchPop,WisdomOfCrowds,517,4,64,64,0,14,50,64,0,1.0,0.21875,0.21875,1.0,True,"{""A"": 0.06078124999999997, ""B"": 0.059687499999999984, ""C"": 0.06890624999999999, ""D"": 0.810625}","{""A"": 0.019342359767891684, ""B"": 0.3056092843326886, ""C"": 0.08897485493230174, ""D"": 0.586073500967118}",D,D,1,0.6929687348241615,0.9670091985779872,0.3916827852998066,0.5574116514549817,0.2659903892649903,0.0606078482035249,0.5228115727924059,52.28115727924059
simbenchpop_000003,SimBenchPop,WisdomOfCrowds,516,4,1,1,0,1,0,1,0,1.0,1.0,1.0,1.0,True,"{""A"": 0.05, ""B"": 0.05, ""C"": 0.05, ""D"": 0.85}","{""A"": 0.009689922480620155, ""B"": 0.007751937984496125, ""C"": 0.013565891472868217, ""D"": 0.9689922480620154}",D,D,1.0,0.5875009311062074,0.171459890944483,0.7189922480620154,0.5574116514549817,0.1189922480620155,0.0235780390115145,0.7865271604003676,78.65271604003676,SimBenchPop,WisdomOfCrowds,516,4,64,64,0,14,50,64,0,1.0,0.21875,0.21875,1.0,True,"{""A"": 0.05874999999999997, ""B"": 0.05890625, ""C"": 0.06781250000000003, ""D"": 0.81453125}","{""A"": 0.009689922480620155, ""B"": 0.007751937984496125, ""C"": 0.013565891472868217, ""D"": 0.9689922480620154}",D,D,1,0.6829149564761675,0.171459890944483,0.7189922480620154,0.5574116514549817,0.1544609980620154,0.0341014462051755,0.7228960003637631,72.28960003637631
simbenchpop_000004,SimBenchPop,WisdomOfCrowds,517,4,1,1,0,1,0,1,0,1.0,1.0,1.0,1.0,True,"{""A"": 0.1, ""B"": 0.05, ""C"": 0.8, ""D"": 0.05}","{""A"": 0.007736943907156674, ""B"": 0.007736943907156674, ""C"": 0.9806576402321083, ""D"": 0.003868471953578337}",C,C,1.0,0.7083465777061715,0.1158731877176962,0.7306576402321082,0.5574116514549817,0.1806576402321083,0.0483645959365374,0.6758990599486979,67.5899059948698,SimBenchPop,WisdomOfCrowds,517,4,64,64,0,14,50,64,0,1.0,0.21875,0.21875,1.0,True,"{""A"": 0.12796874999999994, ""B"": 0.05953124999999998, ""C"": 0.7440625000000002, ""D"": 0.06843750000000001}","{""A"": 0.007736943907156674, ""B"": 0.007736943907156674, ""C"": 0.9806576402321083, ""D"": 0.003868471953578337}",C,C,1,0.8345579937007754,0.1158731877176962,0.7306576402321082,0.5574116514549817,0.2365951402321081,0.069158831751182,0.5755468339878856,57.55468339878856
simbenchpop_000005,SimBenchPop,WisdomOfCrowds,519,4,1,1,0,1,0,1,0,1.0,1.0,1.0,1.0,True,"{""A"": 0.75, ""B"": 0.05, ""C"": 0.1, ""D"": 0.1}","{""A"": 0.6435452793834296, ""B"": 0.007707129094412331, ""C"": 0.04816955684007707, ""D"": 0.30057803468208094}",A,A,1.0,0.8260651866153443,0.8285595636064853,0.4441233140655106,0.5574116514549817,0.2005780346820809,0.0416023118031606,0.6401617473217094,64.01617473217094,SimBenchPop,WisdomOfCrowds,519,4,64,64,0,14,50,64,0,1.0,0.21875,0.21875,1.0,True,"{""A"": 0.7217187500000002, ""B"": 0.06296874999999998, ""C"": 0.10265624999999996, ""D"": 0.11265625000000005}","{""A"": 0.6435452793834296, ""B"": 0.007707129094412331, ""C"": 0.04816955684007707, ""D"": 0.30057803468208094}",A,A,1,0.8891414666492761,0.8285595636064853,0.4441233140655106,0.5574116514549817,0.1879217846820809,0.0406431078400291,0.6628671392290441,66.28671392290441
simbenchpop_000006,SimBenchPop,WisdomOfCrowds,516,4,1,1,0,1,0,1,0,1.0,1.0,1.0,1.0,True,"{""A"": 0.8, ""B"": 0.1, ""C"": 0.05, ""D"": 0.05}","{""A"": 0.6608527131782946, ""B"": 0.24418604651162792, ""C"": 0.023255813953488375, ""D"": 0.07170542635658916}",A,A,1.0,0.7083465777061714,0.8944279135535439,0.4108527131782946,0.5574116514549817,0.165891472868217,0.0223662502832809,0.7023896568448122,70.23896568448123,SimBenchPop,WisdomOfCrowds,516,4,64,64,0,14,50,64,0,1.0,0.21875,0.21875,1.0,True,"{""A"": 0.7231250000000001, ""B"": 0.15890624999999994, ""C"": 0.057187499999999974, ""D"": 0.06078125}","{""A"": 0.6608527131782945, ""B"": 0.24418604651162787, ""C"": 0.023255813953488372, ""D"": 0.07170542635658915}",A,A,1,0.8605701411932238,0.8944279135535439,0.4108527131782946,0.5574116514549817,0.0962039728682171,0.0091636039542168,0.8274094690753215,82.74094690753215
simbenchpop_000007,SimBenchPop,WisdomOfCrowds,519,4,1,1,0,1,0,1,0,1.0,1.0,1.0,1.0,True,"{""A"": 0.85, ""B"": 0.05, ""C"": 0.05, ""D"": 0.05}","{""A"": 0.9421965317919075, ""B"": 0.017341040462427744, ""C"": 0.03468208092485549, ""D"": 0.005780346820809248}",A,A,1.0,0.5875009311062073,0.2727847944233574,0.6921965317919075,0.5574116514549817,0.0921965317919075,0.0160596213673021,0.8345988435095465,83.45988435095465,SimBenchPop,WisdomOfCrowds,519,4,64,64,0,14,50,64,0,1.0,0.21875,0.21875,1.0,True,"{""A"": 0.8235416666666668, ""B"": 0.0592361111111111, ""C"": 0.05532986111111111, ""D"": 0.061892361111111106}","{""A"": 0.9421965317919074, ""B"": 0.01734104046242774, ""C"": 0.03468208092485548, ""D"": 0.005780346820809247}",A,A,1,0.6596536691367529,0.2727847944233575,0.6921965317919075,0.5574116514549817,0.1186548651252407,0.0228266220656043,0.7871324275057361,78.71324275057361
simbenchpop_000008,SimBenchPop,WisdomOfCrowds,515,4,1,1,0,1,0,1,0,1.0,1.0,1.0,1.0,True,"{""A"": 0.7999999999999998, ""B"": 0.04999999999999999, ""C"": 0.04999999999999999, ""D"": 0.09999999999999998}","{""A"": 0.9495145631067962, ""B"": 0.009708737864077669, ""C"": 0.005825242718446601, ""D"": 0.03495145631067961}",A,A,1.0,0.7083465777061715,0.2413805406180696,0.6995145631067962,0.5574116514549817,0.1495145631067962,0.0288219788185597,0.7317699357081496,73.17699357081496,SimBenchPop,WisdomOfCrowds,515,4,64,64,0,14,50,64,0,1.0,0.21875,0.21875,1.0,True,"{""A"": 0.7629687500000001, ""B"": 0.06156249999999995, ""C"": 0.06328124999999996, ""D"": 0.11218749999999995}","{""A"": 0.9495145631067962, ""B"": 0.009708737864077669, ""C"": 0.005825242718446601, ""D"": 0.03495145631067961}",A,A,1,0.7981164367178808,0.2413805406180696,0.6995145631067962,0.5574116514549817,0.186545813106796,0.0402280595974375,0.6653356408681708,66.53356408681708
simbenchpop_000009,SimBenchPop,WisdomOfCrowds,515,4,1,1,0,1,0,1,0,1.0,1.0,1.0,1.0,True,"{""A"": 0.05, ""B"": 0.05, ""C"": 0.85, ""D"": 0.05}","{""A"": 0.07378640776699029, ""B"": 0.15145631067961166, ""C"": 0.7300970873786408, ""D"": 0.04466019417475728}",C,C,1.0,0.5875009311062074,0.846703895940704,0.4800970873786407,0.5574116514549817,0.1252427184466019,0.0168793312004663,0.7753137773139697,77.53137773139697,SimBenchPop,WisdomOfCrowds,515,4,64,64,0,14,50,64,0,1.0,0.21875,0.21875,1.0,True,"{""A"": 0.19999999999999996, ""B"": 0.058437499999999976, ""C"": 0.6851562500000001, ""D"": 0.056406249999999984}","{""A"": 0.07378640776699029, ""B"": 0.15145631067961166, ""C"": 0.7300970873786408, ""D"": 0.04466019417475728}",C,C,1,0.9090794137827244,0.846703895940704,0.4800970873786407,0.5574116514549817,0.1379596480582523,0.0264823692765069,0.7524995258026206,75.24995258026206
