metric_family,metric,distance_kind,n_treatments,mean_value,median_value,stderr,treatment_mean_check,run_name
distribution_distance,mean_send_field_distance,mean_wasserstein_1d,10,2.778,2.84,0.10766253862055375,2.778,baseline_gpt_5_1
distribution_distance,mean_process_premium_distance,mean_wasserstein_1d,5,2.0919999999999996,2.0199999999999996,0.2528912809884912,2.092,baseline_gpt_5_1
distribution_distance,mean_action_premium_distance,mean_wasserstein_1d,10,3.708,3.76,0.22687147609751795,3.7079999999999997,baseline_gpt_5_1
distribution_distance,return_pct,wasserstein_1d,10,13.134,12.63,1.2438079523070362,13.134,baseline_gpt_5_1
distribution_distance,process_premium_if_act,wasserstein_1d,5,2.068,1.6799999999999995,0.3857252908482927,2.068,baseline_gpt_5_1
distribution_distance,process_premium_if_no_act,wasserstein_1d,5,2.116,2.2,0.21264054176003214,2.116,baseline_gpt_5_1
distribution_distance,action_premium,wasserstein_1d,5,3.66,3.68,0.39719013079380505,3.66,baseline_gpt_5_1
distribution_distance,action_premium_without_check,wasserstein_1d,4,4.015000000000001,4.220000000000001,0.29970819141291416,4.015000000000001,baseline_gpt_5_1
distribution_distance,action_premium_after_check,wasserstein_1d,4,3.885,3.63,0.27885181249784496,3.885,baseline_gpt_5_1
distribution_distance,action_premium_fast,wasserstein_1d,1,3.4800000000000004,3.4800000000000004,,3.4800000000000004,baseline_gpt_5_1
distribution_distance,action_premium_slow,wasserstein_1d,1,2.4800000000000004,2.4800000000000004,,2.4800000000000004,baseline_gpt_5_1
distribution_distance,send_if_act,wasserstein_1d,5,2.88,3.0199999999999996,0.2770559510279467,2.88,baseline_gpt_5_1
distribution_distance,send_if_act_after_check,wasserstein_1d,4,2.84,2.88,0.06218252702059205,2.8400000000000003,baseline_gpt_5_1
distribution_distance,send_if_act_fast,wasserstein_1d,1,2.78,2.78,,2.78,baseline_gpt_5_1
distribution_distance,send_if_act_slow,wasserstein_1d,1,3.26,3.26,,3.26,baseline_gpt_5_1
distribution_distance,send_if_act_without_check,wasserstein_1d,4,2.9650000000000003,2.9800000000000004,0.2667551936389117,2.965,baseline_gpt_5_1
distribution_distance,send_if_no_act,wasserstein_1d,5,2.8280000000000003,2.8400000000000003,0.12893409169028963,2.8280000000000003,baseline_gpt_5_1
